"School IRN","School Name","District IRN","District Name","County","Org Type","Grade Span","Open/Closed Status as of 9/1/2014","No. Third graders enrolled at end of school year and accountable to school","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","Perc. Did not meet promotion threshold"
"040451","West Elementary School","043521","Athens City","Athens","Traditional School","K-6","Open","36.0","0.08333333333333333","33.0","0.9696969696969697","0.030303030303030304"
"042440","Nelsonville-York Elementary School","044446","Nelsonville-York City","Athens","Traditional School","K-6,P","Open","87.0","0.06896551724137931","81.0","0.9876543209876543","0.012345679012345678"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Traditional School","K-6,P","Open","122.0","0.08196721311475409","112.0","1.0","0.0"
"000620","Amesville Elementary School","045914","Federal Hocking Local","Athens","Traditional School","K-6","Open","38.0","0.18421052631578946","31.0","1.0","0.0"
"007302","Coolville Elementary School","045914","Federal Hocking Local","Athens","Traditional School","K-6","Open","44.0","0.0","44.0","1.0","0.0"
"037556","Trimble Elementary School","045922","Trimble Local","Athens","Traditional School","K-6,P","Open","57.0","0.22807017543859648","44.0","0.9318181818181818","0.06818181818181818"
"040337","St Marys Intermediate School","044727","St Marys City","Auglaize","Traditional School","3-5","Open","152.0","0.06578947368421052","142.0","1.0","0.0"
"007757","Cridersville Elementary School","044982","Wapakoneta City","Auglaize","Traditional School","K-4,P","Open","68.0","0.11764705882352941","60.0","0.9833333333333333","0.016666666666666666"
"011748","Wapakoneta Elementary","044982","Wapakoneta City","Auglaize","Traditional School","K-4,P","Open","186.0","0.021505376344086023","182.0","1.0","0.0"
"146332","Minster Elementary School","045948","Minster Local","Auglaize","Traditional School","K-6","Open","55.0","0.01818181818181818","54.0","1.0","0.0"
"026633","New Bremen Elementary School","045955","New Bremen Local","Auglaize","Traditional School","K-8","Open","63.0","0.06349206349206349","59.0","1.0","0.0"
"026757","New Knoxville Elementary School","045963","New Knoxville Local","Auglaize","Traditional School","K-8","Open","21.0","0.0","21.0","1.0","0.0"
"040105","Waynesfield-Goshen Local Elementary School","045971","Waynesfield-Goshen Local","Auglaize","Traditional School","K-5","Open","35.0","0.0","35.0","1.0","0.0"
"142505","Bellaire Elementary School","043570","Bellaire Local","Belmont","Traditional School","K-4","Open","95.0","0.010526315789473684","94.0","1.0","0.0"
"010004","Anna Marie Ayers Elementary School","044347","Martins Ferry City","Belmont","Traditional School","K-4,P","Open","96.0","0.020833333333333332","94.0","0.9680851063829787","0.031914893617021274"
"001594","Barnesville Elementary School","045203","Barnesville Exempted Village","Belmont","Traditional School","K-4","Open","104.0","0.04807692307692308","99.0","0.98989898989899","0.010101010101010102"
"040618","The Bridgeport School District - Elementary","045237","Bridgeport Exempted Village","Belmont","Traditional School","K-4,P","Open","56.0","0.07142857142857142","52.0","0.9423076923076923","0.057692307692307696"
"043216","St Clairsville Elementary School","045997","St Clairsville-Richland City","Belmont","Traditional School","K-4,P","Open","101.0","0.019801980198019802","99.0","0.9797979797979798","0.020202020202020204"
"020172","Leona Ave Middle School","046003","Shadyside Local","Belmont","Traditional School","3-6","Open","54.0","0.037037037037037035","52.0","1.0","0.0"
"132266","Union Local Elementary School","046011","Union Local","Belmont","Traditional School","K-5","Open","103.0","0.04854368932038835","98.0","0.9795918367346939","0.02040816326530612"
"031252","Georgetown Elementary School","045377","Georgetown Exempted Village","Brown","Traditional School","K-6,P","Open","74.0","0.02702702702702703","72.0","0.9722222222222222","0.027777777777777776"
"033605","Sardinia Elementary School","046037","Eastern Local","Brown","Traditional School","K-5","Open","39.0","0.02564102564102564","38.0","1.0","0.0"
"124214","Russellville Elementary School","046037","Eastern Local","Brown","Traditional School","K-5","Open","54.0","0.07407407407407407","50.0","0.92","0.08"
"011452","Fayetteville-Perry Elementary School","046045","Fayetteville-Perry Local","Brown","Traditional School","K-5,P","Open","62.0","0.03225806451612903","60.0","0.9666666666666667","0.03333333333333333"
"014886","Hamersville Elementary School","046060","Western Brown Local","Brown","Traditional School","K-8","Open","69.0","0.057971014492753624","65.0","0.9538461538461539","0.046153846153846156"
"043224","Mt Orab Primary Elementary School","046060","Western Brown Local","Brown","Traditional School","K-4","Open","179.0","0.0893854748603352","163.0","0.9325153374233128","0.06748466257668712"
"121434","Ripley Union Lewis Huntington Elementary School","046078","Ripley-Union-Lewis-Huntington Local","Brown","Traditional School","K-4","Open","54.0","0.07407407407407407","50.0","0.9","0.1"
"006650","Brookwood Elementary School","044107","Hamilton City","Butler","Traditional School","K-6","Open","102.0","0.0392156862745098","98.0","0.9897959183673469","0.01020408163265306"
"011482","Fairwood Elementary School","044107","Hamilton City","Butler","Traditional School","K-6,P","Open","76.0","0.039473684210526314","73.0","0.9726027397260274","0.0273972602739726"
"011483","Linden Elementary School","044107","Hamilton City","Butler","Traditional School","K-6","Open","99.0","0.0707070707070707","92.0","0.9565217391304348","0.043478260869565216"
"011484","Ridgeway Elementary School","044107","Hamilton City","Butler","Traditional School","K-6,P","Open","81.0","0.012345679012345678","80.0","1.0","0.0"
"011485","Bridgeport Elementary School","044107","Hamilton City","Butler","Traditional School","K-6,P","Open","80.0","0.025","78.0","0.9871794871794872","0.01282051282051282"
"011619","Highland Elementary School","044107","Hamilton City","Butler","Traditional School","K-6","Open","90.0","0.08888888888888889","82.0","0.9634146341463414","0.036585365853658534"
"015404","Riverview Elementary School","044107","Hamilton City","Butler","Traditional School","K-6,P","Open","87.0","0.16091954022988506","73.0","0.9452054794520548","0.0547945205479452"
"038216","Crawford Woods Elementary School","044107","Hamilton City","Butler","Traditional School","K-6","Open","83.0","0.04819277108433735","79.0","1.0","0.0"
"000547","Amanda Elementary School","044404","Middletown City","Butler","Traditional School","K-5,P","Open","65.0","0.06153846153846154","61.0","0.8524590163934426","0.14754098360655737"
"005405","Central Academy Nongraded Elementary School","044404","Middletown City","Butler","Traditional School","K-8","Open","49.0","0.04081632653061224","47.0","0.9787234042553191","0.02127659574468085"
"007609","Creekview Elementary School","044404","Middletown City","Butler","Traditional School","K-5,P","Open","64.0","0.09375","58.0","0.9827586206896551","0.017241379310344827"
"008933","Rosa Parks Elementary School","044404","Middletown City","Butler","Traditional School","K-5,P","Open","64.0","0.140625","55.0","0.9272727272727272","0.07272727272727272"
"023283","Mayfield Elementary School","044404","Middletown City","Butler","Traditional School","K-5","Open","63.0","0.031746031746031744","61.0","0.9508196721311475","0.04918032786885246"
"032664","Miller Ridge Elementary School","044404","Middletown City","Butler","Traditional School","K-5","Open","79.0","0.12658227848101267","69.0","0.9855072463768116","0.014492753623188406"
"041277","Wildwood Elementary School","044404","Middletown City","Butler","Traditional School","K-5","Open","78.0","0.0641025641025641","73.0","0.9315068493150684","0.0684931506849315"
"002923","Edgewood Elementary School","046094","Edgewood City","Butler","Traditional School","2-5","Open","226.0","0.10176991150442478","203.0","0.9605911330049262","0.03940886699507389"
"061697","Seven Mile Elementary School","046094","Edgewood City","Butler","Traditional School","2-5","Open","40.0","0.075","37.0","1.0","0.0"
"005462","Fairfield Central Elementary School","046102","Fairfield City","Butler","Traditional School","K-4","Open","158.0","0.06962025316455696","147.0","0.9659863945578231","0.034013605442176874"
"027383","Fairfield North Elementary School","046102","Fairfield City","Butler","Traditional School","K-4","Open","167.0","0.041916167664670656","160.0","1.0","0.0"
"040386","Fairfield West Elementary School","046102","Fairfield City","Butler","Traditional School","K-4,P","Open","139.0","0.07913669064748201","128.0","0.9921875","0.0078125"
"064816","Fairfield South Elementary School","046102","Fairfield City","Butler","Traditional School","K-4,P","Open","138.0","0.021739130434782608","135.0","0.9851851851851852","0.014814814814814815"
"124081","Fairfield East Elementary School","046102","Fairfield City","Butler","Traditional School","K-4,P","Open","128.0","0.0703125","119.0","1.0","0.0"
"008984","Endeavor Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","127.0","0.06299212598425197","119.0","1.0","0.0"
"016824","Hopewell Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","120.0","0.03333333333333333","116.0","1.0","0.0"
"037820","Union Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","107.0","0.018691588785046728","105.0","1.0","0.0"
"070920","Adena Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","115.0","0.034782608695652174","111.0","1.0","0.0"
"098467","Freedom Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","118.0","0.01694915254237288","116.0","1.0","0.0"
"111187","Woodland Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","95.0","0.010526315789473684","94.0","0.9574468085106383","0.0425531914893617"
"113910","Heritage Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","108.0","0.05555555555555555","102.0","1.0","0.0"
"119768","Cherokee Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","133.0","0.03759398496240601","128.0","0.9921875","0.0078125"
"119776","Independence Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","128.0","0.03125","124.0","0.9919354838709677","0.008064516129032258"
"146837","VanGorden Elementary School","046110","Lakota Local","Butler","Traditional School","2-6","Open","138.0","0.036231884057971016","133.0","1.0","0.0"
"030437","Madison Elementary School","046128","Madison Local","Butler","Traditional School","K-6,P","Open","104.0","0.028846153846153848","101.0","0.9900990099009901","0.009900990099009901"
"026864","New Miami Elementary School","046136","New Miami Local","Butler","Traditional School","K-5","Open","52.0","0.038461538461538464","50.0","0.9","0.1"
"010157","Elda Elementary School","046144","Ross Local","Butler","Traditional School","K-4","Open","137.0","0.029197080291970802","133.0","0.9924812030075187","0.007518796992481203"
