"County","IRN","Organization Name","Student Count","Student Count At or Above 392","Percentage"
"Logan","048082","Indian Lake Local","123.0","115.0","0.9349593495934959"
"Logan","048090","Riverside Local","47.0","39.0","0.8297872340425532"
"Lorain","048116","Avon Local","372.0","362.0","0.9731182795698925"
"Lorain","048124","Avon Lake City","274.0","270.0","0.9854014598540146"
"Lorain","048132","Clearview Local","119.0","106.0","0.8907563025210085"
"Lorain","048140","Columbia Local","56.0","55.0","0.9821428571428571"
"Lorain","048157","Firelands Local","123.0","120.0","0.975609756097561"
"Lorain","048165","Keystone Local","114.0","107.0","0.9385964912280702"
"Lorain","048173","Midview Local","213.0","201.0","0.9436619718309859"
"Lucas","048207","Anthony Wayne Local","352.0","343.0","0.9744318181818182"
"Lucas","048215","Ottawa Hills Local","67.0","67.0","1.0"
"Lucas","048223","Springfield Local","288.0","271.0","0.9409722222222222"
"Lucas","048231","Washington Local","513.0","437.0","0.8518518518518519"
"Madison","048256","Jefferson Local","103.0","98.0","0.9514563106796117"
"Madison","048264","Jonathan Alder Local","198.0","176.0","0.8888888888888888"
"Madison","048272","Madison-Plains Local","92.0","81.0","0.8804347826086957"
"Mahoning","048298","Austintown Local","373.0","346.0","0.9276139410187667"
"Mahoning","048306","Boardman Local","321.0","308.0","0.9595015576323987"
"Mahoning","048314","Canfield Local","207.0","202.0","0.9758454106280193"
"Mahoning","048322","Jackson-Milton Local","52.0","45.0","0.8653846153846154"
"Mahoning","048330","Lowellville Local","46.0","45.0","0.9782608695652174"
"Mahoning","048348","Poland Local","151.0","149.0","0.9867549668874173"
"Mahoning","048355","Sebring Local","47.0","39.0","0.8297872340425532"
"Mahoning","048363","South Range Local","92.0","88.0","0.9565217391304348"
"Mahoning","048371","Springfield Local","72.0","69.0","0.9583333333333334"
"Mahoning","048389","West Branch Local","148.0","136.0","0.918918918918919"
"Mahoning","048397","Western Reserve Local","52.0","52.0","1.0"
"Marion","048413","Elgin Local","78.0","68.0","0.8717948717948718"
"Marion","048421","Pleasant Local","89.0","85.0","0.9550561797752809"
"Marion","048439","Ridgedale Local","58.0","50.0","0.8620689655172413"
"Marion","048447","River Valley Local","165.0","152.0","0.9212121212121213"
"Medina","048462","Black River Local","74.0","69.0","0.9324324324324325"
"Medina","048470","Buckeye Local","161.0","150.0","0.9316770186335404"
"Medina","048488","Cloverleaf Local","183.0","176.0","0.9617486338797814"
"Medina","048496","Highland Local","231.0","220.0","0.9523809523809523"
"Meigs","048512","Eastern Local","55.0","50.0","0.9090909090909091"
"Meigs","048520","Meigs Local","137.0","119.0","0.8686131386861314"
"Meigs","048538","Southern Local","50.0","45.0","0.9"
"Mercer","048553","Marion Local","76.0","76.0","1.0"
"Mercer","048579","Parkway Local","84.0","79.0","0.9404761904761905"
"Mercer","048587","St Henry Consolidated Local","67.0","66.0","0.9850746268656716"
"Mercer","048595","Fort Recovery Local","71.0","61.0","0.8591549295774648"
"Miami","048611","Bethel Local","80.0","78.0","0.975"
"Miami","048629","Miami East Local","102.0","96.0","0.9411764705882353"
"Miami","048637","Newton Local","48.0","46.0","0.9583333333333334"
"Monroe","048652","Switzerland of Ohio Local","167.0","136.0","0.8143712574850299"
"Montgomery","048678","Brookville Local","99.0","97.0","0.9797979797979798"
"Montgomery","048686","Jefferson Township Local","19.0","17.0","0.8947368421052632"
"Montgomery","048694","Trotwood-Madison City","131.0","102.0","0.7786259541984732"
"Montgomery","048702","Mad River Local","250.0","216.0","0.864"
"Montgomery","048710","New Lebanon Local","86.0","83.0","0.9651162790697675"
"Montgomery","048728","Northmont City","381.0","356.0","0.9343832020997376"
"Montgomery","048736","Northridge Local","129.0","102.0","0.7906976744186046"
"Montgomery","048744","Valley View Local","132.0","121.0","0.9166666666666666"
"Montgomery","048751","Huber Heights City","439.0","380.0","0.8656036446469249"
"Morgan","048777","Morgan Local","145.0","134.0","0.9241379310344827"
"Morrow","048793","Cardington-Lincoln Local","76.0","73.0","0.9605263157894737"
"Morrow","048801","Highland Local","136.0","131.0","0.9632352941176471"
"Morrow","048819","Northmor Local","65.0","59.0","0.9076923076923077"
"Muskingum","048835","East Muskingum Local","181.0","174.0","0.9613259668508287"
"Muskingum","048843","Franklin Local","168.0","149.0","0.8869047619047619"
"Muskingum","048850","Maysville Local","151.0","143.0","0.9470198675496688"
"Muskingum","048876","Tri-Valley Local","236.0","225.0","0.9533898305084746"
"Muskingum","048884","West Muskingum Local","113.0","107.0","0.9469026548672567"
"Noble","048900","Noble Local","66.0","62.0","0.9393939393939394"
"Ottawa","048926","Benton Carroll Salem Local","123.0","114.0","0.926829268292683"
"Ottawa","048934","Danbury Local","36.0","34.0","0.9444444444444444"
"Ottawa","048942","Genoa Area Local","94.0","85.0","0.9042553191489362"
"Paulding","048991","Antwerp Local","51.0","51.0","1.0"
"Paulding","049031","Wayne Trace Local","75.0","69.0","0.92"
"Perry","049056","Northern Local","142.0","134.0","0.9436619718309859"
"Perry","049064","Southern Local","60.0","51.0","0.85"
"Pickaway","049080","Logan Elm Local","122.0","114.0","0.9344262295081968"
"Pickaway","049098","Teays Valley Local","267.0","243.0","0.9101123595505618"
"Pickaway","049106","Westfall Local","95.0","79.0","0.8315789473684211"
"Pike","049122","Eastern Local","64.0","41.0","0.640625"
"Pike","049130","Scioto Valley Local","115.0","77.0","0.6695652173913044"
"Pike","049148","Waverly City","131.0","104.0","0.7938931297709924"
"Pike","049155","Western Local","65.0","41.0","0.6307692307692307"
"Portage","049171","Aurora City","205.0","199.0","0.9707317073170731"
"Portage","049189","Crestwood Local","126.0","115.0","0.9126984126984127"
"Portage","049197","Field Local","139.0","129.0","0.9280575539568345"
"Portage","049205","James A Garfield Local","121.0","117.0","0.9669421487603306"
"Portage","049213","Rootstown Local","91.0","87.0","0.9560439560439561"
"Portage","049221","Southeast Local","101.0","93.0","0.9207920792079208"
"Portage","049239","Streetsboro City","153.0","140.0","0.9150326797385621"
"Portage","049247","Waterloo Local","90.0","84.0","0.9333333333333333"
"Preble","049270","National Trail Local","85.0","81.0","0.9529411764705882"
"Preble","049288","Preble Shawnee Local","110.0","98.0","0.8909090909090909"
"Preble","049296","Twin Valley Community Local","58.0","52.0","0.896551724137931"
"Putnam","049312","Columbus Grove Local","64.0","62.0","0.96875"
"Putnam","049320","Continental Local","27.0","26.0","0.9629629629629629"
"Putnam","049338","Jennings Local","25.0","23.0","0.92"
"Putnam","049346","Kalida Local","54.0","54.0","1.0"
"Putnam","049353","Leipsic Local","48.0","44.0","0.9166666666666666"
"Putnam","049361","Miller City-New Cleveland Local","31.0","31.0","1.0"
"Putnam","049379","Ottawa-Glandorf Local","117.0","115.0","0.9829059829059829"
"Putnam","049387","Ottoville Local","32.0","32.0","1.0"
"Putnam","049395","Pandora-Gilboa Local","42.0","41.0","0.9761904761904762"
"Richland","049411","Clear Fork Valley Local","125.0","113.0","0.904"
"Richland","049429","Crestview Local","81.0","76.0","0.9382716049382716"
"Richland","049437","Lexington Local","157.0","155.0","0.9872611464968153"
"Richland","049445","Lucas Local","51.0","51.0","1.0"
"Richland","049452","Madison Local","201.0","179.0","0.8905472636815921"
"Richland","049460","Plymouth-Shiloh Local","67.0","61.0","0.9104477611940298"
"Richland","049478","Ontario Local","145.0","136.0","0.9379310344827586"
"Ross","049494","Adena Local","102.0","81.0","0.7941176470588235"
"Ross","049502","Huntington Local","106.0","96.0","0.9056603773584906"
"Ross","049510","Paint Valley Local","67.0","59.0","0.8805970149253731"
"Ross","049528","Southeastern Local","106.0","82.0","0.7735849056603774"
"Ross","049536","Union-Scioto Local","152.0","144.0","0.9473684210526315"
"Ross","049544","Zane Trace Local","120.0","107.0","0.8916666666666667"
"Sandusky","049569","Lakota Local","91.0","82.0","0.9010989010989011"
"Sandusky","049577","Woodmore Local","70.0","64.0","0.9142857142857143"
"Scioto","049593","Bloom-Vernon Local","72.0","66.0","0.9166666666666666"
"Scioto","049601","Clay Local","47.0","42.0","0.8936170212765957"
"Scioto","049619","Green Local","36.0","29.0","0.8055555555555556"
"Scioto","049627","Minford Local","94.0","83.0","0.8829787234042553"
"Scioto","049635","Northwest Local","140.0","129.0","0.9214285714285714"
"Scioto","049643","Valley Local","83.0","68.0","0.8192771084337349"
"Scioto","049650","Washington-Nile Local","119.0","108.0","0.907563025210084"
"Scioto","049668","Wheelersburg Local","113.0","106.0","0.9380530973451328"
"Seneca","049684","Seneca East Local","70.0","67.0","0.9571428571428572"
"Seneca","049700","Hopewell-Loudon Local","70.0","65.0","0.9285714285714286"
"Seneca","049718","New Riegel Local","24.0","22.0","0.9166666666666666"
"Seneca","049726","Old Fort Local","37.0","35.0","0.9459459459459459"
"Shelby","049759","Anna Local","96.0","92.0","0.9583333333333334"
"Shelby","049767","Botkins Local","41.0","41.0","1.0"
"Shelby","049775","Fairlawn Local","43.0","42.0","0.9767441860465116"
"Shelby","049783","Fort Loramie Local","56.0","56.0","1.0"
"Shelby","049791","Hardin-Houston Local","76.0","69.0","0.9078947368421053"
"Shelby","049809","Jackson Center Local","42.0","40.0","0.9523809523809523"
"Shelby","049817","Russia Local","27.0","27.0","1.0"
"Stark","049833","Canton Local","123.0","110.0","0.8943089430894309"
"Stark","049841","Fairless Local","126.0","115.0","0.9126984126984127"
"Stark","049858","Jackson Local","421.0","407.0","0.9667458432304038"
"Stark","049866","Lake Local","264.0","250.0","0.946969696969697"
"Stark","049874","Louisville City","221.0","211.0","0.9547511312217195"
"Stark","049882","Marlington Local","167.0","154.0","0.9221556886227545"
"Stark","049890","Minerva Local","135.0","118.0","0.8740740740740741"
"Stark","049908","Northwest Local","148.0","141.0","0.9527027027027027"
"Stark","049916","Osnaburg Local","66.0","62.0","0.9393939393939394"
"Stark","049924","Perry Local","353.0","333.0","0.943342776203966"
"Stark","049932","Plain Local","435.0","398.0","0.9149425287356322"
"Stark","049940","Sandy Valley Local","108.0","99.0","0.9166666666666666"
"Stark","049957","Tuslaw Local","101.0","99.0","0.9801980198019802"
"Summit","049973","Woodridge Local","156.0","147.0","0.9423076923076923"
"Summit","049981","Copley-Fairlawn City","211.0","203.0","0.9620853080568721"
"Summit","049999","Coventry Local","146.0","134.0","0.9178082191780822"
"Summit","050005","Manchester Local","87.0","83.0","0.9540229885057471"
"Summit","050013","Green Local","320.0","312.0","0.975"
"Summit","050021","Hudson City","344.0","332.0","0.9651162790697675"
"Summit","050039","Mogadore Local","61.0","58.0","0.9508196721311475"
"Summit","050047","Nordonia Hills City","262.0","244.0","0.9312977099236641"
"Summit","050054","Revere Local","191.0","188.0","0.9842931937172775"
"Summit","050062","Springfield Local","132.0","110.0","0.8333333333333334"
"Summit","050070","Twinsburg City","324.0","312.0","0.9629629629629629"
"Trumbull","050096","Bloomfield-Mespo Local","26.0","26.0","1.0"
"Trumbull","050112","Bristol Local","47.0","44.0","0.9361702127659575"
"Trumbull","050120","Brookfield Local","93.0","86.0","0.9247311827956989"
"Trumbull","050138","Champion Local","115.0","110.0","0.9565217391304348"
"Trumbull","050153","Mathews Local","61.0","57.0","0.9344262295081968"
"Trumbull","050161","Howland Local","217.0","202.0","0.9308755760368663"
"Trumbull","050179","Joseph Badger Local","69.0","62.0","0.8985507246376812"
"Trumbull","050187","Lakeview Local","112.0","108.0","0.9642857142857143"
"Trumbull","050195","Liberty Local","73.0","62.0","0.8493150684931506"
"Trumbull","050203","Lordstown Local","32.0","32.0","1.0"
"Trumbull","050211","Maplewood Local","52.0","51.0","0.9807692307692307"
"Trumbull","050229","McDonald Local","62.0","57.0","0.9193548387096774"
"Trumbull","050237","Southington Local","36.0","33.0","0.9166666666666666"
"Trumbull","050245","LaBrae Local","93.0","79.0","0.8494623655913979"
"Trumbull","050252","Weathersfield Local","70.0","64.0","0.9142857142857143"
"Tuscarawas","050278","Garaway Local","91.0","86.0","0.945054945054945"
"Tuscarawas","050286","Indian Valley Local Schools","157.0","150.0","0.9554140127388535"
"Tuscarawas","050294","Strasburg-Franklin Local","45.0","41.0","0.9111111111111111"
"Tuscarawas","050302","Tuscarawas Valley Local","88.0","77.0","0.875"
"Union","050328","Fairbanks Local","83.0","79.0","0.9518072289156626"
"Union","050336","North Union Local","114.0","106.0","0.9298245614035088"
"Van Wert","050351","Crestview Local","61.0","57.0","0.9344262295081968"
"Van Wert","050369","Lincolnview Local","64.0","57.0","0.890625"
"Vinton","050393","Vinton County Local","161.0","138.0","0.8571428571428571"
"Warren","050419","Carlisle Local","119.0","111.0","0.9327731092436975"
"Warren","050427","Springboro Community City","445.0","426.0","0.9573033707865168"
"Warren","050435","Kings Local","288.0","276.0","0.9583333333333334"
"Warren","050443","Little Miami Local","326.0","312.0","0.9570552147239264"
"Warren","050450","Mason City School District","770.0","751.0","0.9753246753246754"
"Warren","050468","Wayne Local","101.0","99.0","0.9801980198019802"
"Washington","050484","Fort Frye Local","69.0","64.0","0.927536231884058"
"Washington","050492","Frontier Local","53.0","44.0","0.8301886792452831"
"Washington","050500","Warren Local","146.0","137.0","0.9383561643835616"
"Washington","050518","Wolf Creek Local","44.0","40.0","0.9090909090909091"
"Wayne","050534","Chippewa Local","101.0","94.0","0.9306930693069307"
"Wayne","050542","Dalton Local","71.0","65.0","0.9154929577464789"
"Wayne","050559","Green Local","88.0","87.0","0.9886363636363636"
"Wayne","050567","Norwayne Local","100.0","95.0","0.95"
"Wayne","050575","Northwestern Local","107.0","102.0","0.9532710280373832"
"Wayne","050583","Southeast Local","120.0","115.0","0.9583333333333334"
"Wayne","050591","Triway Local","145.0","138.0","0.9517241379310345"
"Williams","050617","Edgerton Local","44.0","44.0","1.0"
"Williams","050625","Edon-Northwest Local","41.0","40.0","0.975609756097561"
"Williams","050633","Millcreek-West Unity Local","36.0","30.0","0.8333333333333334"
"Williams","050641","North Central Local","57.0","48.0","0.8421052631578947"
"Williams","050658","Stryker Local","36.0","36.0","1.0"
"Wood","050674","Eastwood Local","116.0","107.0","0.9224137931034483"
"Wood","050682","Elmwood Local","93.0","87.0","0.9354838709677419"
"Wood","050690","Lake Local","116.0","107.0","0.9224137931034483"
"Wood","050708","North Baltimore Local","42.0","39.0","0.9285714285714286"
"Wood","050716","Northwood Local Schools","73.0","70.0","0.958904109589041"
"Wood","050724","Otsego Local","109.0","103.0","0.944954128440367"
"Wyandot","050740","Mohawk Local","86.0","79.0","0.9186046511627907"
"Adams","061903","Adams County/Ohio Valley Local","301.0","268.0","0.8903654485049833"
"Gallia","065680","Gallia County Local","160.0","145.0","0.90625"
"Guernsey","069682","East Guernsey Local","77.0","69.0","0.8961038961038961"
"Preble","091397","Tri-County North Local","74.0","64.0","0.8648648648648649"
"Butler","139303","Monroe Local School District","194.0","172.0","0.8865979381443299"
