"County","IRN","Organization Name","Student Count","Student Count At or Above 392","Percentage"
"Hamilton","044271","Loveland City","322.0","315.0","0.9782608695652174"
"Hamilton","044289","Madeira City","109.0","108.0","0.9908256880733946"
"Richland","044297","Mansfield City","265.0","225.0","0.8490566037735849"
"Cuyahoga","044305","Maple Heights City","277.0","216.0","0.779783393501805"
"Hamilton","044313","Mariemont City","145.0","141.0","0.9724137931034482"
"Washington","044321","Marietta City","208.0","185.0","0.8894230769230769"
"Marion","044339","Marion City","310.0","233.0","0.7516129032258064"
"Belmont","044347","Martins Ferry City","108.0","100.0","0.9259259259259259"
"Stark","044354","Massillon City","277.0","246.0","0.8880866425992779"
"Lucas","044362","Maumee City","204.0","191.0","0.9362745098039216"
"Cuyahoga","044370","Mayfield City","270.0","256.0","0.9481481481481482"
"Medina","044388","Medina City SD","545.0","520.0","0.9541284403669725"
"Montgomery","044396","Miamisburg City","445.0","405.0","0.9101123595505618"
"Butler","044404","Middletown City","520.0","427.0","0.8211538461538461"
"Hamilton","044412","Mt Healthy City","298.0","251.0","0.8422818791946308"
"Knox","044420","Mount Vernon City","284.0","255.0","0.897887323943662"
"Henry","044438","Napoleon Area City","129.0","111.0","0.8604651162790697"
"Athens","044446","Nelsonville-York City","97.0","83.0","0.8556701030927835"
"Licking","044453","Newark City","507.0","448.0","0.883629191321499"
"Scioto","044461","New Boston Local","39.0","35.0","0.8974358974358975"
"Perry","044479","New Lexington City","152.0","124.0","0.8157894736842105"
"Tuscarawas","044487","New Philadelphia City","212.0","191.0","0.9009433962264151"
"Trumbull","044495","Niles City","184.0","165.0","0.8967391304347826"
"Stark","044503","North Canton City","293.0","280.0","0.9556313993174061"
"Hamilton","044511","North College Hill City","122.0","97.0","0.7950819672131147"
"Cuyahoga","044529","North Olmsted City","284.0","277.0","0.9753521126760564"
"Lorain","044537","North Ridgeville City","303.0","281.0","0.9273927392739274"
"Cuyahoga","044545","North Royalton City","294.0","282.0","0.9591836734693877"
"Summit","044552","Norton City","200.0","183.0","0.915"
"Huron","044560","Norwalk City","220.0","191.0","0.8681818181818182"
"Hamilton","044578","Norwood City","161.0","140.0","0.8695652173913043"
"Montgomery","044586","Oakwood City","142.0","140.0","0.9859154929577465"
"Lorain","044594","Oberlin City Schools","78.0","69.0","0.8846153846153846"
"Lucas","044602","Oregon City","279.0","263.0","0.942652329749104"
"Wayne","044610","Orrville City","113.0","101.0","0.8938053097345132"
"Lake","044628","Painesville City Local","246.0","176.0","0.7154471544715447"
"Cuyahoga","044636","Parma City","714.0","637.0","0.8921568627450981"
"Miami","044644","Piqua City","306.0","248.0","0.8104575163398693"
"Ottawa","044651","Port Clinton City","128.0","114.0","0.890625"
"Scioto","044669","Portsmouth City","130.0","106.0","0.8153846153846154"
"Hamilton","044677","Princeton City","442.0","370.0","0.8371040723981901"
"Portage","044685","Ravenna City","197.0","170.0","0.8629441624365483"
"Hamilton","044693","Reading Community City","133.0","126.0","0.9473684210526315"
"Cuyahoga","044701","Rocky River City","210.0","208.0","0.9904761904761905"
"Hamilton","044719","St Bernard-Elmwood Place City","62.0","56.0","0.9032258064516129"
"Auglaize","044727","St Marys City","158.0","148.0","0.9367088607594937"
"Columbiana","044735","Salem City","147.0","141.0","0.9591836734693877"
"Erie","044743","Sandusky City","269.0","216.0","0.8029739776951673"
"Cuyahoga","044750","Shaker Heights City","372.0","335.0","0.9005376344086021"
"Lorain","044768","Sheffield-Sheffield Lake City","121.0","111.0","0.9173553719008265"
"Richland","044776","Shelby City","126.0","117.0","0.9285714285714286"
"Shelby","044784","Sidney City","255.0","232.0","0.9098039215686274"
"Cuyahoga","044792","South Euclid-Lyndhurst City","267.0","241.0","0.9026217228464419"
"Franklin","044800","South-Western City","1624.0","1326.0","0.8165024630541872"
"Clark","044818","Springfield City","562.0","457.0","0.8131672597864769"
"Jefferson","044826","Steubenville City","156.0","151.0","0.967948717948718"
"Summit","044834","Stow-Munroe Falls City School District","356.0","333.0","0.9353932584269663"
"Cuyahoga","044842","Strongsville City","369.0","355.0","0.962059620596206"
"Mahoning","044859","Struthers City","121.0","108.0","0.8925619834710744"
"Hamilton","044867","Sycamore Community City","379.0","370.0","0.9762532981530343"
"Lucas","044875","Sylvania City","507.0","488.0","0.9625246548323472"
"Summit","044883","Tallmadge City","164.0","157.0","0.9573170731707317"
"Seneca","044891","Tiffin City","203.0","184.0","0.9064039408866995"
"Lucas","044909","Toledo City","1718.0","1313.0","0.7642607683352736"
"Jefferson","044917","Toronto City","64.0","50.0","0.78125"
"Miami","044925","Troy City","300.0","283.0","0.9433333333333334"
"Franklin","044933","Upper Arlington City","392.0","380.0","0.9693877551020408"
"Champaign","044941","Urbana City","154.0","134.0","0.8701298701298701"
"Montgomery","044958","Vandalia-Butler City","210.0","198.0","0.9428571428571428"
"Van Wert","044966","Van Wert City","154.0","145.0","0.9415584415584416"
"Medina","044974","Wadsworth City","350.0","334.0","0.9542857142857143"
"Auglaize","044982","Wapakoneta City","266.0","249.0","0.9360902255639098"
"Trumbull","044990","Warren City","388.0","258.0","0.6649484536082474"
"Cuyahoga","045005","Warrensville Heights City","113.0","69.0","0.6106194690265486"
"Fayette","045013","Washington Court House City","194.0","157.0","0.8092783505154639"
"Jackson","045021","Wellston City","115.0","106.0","0.9217391304347826"
"Columbiana","045039","Wellsville Local","64.0","57.0","0.890625"
"Franklin","045047","Westerville City","1083.0","1023.0","0.9445983379501385"
"Montgomery","045054","West Carrollton City","312.0","278.0","0.8910256410256411"
"Cuyahoga","045062","Westlake City","252.0","238.0","0.9444444444444444"
"Franklin","045070","Whitehall City","247.0","185.0","0.7489878542510121"
"Lake","045088","Wickliffe City","112.0","106.0","0.9464285714285714"
"Huron","045096","Willard City","126.0","82.0","0.6507936507936508"
"Lake","045104","Willoughby-Eastlake City","628.0","586.0","0.9331210191082803"
"Clinton","045112","Wilmington City","222.0","183.0","0.8243243243243243"
"Wayne","045120","Wooster City","272.0","238.0","0.875"
"Franklin","045138","Worthington City","699.0","648.0","0.927038626609442"
"Hamilton","045146","Wyoming City","142.0","140.0","0.9859154929577465"
"Greene","045153","Xenia Community City","319.0","268.0","0.8401253918495298"
"Mahoning","045161","Youngstown City Schools","405.0","275.0","0.6790123456790124"
"Muskingum","045179","Zanesville City","291.0","212.0","0.7285223367697594"
"Hardin","045187","Ada Exempted Village","81.0","75.0","0.9259259259259259"
"Lorain","045195","Amherst Exempted Village","243.0","227.0","0.934156378600823"
"Belmont","045203","Barnesville Exempted Village","108.0","99.0","0.9166666666666666"
"Allen","045211","Bluffton Exempted Village","92.0","90.0","0.9782608695652174"
"Miami","045229","Bradford Exempted Village","38.0","37.0","0.9736842105263158"
"Belmont","045237","Bridgeport Exempted Village","60.0","50.0","0.8333333333333334"
"Harrison","045245","Harrison Hills City","115.0","93.0","0.808695652173913"
"Noble","045252","Caldwell Exempted Village","61.0","54.0","0.8852459016393442"
"Wyandot","045260","Carey Exempted Village","55.0","51.0","0.9272727272727272"
"Carroll","045278","Carrollton Exempted Village","166.0","149.0","0.8975903614457831"
"Cuyahoga","045286","Chagrin Falls Exempted Village","141.0","140.0","0.9929078014184397"
"Lawrence","045294","Chesapeake Union Exempted Village","125.0","104.0","0.832"
"Sandusky","045302","Clyde-Green Springs Exempted Village","167.0","154.0","0.9221556886227545"
"Mercer","045310","Coldwater Exempted Village","115.0","113.0","0.9826086956521739"
"Columbiana","045328","Columbiana Exempted Village","79.0","72.0","0.9113924050632911"
"Miami","045336","Covington Exempted Village","68.0","64.0","0.9411764705882353"
"Crawford","045344","Crestline Exempted Village","37.0","32.0","0.8648648648648649"
"Perry","045351","Crooksville Exempted Village","87.0","77.0","0.8850574712643678"
"Lake","045369","Fairport Harbor Exempted Village","48.0","43.0","0.8958333333333334"
"Brown","045377","Georgetown Exempted Village","77.0","65.0","0.8441558441558441"
"Sandusky","045385","Gibsonburg Exempted Village","77.0","70.0","0.9090909090909091"
"Licking","045393","Granville Exempted Village","168.0","159.0","0.9464285714285714"
"Highland","045401","Greenfield Exempted Village","147.0","127.0","0.8639455782312925"
"Defiance","045419","Hicksville Exempted Village","68.0","65.0","0.9558823529411765"
"Trumbull","045427","Hubbard Exempted Village","157.0","148.0","0.9426751592356688"
"Hamilton","045435","Indian Hill Exempted Village","129.0","128.0","0.9922480620155039"
"Columbiana","045443","Leetonia Exempted Village","47.0","42.0","0.8936170212765957"
"Columbiana","045450","Lisbon Exempted Village","50.0","49.0","0.98"
"Ashland","045468","Loudonville-Perrysville Exempted Village","76.0","75.0","0.9868421052631579"
"Union","045476","Marysville Exempted Village","431.0","383.0","0.888631090487239"
"Champaign","045484","Mechanicsburg Exempted Village","60.0","59.0","0.9833333333333333"
"Lake","045492","Mentor Exempted Village","548.0","518.0","0.9452554744525548"
"Clermont","045500","Milford Exempted Village","494.0","478.0","0.9676113360323887"
"Miami","045518","Milton-Union Exempted Village","114.0","112.0","0.9824561403508771"
"Williams","045526","Montpelier Exempted Village","70.0","63.0","0.9"
"Morrow","045534","Mount Gilead Exempted Village","88.0","76.0","0.8636363636363636"
"Tuscarawas","045542","Newcomerstown Exempted Village","63.0","55.0","0.873015873015873"
"Clermont","045559","New Richmond Exempted Village","167.0","158.0","0.9461077844311377"
"Trumbull","045567","Newton Falls Exempted Village","76.0","55.0","0.7236842105263158"
"Paulding","045575","Paulding Exempted Village","99.0","91.0","0.9191919191919192"
"Wood","045583","Perrysburg Exempted Village","363.0","344.0","0.9476584022038568"
"Wayne","045591","Rittman Exempted Village","83.0","72.0","0.8674698795180723"
"Wood","045609","Rossford Exempted Village","134.0","127.0","0.9477611940298507"
"Miami","045617","Tipp City Exempted Village","196.0","183.0","0.9336734693877551"
"Wyandot","045625","Upper Sandusky Exempted Village","118.0","108.0","0.9152542372881356"
"Darke","045633","Versailles Exempted Village","95.0","92.0","0.968421052631579"
"Fulton","045641","Wauseon Exempted Village","125.0","124.0","0.992"
"Lorain","045658","Wellington Exempted Village","85.0","71.0","0.8352941176470589"
"Portage","045666","Windham Exempted Village","44.0","39.0","0.8863636363636364"
"Greene","045674","Yellow Springs Exempted Village","49.0","47.0","0.9591836734693877"
"Allen","045757","Allen East Local","83.0","81.0","0.9759036144578314"
"Allen","045765","Bath Local","158.0","152.0","0.9620253164556962"
"Allen","045773","Elida Local","224.0","191.0","0.8526785714285714"
"Allen","045781","Perry Local","70.0","61.0","0.8714285714285714"
"Allen","045799","Shawnee Local","169.0","165.0","0.9763313609467456"
"Allen","045807","Spencerville Local","69.0","67.0","0.9710144927536232"
"Ashland","045823","Hillsdale Local","76.0","73.0","0.9605263157894737"
"Ashland","045831","Mapleton Local","65.0","61.0","0.9384615384615385"
"Ashtabula","045856","Buckeye Local","140.0","132.0","0.9428571428571428"
"Ashtabula","045864","Grand Valley Local","106.0","100.0","0.9433962264150944"
"Ashtabula","045872","Jefferson Area Local","129.0","116.0","0.8992248062015504"
"Ashtabula","045880","Pymatuning Valley Local","105.0","94.0","0.8952380952380953"
"Athens","045906","Alexander Local","126.0","109.0","0.8650793650793651"
"Athens","045914","Federal Hocking Local","80.0","75.0","0.9375"
"Athens","045922","Trimble Local","57.0","40.0","0.7017543859649122"
"Auglaize","045948","Minster Local","56.0","55.0","0.9821428571428571"
"Auglaize","045955","New Bremen Local","61.0","60.0","0.9836065573770492"
"Auglaize","045963","New Knoxville Local","22.0","22.0","1.0"
"Auglaize","045971","Waynesfield-Goshen Local","35.0","34.0","0.9714285714285714"
"Belmont","045997","St Clairsville-Richland City","114.0","103.0","0.9035087719298246"
"Belmont","046003","Shadyside Local","58.0","57.0","0.9827586206896551"
"Belmont","046011","Union Local","114.0","103.0","0.9035087719298246"
"Brown","046037","Eastern Local","99.0","88.0","0.8888888888888888"
"Brown","046045","Fayetteville-Perry Local","60.0","57.0","0.95"
"Brown","046060","Western Brown Local","263.0","211.0","0.8022813688212928"
"Brown","046078","Ripley-Union-Lewis-Huntington Local","62.0","48.0","0.7741935483870968"
"Butler","046094","Edgewood City","279.0","259.0","0.9283154121863799"
"Butler","046102","Fairfield City","764.0","692.0","0.9057591623036649"
"Butler","046110","Lakota Local","1266.0","1189.0","0.9391785150078988"
"Butler","046128","Madison Local","110.0","92.0","0.8363636363636363"
"Butler","046136","New Miami Local","55.0","39.0","0.7090909090909091"
"Butler","046144","Ross Local","217.0","204.0","0.9400921658986175"
"Butler","046151","Talawanda City","196.0","185.0","0.9438775510204082"
