"IRN","Local Education Agency Name","Org Type","Operating Expenditures","Instruction","Pupil Support","Staff Support","Administration","Operations Support","Operating EPP","Instruction EPP","Pupil Support EPP","Staff Support EPP","Administration EPP","Operations Support EPP","Operating EPEP","Instruction EPEP","Pupil Support EPEP","Staff Support EPEP","Administration EPEP","Operations Support EPEP"
"000556","A+ Arts Academy","Community School","2588476.79","1038416.5199999998","110184.11000000002","246634.71","705759.67","487481.77999999997","8553.12265394183","3431.2472477064157","364.0821547970761","814.9568632405521","2332.046802596793","1610.7895856009925","7591.07542818955","3045.303770793363","323.130535003922","723.2912785050142","2069.7403623017094","1429.6094815855404"
"013232","A+ Children's Academy","Community School","625560.2000000001","427107.41000000003","0.0","0.0","146051.16999999998","52401.62","7972.421797407166","5443.249786860033","0.0","0.0","1861.3420918479458","667.8299186991873","7457.180114550331","5091.463434900582","0.0","0.0","1741.0472735170965","624.6694061326518"
"011470","A.B. Graham Academy","Community School","1450066.4300000002","990082.01","33741.229999999996","122716.61","235194.71000000002","68331.87","6233.587889420472","4256.19344009576","145.04778426058084","527.5377445478377","1011.0618834971305","293.7470370191619","5602.308800388665","3825.166242714479","130.35871036952287","474.1136888169072","908.6710555997493","263.9991028880064"
"008064","Academy of Arts and Sciences","Community School","1207542.5300000003","512180.3600000003","20650.690000000002","56923.14","428074.43000000005","189713.91","5152.313713236124","2185.3589641088797","88.11187236178596","242.87829830926094","1826.4977846989266","809.4667937572714","4825.993028302118","2046.9497224195238","82.53132580732229","227.49565333244647","1710.8169389068248","758.1993878360004"
"000784","Academy of Columbus","Community School","2935012.5","950123.96","44956.79","131760.33","759970.0","1048201.4200000002","8528.513007657562","2760.8552099001668","130.63473095856642","382.8670877204962","2208.30883358402","3045.8471454943137","7910.58135998593","2560.8180161590512","121.16961852080762","355.12653199384835","2048.3062733628926","2825.1609199493305"
"013195","Academy of Educational Excellence","Community School","421667.25","186918.85","3478.5","1663.6000000000001","151476.63999999998","78129.66000000002","6340.585332464139","2810.687618426768","52.305997392438016","25.01545415036938","2277.7452168622312","1174.8310456323327","6105.077134636385","2706.290320549031","50.36319707739377","24.086305780638863","2193.142984890449","1131.194326338873"
"012090","Academy of New Media Middle","Community School","922544.8900000001","387404.58","34068.520000000004","96991.97000000002","254687.62999999998","149392.19","11164.13019057972","4688.156873913048","412.27846666666704","1173.743405072465","3082.0894355072487","1807.8620094202915","9439.657985759417","3963.998692049308","348.59569476451645","992.4406216862118","2606.0131560683612","1528.6098211910187"
"012624","Accelerated Achievement Academy of East Cincinnati","Community School","1294212.38","793223.85","0.0","0.0","320578.57","180409.96000000002","7175.168885539739","4397.66701025379","0.0","0.0","1777.3013273407441","1000.200547945206","6596.455680185742","4042.9732027376394","0.0","0.0","1633.9530989668965","919.5293784812062"
"012683","Accelerated Achievement Academy of North Cincinnati","Community School","1001354.46","554820.7499999999","0.0","0.0","267724.18000000005","178809.53","8028.92904121965","4448.590993788819","0.0","0.0","2146.630918125353","1433.707129305477","7598.144679749045","4209.906180301903","0.0","0.0","2031.4555286518384","1356.782970795304"
"011507","Achieve Career Preparatory Academy","Community School","1875431.21","710193.0299999999","92668.85","107237.05","537735.88","427596.4","11020.889270282414","4173.418199730373","544.5644336133291","630.1738221162155","3159.9813197829167","2512.7514950395794","8282.633628745352","3136.4886335546034","409.26168299564495","473.60052015847964","2374.850785953901","1888.4320060827235"
