"IRN","DISTRICT","COUNTY","COUNTY NUMBER","DISTRICT TYPE","CALCULATED OPPORTUNITY GRANT","CAPPED OPPORTUNITY GRANT","CALCULATED TARGETED ASSISTANCE","CAPPED TARGETED ASSISTANCE","CALCULATED K-3 LITERACY FUNDING","CAPPED K-3 LITERACY FUNDING","CALCULATED ECONOMIC DISADVANTAGED FUNDING","CAPPED ECONOMIC DISADVANTAGED FUNDING","CALCULATED LIMITED ENGLISH PROFICIENCY FUNDING","CAPPED LIMITED ENGLISH PROFICIENCY FUNDING","CALCULATED GIFTED EDUCATION FUNDING","CAPPED GIFTED EDUCATION FUNDING","CALCULATED TRANSPORTATION FUNDING","CAPPED TRANSPORTATION FUNDING","CALCULATED SPECIAL EDUCATION ADDITIONAL FUNDING","CAPPED SPECIAL EDUCATION ADDITIONAL FUNDING","CALCULATED CAREER TECH EDUCATION FUNDING","CAPPED CAREER TECH EDUCATION FUNDING","CALCULATED FUNDING BEFORE GUARANTEE","CAPPED FUNDING BEFORE GUARANTEE","TRANSITIONAL GUARANTEE BASE","TRANSITIONAL GUARANTEE","TOTAL CALCULATED STATE FUNDING","PRESCHOOL SPECIAL EDUCATION FUNDING","SPECIAL EDUCATION TRANSPORTATION FUNDING","TOTAL ADDITIONAL AID ITEMS","EDUCATION SERVICE CENTER TRANSFER","OPEN ENROLLMENT ADJUSTMENT","COMMUNITY SCHOOL TRANSFER","STEM SCHOOL TRANSFER","SCHOLARSHIP TRANSFER","OTHER ADJUSTMENTS","TOTAL TRANSFERS & ADJUSTMENTS","NET STATE FOUNDATION FUNDING","STATEWIDE TOTAL ADM","STATEWIDE FORMULA ADM","STATEWIDE ECONOMIC DISADVANTAGED RATIO","STATEWIDE MEDIAN INCOME","STATEWIDE 3 YEAR AVERAGE VALUATION","STATEWIDE 3 YEAR AVERAGE ADJUSTED VALUATION","STATEWIDE 3 YEAR FEDERAL GROSS INCOME","ADJUSTED TOTAL ADM","TOTAL ADM","TUITION KINDERGARTEN ADM","JOINTURE JVS ADM","FORMULA ADM","CATEGORY 1 SPECIAL EDUCATION ADM","CATEGORY 2 SPECIAL EDUCATION ADM","CATEGORY 3 SPECIAL EDUCATION ADM","CATEGORY 4 SPECIAL EDUCATION ADM","CATEGORY 5 SPECIAL EDUCATION ADM","CATEGORY 6 SPECIAL EDUCATION ADM","CATEGORY 1 CAREER TECH FTE","CATEGORY 2 CAREER TECH FTE","CATEGORY 3 CAREER TECH FTE","CATEGORY 4 CAREER TECH FTE","CATEGORY 5 CAREER TECH FTE","CATEGORY 1 LEP ADM","CATEGORY 2 LEP ADM","CATEGORY 3 LEP ADM","K-3 FORMULA ADM","K-3 E-SCHOOL FORMULA ADM","PRESCHOOL AUTISM SCHOLARSHIP ADM","BRICK & MORTAR & STEM SCHOOL ADM","E-SCHOOL FORMULA ADM","NET FORMULA ADM","JON PETERSON SCHOLARSHIP ADM","AUTISM SCHOLARSHIP ADM","EDCHOICE SCHOLARSHIP ADM","ECONOMIC DISADVANTAGED ADM","ECONOMIC DISADVANTAGED RATIO","E-SCHOOL ECONOMIC DISADVANTAGED ADM","3 YEAR AVERAGE FEDERAL GROSS INCOME","3 YEAR AVERAGE TOTAL REAL VALUATION","3 YEAR AVERAGE AGRICULTURAL REAL VALUATION","3 YEAR AVERAGE ADJSUTED TOTAL VALUATION","3 YEAR AVERAGE TOTAL VALUATION","EXEMPT PROPERTY VALUATION","POTENTIAL PROPERTY VALUATION","MEDIAN INCOME TY11","STATE SHARE INDEX","ECONIMC DISADVANTAGED INDEX","INCOMING OPEN ENROLLMENT ADM","OUTGOING OPEN ENROLLMENT ADM","RESIDENT COMMUNITY SCHOOL ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 1 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 2 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 3 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 4 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 5 ADM","RESIDENT SPECIAL ED PRESCHOOL CATEGORY 6 ADM"
"50229.0","McDonald Local SD","Trumbull","78.0","3.0","3024533.64","2827367.94","534712.26","499855.01","33326.51","31153.99","20771.47","19417.4","0.0","0.0","44493.5","41593.03","69547.97","65014.22","349163.73","349163.73","115.33","115.33","4076664.41","3833680.65","3608170.02","0.0","3833680.65","31019.27","0.0","31019.27","-250767.83","927243.0","-40343.92","0.0","0.0","-10057.57","626073.68","4490773.6","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","708.3","708.3","0.0","29.5","684.7","14.0","40.0","3.5","3.0","1.0","8.0","0.0","0.0","0.08","0.0","0.0","0.0","0.0","0.0","183.73","0.73","0.0","1.0","7.5","676.45","0.0","0.0","0.0","204.99","0.289411266","5.49","81131486.0","51534947.0","757.0","52775603.0","52775603.0","4465340.0","57240943.0","31483.0","0.768896809","0.387054509","185.0","18.8","6.99","2.0","4.0","0.0","0.0","0.0","0.0"
"50237.0","Southington Local SD","Trumbull","78.0","3.0","1755897.13","1755897.13","267812.9","267812.9","22897.29","22897.29","71868.57","71868.57","0.0","0.0","38977.45","38977.45","225199.11","225199.11","264323.84","264323.84","64.11","64.11","2647040.4","2647040.4","2655025.12","7984.72","2655025.12","13917.38","0.0","13917.38","-283054.45","153295.5","-122009.08","0.0","0.0","-19987.27","-271755.3","2397187.2","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","562.93","562.93","0.0","24.3","543.49","6.0","68.44","3.0","0.0","6.0","3.0","0.0","0.0","0.0","0.0","0.08","0.0","0.0","0.0","147.5","1.0","0.0","2.0","15.33","526.66","0.0","0.0","0.0","266.43","0.473291528","8.33","77804644.0","62772470.0","16927930.0","64407046.0","64407046.0","5684970.0","70092017.0","31666.0","0.562363956","1.03513913","64.0","36.5","17.23","2.0","1.0","0.0","0.0","0.0","0.0"
"50245.0","La Brae Local SD","Trumbull","78.0","3.0","5094426.38","4492876.66","1437190.79","1267487.34","59419.05","52402.85","442159.07","389948.94","0.0","0.0","65110.2","57421.98","512972.57","452400.79","1016782.39","1016782.39","31840.74","31840.74","8659901.19","7761161.69","7304622.78","0.0","7761161.69","28814.18","0.0","28814.18","-812629.24","908229.0","-545868.97","0.0","0.0","-15063.48","-465332.69","7324643.18","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1294.36","1294.36","0.0","47.9","1256.04","33.0","140.52","7.21","1.0","14.78","21.79","0.0","0.14","12.05","0.0","15.33","0.0","0.0","0.0","346.25","5.25","0.0","21.9","33.36","1206.25","0.0","0.0","0.0","850.06","0.656741556","25.36","124971413.0","104711710.0","14668767.0","112173503.0","112173503.0","23217760.0","135391263.0","27650.0","0.705995263","1.993105373","239.0","75.0","51.9","4.0","2.0","0.0","0.0","0.0","0.0"
"50252.0","Weathersfield Local SD","Trumbull","78.0","3.0","2397095.99","2125761.01","290556.17","257667.18","32466.0","28791.07","119552.37","106019.85","651.34","577.61","45778.4","40596.6","181867.92","161281.71","328013.12","328013.12","2188.49","2188.49","3398169.8","3050896.64","2871432.14","0.0","3050896.64","29474.49","0.0","29474.49","-317406.25","1428547.5","-189166.61","0.0","-39025.0","-5369.54","877580.1","3957951.23","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","737.85","737.85","0.0","22.71","719.68","22.0","45.6","2.29","3.0","5.0","8.98","0.0","0.0","1.94","0.0","0.1","0.0","1.0","0.0","206.0","1.0","1.0","7.39","13.43","699.47","0.0","2.23","0.0","377.62","0.511784238","10.43","107367830.0","77952403.0","3261977.0","82053603.0","82053603.0","23165230.0","105218833.0","30497.0","0.578965817","1.210361434","298.8","46.0","19.08","3.0","1.0","0.0","0.0","0.0","1.0"
"50278.0","Garaway Local SD","Tuscarawas","79.0","3.0","2893757.92","2018883.19","225588.69","157386.08","51749.34","36103.87","67549.67","47127.26","9268.21","6466.13","63319.35","44175.9","564047.05","393517.75","304318.28","304318.28","966.68","966.68","4180565.19","3008945.14","2831948.39","0.0","3008945.14","100614.84","2398.29","103013.13","-254422.99","57008.64","-255575.31","0.0","0.0","-9244.59","-462234.25","2649724.02","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1243.73","1243.73","0.0","62.32","1193.87","29.36","96.61","4.5","1.0","11.0","3.0","0.24","0.0","0.0","0.0","0.77","0.0","18.86","1.0","379.0","6.0","0.0","3.24","40.63","1150.81","0.0","0.0","0.0","445.97","0.35857461","23.33","183758444.0","189154357.0","46499107.0","195623170.0","195623170.0","13049330.0","208672500.0","29922.0","0.421905439","0.594155791","97.74","83.98","42.06","15.0","4.0","0.0","0.0","1.0","1.0"
"50286.0","Indian Valley Local SD","Tuscarawas","79.0","3.0","6892983.97","5726583.25","1954822.52","1624035.97","92175.59","76578.04","152838.44","126975.79","0.0","0.0","84572.75","70261.71","880700.63","731672.3","667832.45","667832.45","38507.75","38507.75","10764434.1","9062447.26","8529362.14","0.0","9062447.26","107064.93","2522.33","109587.26","-234882.69","729096.12","-273620.18","0.0","-20000.0","-1754.8","198838.45","9370872.97","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1807.35","1807.35","0.0","78.5","1744.55","48.0","139.49","4.0","1.0","3.0","11.0","11.22","0.0","0.0","0.0","0.12","0.0","0.0","0.0","546.1","10.1","0.0","0.0","52.02","1691.53","1.0","0.0","0.0","744.81","0.412100589","20.82","171256095.0","143633930.0","30893593.0","163000260.0","163000260.0","11103640.0","174103900.0","30259.0","0.687755092","0.784779654","325.7","197.52","44.38","19.0","4.0","0.0","0.0","0.0","0.0"
"50294.0","Strasburg-Franklin Local SD","Tuscarawas","79.0","3.0","1770788.23","1770788.23","218897.2","218897.2","29338.25","29338.25","33228.28","33228.28","6468.0","6468.0","42436.7","42436.7","134053.94","134053.94","142020.71","142020.71","5054.85","5054.85","2382286.16","2382286.16","2436471.71","54185.55","2436471.71","28373.8","0.0","28373.8","-370869.27","-19582.6","-144899.92","0.0","0.0","-610.14","-535961.93","1928883.58","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","669.44","669.44","0.0","32.62","643.34","12.0","35.02","0.0","0.0","3.0","3.9","0.7","0.0","0.0","0.0","4.96","3.0","9.0","0.0","203.23","2.13","0.0","1.0","22.34","620.25","0.0","0.0","0.0","230.64","0.344526769","5.44","95976555.0","85183373.0","9726787.0","88589400.0","88589400.0","6094930.0","94684330.0","32118.0","0.479110885","0.548513357","44.5","42.58","24.11","2.0","4.0","0.0","0.0","0.0","0.0"
"50302.0","Tuscarawas Valley Local SD","Tuscarawas","79.0","3.0","4300502.6","4013140.21","570778.75","532638.94","61409.03","57305.64","46119.96","43038.19","1657.94","1547.16","76069.1","70986.12","707378.08","660110.62","329401.94","329401.94","27115.22","27115.22","6120432.62","5735284.04","5397914.38","0.0","5735284.04","92489.82","10485.36","102975.18","-399321.23","-379322.41","-247045.89","0.0","0.0","-38804.77","-1064494.3","4773764.92","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1589.69","1589.69","0.0","82.33","1523.82","26.4","88.76","5.63","0.0","1.0","9.19","6.17","0.44","0.61","0.73","14.1","0.0","3.0","0.0","422.6","6.0","0.0","4.13","32.37","1488.35","0.0","0.0","0.0","459.68","0.289163296","15.96","224086302.0","192829007.0","27922720.0","204949810.0","204949810.0","13443760.0","218393570.0","35004.0","0.491242024","0.38639153","85.88","147.81","38.14","11.0","9.0","0.0","0.0","0.0","0.0"
"50328.0","Fairbanks Local SD","Union","80.0","3.0","1067302.15","1067302.15","0.0","0.0","25181.39","25181.39","3306.41","3306.41","771.56","771.56","52244.7","52244.7","505601.39","505601.39","112705.04","112705.04","14520.14","14520.14","1781632.78","1781632.78","1827640.38","46007.6","1827640.38","29795.26","5242.68","35037.94","-139518.66","302357.5","-225353.22","0.0","-17500.0","-5781.88","-85796.26","1776882.06","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","932.7","932.7","0.0","37.2","902.94","9.4","68.9","4.6","0.0","3.5","7.0","10.65","0.42","0.0","0.0","10.95","2.5","0.0","0.0","230.63","5.23","0.0","0.0","36.4","866.54","0.0","0.0","0.0","136.88","0.146756728","13.38","178640583.0","197098713.0","61600060.0","203210953.0","203210953.0","6277300.0","209488253.0","43907.0","0.205749343","0.099526173","101.4","50.9","36.08","4.0","3.0","0.0","0.0","0.0","0.0"
"50336.0","North Union Local SD","Union","80.0","3.0","4423834.96","4423834.96","914773.72","914773.72","62563.68","62563.68","207941.99","207941.99","0.0","0.0","70999.05","70999.05","521539.55","521539.55","547458.06","547458.06","152404.73","152404.73","6901515.74","6901515.74","6888420.38","0.0","6901515.74","70039.57","0.0","70039.57","-215084.65","628964.5","-283326.66","0.0","0.0","-20828.99","109724.2","7081279.51","1722831.49","1691302.01","0.465188926","32180.0","242082979402.0","242082979402.0","265792223824.0","1443.75","1443.75","0.0","57.42","1397.81","27.0","135.9","10.0","0.0","6.0","10.0","55.46","0.0","0.0","0.0","0.52","0.0","0.0","0.0","412.0","8.0","0.0","1.0","40.95","1356.11","0.0","0.0","0.0","712.05","0.493194805","24.33","165995404.0","159945460.0","60541140.0","168387196.0","168387196.0","13101690.0","181488887.0","34197.0","0.550884737","1.124030903","154.2","47.54","42.06","7.0","5.0","1.0","1.0","0.0","0.0"
