"District IRN","District Name","County","No. Third graders enrolled at end of school year and accountable to district","Perc. Exempt from TGRG promotion threshold","No. Subject to TGRG promotion threshold","Perc. Met promotion threshold","No. Did not meet promotion threshold"
"046250","Northeastern Local","Clark","237.0","0.05485232067510549","224.0","0.9910714285714286","0.008928571428571428"
"046268","Northwestern Local","Clark","112.0","0.03571428571428571","108.0","1.0","0.0"
"046276","Southeastern Local","Clark","57.0","0.07017543859649122","53.0","1.0","0.0"
"044818","Springfield City","Clark","523.0","0.11089866156787763","465.0","0.9483870967741935","0.05161290322580645"
"046243","Tecumseh Local","Clark","189.0","0.05291005291005291","179.0","0.9776536312849162","0.0223463687150838"
"046300","Batavia Local","Clermont","158.0","0.04430379746835443","151.0","0.9933774834437086","0.006622516556291391"
"046318","Bethel-Tate Local","Clermont","109.0","0.027522935779816515","106.0","1.0","0.0"
"046326","Clermont Northeastern Local","Clermont","99.0","0.0707070707070707","92.0","0.9782608695652174","0.021739130434782608"
"046334","Felicity-Franklin Local","Clermont","81.0","0.06172839506172839","76.0","0.9736842105263158","0.02631578947368421"
"046342","Goshen Local","Clermont","189.0","0.06349206349206349","177.0","1.0","0.0"
"045500","Milford Exempted Village","Clermont","478.0","0.04184100418410042","458.0","1.0","0.0"
"045559","New Richmond Exempted Village","Clermont","166.0","0.05421686746987952","157.0","0.9936305732484076","0.006369426751592357"
"046359","West Clermont Local","Clermont","611.0","0.02127659574468085","598.0","0.9832775919732442","0.016722408026755852"
"046367","Williamsburg Local","Clermont","67.0","0.04477611940298507","64.0","0.984375","0.015625"
"046383","Blanchester Local","Clinton","139.0","0.07194244604316546","129.0","0.9767441860465116","0.023255813953488372"
"046391","Clinton-Massie Local","Clinton","138.0","0.050724637681159424","131.0","0.9770992366412213","0.022900763358778626"
"046409","East Clinton Local","Clinton","96.0","0.010416666666666666","95.0","0.968421052631579","0.031578947368421054"
"045112","Wilmington City","Clinton","196.0","0.061224489795918366","184.0","0.9239130434782609","0.07608695652173914"
"046425","Beaver Local","Columbiana","122.0","0.03278688524590164","118.0","0.9915254237288136","0.00847457627118644"
"045328","Columbiana Exempted Village","Columbiana","76.0","0.039473684210526314","73.0","1.0","0.0"
"046433","Crestview Local","Columbiana","102.0","0.029411764705882353","99.0","0.98989898989899","0.010101010101010102"
"043919","East Liverpool City","Columbiana","140.0","0.05","133.0","0.7744360902255639","0.22556390977443608"
"043927","East Palestine City","Columbiana","78.0","0.01282051282051282","77.0","0.987012987012987","0.012987012987012988"
"045443","Leetonia Exempted Village","Columbiana","44.0","0.06818181818181818","41.0","1.0","0.0"
"045450","Lisbon Exempted Village","Columbiana","46.0","0.021739130434782608","45.0","1.0","0.0"
"044735","Salem City","Columbiana","140.0","0.03571428571428571","135.0","0.9925925925925926","0.007407407407407408"
"046441","Southern Local","Columbiana","59.0","0.01694915254237288","58.0","1.0","0.0"
"046458","United Local","Columbiana","92.0","0.07608695652173914","85.0","1.0","0.0"
"045039","Wellsville Local","Columbiana","62.0","0.06451612903225806","58.0","0.9827586206896551","0.017241379310344827"
"043828","Coshocton City","Coshocton","115.0","0.034782608695652174","111.0","0.990990990990991","0.009009009009009009"
"046474","Ridgewood Local","Coshocton","113.0","0.07079646017699115","105.0","1.0","0.0"
"046482","River View Local","Coshocton","158.0","0.03164556962025317","153.0","0.9934640522875817","0.006535947712418301"
"046508","Buckeye Central Local","Crawford","42.0","0.07142857142857142","39.0","1.0","0.0"
"043687","Bucyrus City","Crawford","114.0","0.15789473684210525","96.0","0.9791666666666666","0.020833333333333332"
"046516","Colonel Crawford Local","Crawford","62.0","0.0","62.0","0.9516129032258065","0.04838709677419355"
"045344","Crestline Exempted Village","Crawford","33.0","0.030303030303030304","32.0","0.9375","0.0625"
"044024","Galion City","Crawford","159.0","0.06918238993710692","148.0","0.9797297297297297","0.02027027027027027"
"046524","Wynford Local","Crawford","87.0","0.04597701149425287","83.0","0.9879518072289156","0.012048192771084338"
"043547","Bay Village City","Cuyahoga","182.0","0.01098901098901099","180.0","1.0","0.0"
"043554","Beachwood City","Cuyahoga","80.0","0.0375","77.0","1.0","0.0"
"043562","Bedford City","Cuyahoga","240.0","0.06666666666666667","224.0","0.9732142857142857","0.026785714285714284"
"043612","Berea City","Cuyahoga","462.0","0.049783549783549784","439.0","1.0","0.0"
"043646","Brecksville-Broadview Heights City","Cuyahoga","244.0","0.045081967213114756","233.0","0.9957081545064378","0.004291845493562232"
"043653","Brooklyn City","Cuyahoga","104.0","0.11538461538461539","92.0","0.9565217391304348","0.043478260869565216"
"045286","Chagrin Falls Exempted Village","Cuyahoga","140.0","0.014285714285714285","138.0","1.0","0.0"
"043794","Cleveland Heights-University Heights City","Cuyahoga","401.0","0.06234413965087282","376.0","0.9707446808510638","0.02925531914893617"
"043786","Cleveland Municipal City","Cuyahoga","2828.0","0.06753889674681754","2637.0","0.8536215396283656","0.14637846037163443"
"046557","Cuyahoga Heights Local","Cuyahoga","65.0","0.03076923076923077","63.0","1.0","0.0"
"043901","East Cleveland City","Cuyahoga","146.0","0.1232876712328767","128.0","0.8359375","0.1640625"
"043950","Euclid City","Cuyahoga","326.0","0.07975460122699386","300.0","0.9","0.1"
"043976","Fairview Park City","Cuyahoga","107.0","0.06542056074766354","100.0","1.0","0.0"
"044040","Garfield Heights City","Cuyahoga","214.0","0.17289719626168223","177.0","0.9661016949152542","0.03389830508474576"
"046565","Independence Local","Cuyahoga","65.0","0.015384615384615385","64.0","1.0","0.0"
"044198","Lakewood City","Cuyahoga","396.0","0.0707070707070707","368.0","0.9619565217391305","0.03804347826086957"
"044305","Maple Heights City","Cuyahoga","239.0","0.10460251046025104","214.0","0.8925233644859814","0.10747663551401869"
"044370","Mayfield City","Cuyahoga","248.0","0.008064516129032258","246.0","0.959349593495935","0.04065040650406504"
"044529","North Olmsted City","Cuyahoga","275.0","0.01818181818181818","270.0","0.9851851851851852","0.014814814814814815"
"044545","North Royalton City","Cuyahoga","284.0","0.03873239436619718","273.0","0.9963369963369964","0.003663003663003663"
"046573","Olmsted Falls City","Cuyahoga","260.0","0.038461538461538464","250.0","0.988","0.012"
"046581","Orange City","Cuyahoga","132.0","0.06060606060606061","124.0","0.9919354838709677","0.008064516129032258"
"044636","Parma City","Cuyahoga","686.0","0.030612244897959183","665.0","0.9218045112781955","0.07819548872180451"
