"Sponsor IRN","Sponsor Name","School IRN","School Name","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013"
"000662","Ohio Council of Community Schools","133785","Life Skills Ctr Of Cincinnati                               ","NA","46.94","427.84","435.51","485.25","627.62","635.91","396.91","322.54","251.17","264.82","281.07","242.58000000000007","165.16","106.05"
"000662","Ohio Council of Community Schools","133801","Life Skills Ctr Of Youngstown                               ","NA","112.07","174.64","224.26","239.53","346.49","380.73","302.28","250.94","236.38","303.28","285.63","218.12000000000006","207.98","195.84"
"000662","Ohio Council of Community Schools","142901","Life Skills Center  of Canton","NA","NA","NA","3.17","213.34","363.63","329.27","272.81","169.01","151.67","169.59","194.24","383.74999999999994","117.18","109.35"
"000662","Ohio Council of Community Schools","142950","Ohio Virtual Academy","NA","NA","NA","NA","1041.96","1939.41","2503.12","3109.52","3740.85","5240.47","7052.939999999998","7949.870000000004","9533.189999999995","11819.67","13307.119999999999"
"000662","Ohio Council of Community Schools                           ","143164","Life Skills Center Of Hamilton County                       ","NA","NA","NA","NA","43.23","303.52","399.24","305.05","233.02","204.74","224.68","235.47","173.68999999999997","115.48","87.52"
"000662","Ohio Council of Community Schools","143206","Trotwood Fitness & Prep Acad","NA","NA","NA","NA","82.17","145.05","183.86","251.57","316.64","310.62","286.0","310.43","327.94000000000005","330.78999999999996","323.13"
"000662","Ohio Council of Community Schools","143214","Middletown Fitness & Prep Acad","NA","NA","NA","NA","79.58","151.26","176.75","294.61","299.12","335.89","287.26000000000005","266.29","273.53","259.33","264.05"
"000662","Ohio Council of Community Schools","143396","Alternative Education Academy","NA","NA","NA","37.0","747.18","1747.29","2886.54","3072.56","2565.63","2109.64","1935.7899999999997","1862.01","1843.2900000000022","2120.16","2117.7"
"000662","Ohio Council of Community Schools","143503","Lake Erie Academy","NA","NA","NA","NA","105.48","239.15","284.94","304.78","204.92","136.98","184.77","156.73","213.53000000000003","344.44","257.73"
"000662","Ohio Council of Community Schools                           ","149302","Life Skills Center Of Toledo                                ","NA","NA","NA","NA","126.78","542.66","543.95","322.29","300.29","253.04","237.72","213.04000000000002","174.32","102.89","100.27"
"000821","Thomas B. Fordham Foundation","009122","Columbus Collegiate Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","50.06","82.63","101.0","157.82","185.72"
"000821","Thomas B. Fordham Foundation","009964","Sciotoville Elementary Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","121.43","133.26","143.5","121.39","141.47"
"000821","Thomas B. Fordham Foundation","009997","KIPP:  Journey Academy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","63.52","129.97","210.87","301.21","321.2"
"000821","Thomas B. Fordham Foundation","012924","DECA PREP","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","237.32"
"000821","Thomas B. Fordham Foundation","012951","Columbus Collegiate Academy - West","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","70.9"
"000821","Thomas B. Fordham Foundation","013034","Village Preparatory School:: Woodland Hills Campus","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","158.22000000000003"
"000821","Thomas B. Fordham Foundation","132787","Springfield Academy of Excellence","NA","NA","NA","128.93","154.05","189.55","236.57","275.69","171.09","176.87","208.64999999999998","206.14000000000001","221.69999999999996","233.31","243.19"
"000821","Thomas B. Fordham Foundation","133454","Dayton Leadership Academies-Dayton View Campus","NA","NA","653.01","827.4","970.28","1074.77","1040.08","704.36","643.96","693.0","593.14","535.14","502.2099999999999","462.71999999999997","382.59"
