"Sponsor IRN","Sponsor Name","School Year","N of Schools - General Education Schools","N of Schools - Special Education Schools","N of Schools - Dropout Recovery Schools","Sponsors Aggregate PI Score - Based on General Education Community Schools","Sponsor Prohibited from Sponsoring Additional Schools in School Year 			2014-2015 Due to Poor Academic Performance and/or Noncompliance with 			Reporting Requirements","Overall Value-Added Grade - General Education Schools - A","Overall Value-Added Grade - General Education Schools - B","Overall Value-Added Grade - General Education Schools - C","Overall Value-Added Grade - General Education Schools - D","Overall Value-Added Grade - General Education Schools - F","Overall Value-Added Grade - General Education Schools - NA","Overall Value-Added Grade - Special Education Schools - A","Overall Value-Added Grade - Special Education Schools - B","Overall Value-Added Grade - Special Education Schools - C","Overall Value-Added Grade - Special Education Schools - D","Overall Value-Added Grade - Special Education Schools - F","Overall Value-Added Grade - Special Education Schools - NA","Performance Index Grade - General Education Schools - A","Performance Index Grade - General Education Schools - B","Performance Index Grade - General Education Schools - C","Performance Index Grade - General Education Schools - D","Performance Index Grade - General Education Schools - F","Performance Index Grade - General Education Schools - NA","Performance Index Grade - Special Education Schools - A","Performance Index Grade - Special Education Schools - B","Performance Index Grade - Special Education Schools - C","Performance Index Grade - Special Education Schools - D","Performance Index Grade - Special Education Schools - F","Performance Index Grade - Special Education Schools - NA","Indicators Met Grade - General Education Schools - A","Indicators Met Grade - General Education Schools - B","Indicators Met Grade - General Education Schools - C","Indicators Met Grade - General Education Schools - D","Indicators Met Grade - General Education Schools - F","Indicators Met Grade - General Education Schools - NA","Indicators Met Grade - Special Education Schools - A","Indicators Met Grade - Special Education Schools - B","Indicators Met Grade - Special Education Schools - C","Indicators Met Grade - Special Education Schools - D","Indicators Met Grade - Special Education Schools - F","Indicators Met Grade - Special Education Schools - NA","AMO Grade - General Education Schools - A","AMO Grade - General Education Schools - B","AMO Grade - General Education Schools - C","AMO Grade - General Education Schools - D","AMO Grade - General Education Schools - F","AMO Grade - General Education Schools - NA","AMO Grade - Special Education Schools - A","AMO Grade - Special Education Schools - B","AMO Grade - Special Education Schools - C","AMO Grade - Special Education Schools - D","AMO Grade - Special Education Schools - F","AMO Grade - Special Education Schools - NA","Four Year Graduation Grade - General Education Schools - A","Four Year Graduation Grade - General Education Schools - B","Four Year Graduation Grade - General Education Schools - C","Four Year Graduation Grade - General Education Schools - D","Four Year Graduation Grade - General Education Schools - F","Four Year Graduation Grade - General Education Schools - NA","Four Year Graduation Grade - Special Education Schools - A","Four Year Graduation Grade - Special Education Schools - B","Four Year Graduation Grade - Special Education Schools - C","Four Year Graduation Grade - Special Education Schools - D","Four Year Graduation Grade - Special Education Schools - F","Four Year Graduation Grade - Special Education Schools - NA","Five Year Graduation Grade - General Education Schools - A","Five Year Graduation Grade - General Education Schools - B","Five Year Graduation Grade - General Education Schools - C","Five Year Graduation Grade - General Education Schools - D","Five Year Graduation Grade - General Education Schools - F","Five Year Graduation Grade - General Education Schools - NA","Five Year Graduation Grade - Special Education Schools - A","Five Year Graduation Grade - Special Education Schools - B","Five Year Graduation Grade - Special Education Schools - C","Five Year Graduation Grade - Special Education Schools - D","Five Year Graduation Grade - Special Education Schools - F","Five Year Graduation Grade - Special Education Schools - NA"
"044156","Jackson City                                                ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"008303","Kids Count of Dayton, Inc.","2012-2013","2.0","4.0","2.0","85.19","Permitted","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.25","0.5","0.0","0.25","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.0","0.75","0.25","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.5","0.5","0.0","0.0","0.0","0.0","0.25","0.5","0.25","0.0","0.5","0.0","0.0","0.5","0.0","0.0","0.0","0.25","0.0","0.0","0.75"
"044198","Lakewood City                                               ","2012-2013","0.0","0.0","1.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"047993","Lakewood Local","2012-2013","1.0","0.0","0.0","71.85","Prohibited","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA"
"044206","Lancaster City                                              ","2012-2013","0.0","0.0","2.0","NA","Permitted","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"044222","Lima City","2012-2013","1.0","0.0","0.0","88.1","Permitted","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","1.0","0.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA"
"044255","London City                                                 ","2012-2013","0.0","0.0","1.0","NA","Prohibited","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"044263","Lorain City","2012-2013","1.0","0.0","0.0","69.75","Prohibited","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","1.0","0.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA"
"048280","Mahoning County ESC","2012-2013","2.0","0.0","2.0","95.14","Prohibited","0.0","0.0","0.0","0.5","0.0","0.5","NA","NA","NA","NA","NA","NA","0.0","0.0","0.5","0.0","0.0","0.5","NA","NA","NA","NA","NA","NA","0.0","0.0","0.5","0.0","0.0","0.5","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.5","0.5","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
"044297","Mansfield City","2012-2013","1.0","0.0","2.0","57.81","Prohibited","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","1.0","0.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA","0.0","0.0","0.0","0.0","0.0","1.0","NA","NA","NA","NA","NA","NA"
