"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 8/20/2013)","Feeder IRN","School Type","Limited English Proficiency","Read 3rd grade 2012-13 % proficient or above","Math 3rd grade 2012-13 % proficient or above","Read 4th Grade 2012-13 % proficient or above","Math 4th Grade 2012-13 % proficient or above","Read 5th grade 2012-13 % proficient or above","Math 5th grade 2012-13 % proficient or above","Science 5th grade 2012-13 % proficient or above","Read 6th Grade 2012-13 % proficient or above","Math 6th Grade 2012-13 % proficient or above","Read 7th Grade 2012-13 % proficient or above","Math 7th Grade 2012-13 % proficient or above","Read 8th Grade 2012-13 % proficient or above","Math 8th Grade 2012-13 % proficient or above","Science 8th grade 2012-13 % proficient or above","Read OGT 2012-13 % proficient or above","Math OGT 2012-13 % proficient or above","Write OGT 2012-13 % proficient or above","Social Studies OGT 2012-13 % proficient or above","Science OGT 2012-13 % proficient or above","Read 11th grade 2012-13 % at or above proficient","Math 11th grade 2012-13 % at or above proficient","Write 11th grade 2012-13 % at or above proficient","Social Studies 11th grade 2012-13 % at or above proficient","Science 11th grade 2012-13 % at or above proficient","Attendance rate 2012-13","	2012 4-Year Longitudinal Graduation Rate - Class of 2012","	2012 5-Year Longitudinal Graduation Rate - Class of 2011","Enrollment","% of total enrollment"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","2.4"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.6","--","--","30","4.2"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
