"District IRN","% enrolled less than 3 years","Charter Transfer"
"047803","047803","35.0",""
"45641.0","","","351542.48"
"044586","044586","32.5",""
"50351.0","","","81416.54"
"43943.0","","","6541633.58"
"011506","","",""
"47183.0","","","545402.81"
"048488","048488","31.6",""
"043968","043968","43.5",""
"046433","046433","35.3",""
"044669","044669","48.0",""
"44743.0","","","1402192.49"
"48231.0","","","2596894.97"
"043919","043919","41.4",""
"043521","043521","40.2",""
"046003","046003","35.6",""
"044404","044404","47.5",""
"49981.0","","","327305.03"
"44800.0","","","14075064.37"
"044461","044461","44.9",""
"050575","050575","34.8",""
"046979","046979","54.4",""
"46458.0","","","215234.01"
"46037.0","","","236673.87"
"44636.0","","","8150551.49"
"44339.0","","","2735510.75"
"050203","050203","32.4",""
"049098","049098","35.7",""
"44446.0","","","170627.42"
"48801.0","","","514693.85"
"48876.0","","","405537.12"
"046581","046581","36.9",""
"50393.0","","","255192.60"
"049544","049544","37.6",""
"45088.0","","","207360.63"
"045617","045617","31.8",""
"47456.0","","","84867.22"
"45336.0","","","42381.24"
"44099.0","","","767254.77"
"048363","048363","30.4",""
"46508.0","","","187888.09"
"47894.0","","","1302346.98"
"45435.0","","","114260.60"
"047241","047241","35.7",""
"45963.0","","","32141.54"
"047043","047043","32.9",""
"049148","049148","36.3",""
"43513.0","","","901968.48"
"050542","050542","30.6",""
"046334","046334","37.1",""
"48553.0","","","7072.85"
"044578","044578","45.8",""
"49031.0","","","126729.15"
"46862.0","","","303673.84"
"49338.0","","","10951.51"
"44511.0","","","465186.23"
"045443","045443","40.5",""
"045310","045310","28.1",""
"045211","045211","29.0",""
"43539.0","","","999228.71"
"046482","046482","33.5",""
"047415","047415","27.3",""
"046094","046094","34.1",""
"43489.0","","","25107355.41"
"45633.0","","","77535.03"
"49502.0","","","258644.65"
"047340","047340","31.3",""
"047068","047068","26.7",""
"47043.0","","","68925.05"
"46961.0","","","2120617.42"
"046862","046862","40.5",""
"43687.0","","","674709.38"
"50047.0","","","420496.98"
"45344.0","","","263558.47"
"048801","048801","37.0",""
"051300","","",""
"050443","050443","35.8",""
"47514.0","","","121693.52"
"051458","","",""
"49882.0","","","345176.73"
"45831.0","","","223721.55"
"43976.0","","","308314.74"
"046078","046078","37.3",""
"044644","044644","38.8",""
"45666.0","","","135830.42"
"45971.0","","","118461.29"
"043679","043679","34.6",""
"044768","044768","35.0",""
"046896","046896","33.8",""
"047746","047746","34.3",""
"44701.0","","","179643.46"
"045203","045203","33.9",""
"045369","045369","51.1",""
"45625.0","","","349224.68"
"050021","050021","100.0",""
"065227","","",""
"051714","","",""
"45286.0","","","80488.14"
"051227","","",""
"43497.0","","","752346.30"
"46110.0","","","2264792.81"
"047985","047985","35.0",""
"45781.0","","","184598.99"
"046268","046268","36.7",""
"049668","049668","33.1",""
"43679.0","","","226777.52"
"49759.0","","","61020.69"
"045161","045161","52.5",""
"49833.0","","","369134.60"
"044800","044800","39.3",""
"045385","045385","24.9",""
"048942","048942","32.9",""
"048538","048538","30.8",""
"44727.0","","","181260.17"
"44719.0","","","339026.76"
"44396.0","","","1694748.96"
"43695.0","","","652106.58"
"048124","048124","30.2",""
"046904","046904","41.4",""
"049809","049809","32.7",""
"050583","050583","38.3",""
"044495","044495","40.4",""
"44347.0","","","96447.95"
"043851","043851","41.2",""
"043711","043711","46.8",""
"44644.0","","","640083.25"
"50005.0","","","225059.97"
"046151","046151","38.0",""
"44370.0","","","436884.37"
"45062.0","","","397937.13"
"47423.0","","","40668.88"
"43547.0","","","142339.27"
"047761","047761","31.4",""
"044164","044164","41.5",""
"050153","050153","33.5",""
"48207.0","","","625882.12"
"062802","","",""
"49247.0","","","254117.80"
"46524.0","","","250020.92"
"48934.0","","","27595.53"
"047019","047019","33.0",""
"46854.0","","","119541.32"
"044396","044396","35.8",""
"049890","049890","35.4",""
"47340.0","","","357406.48"
"049320","049320","37.4",""
"47852.0","","","127936.28"
"044792","044792","44.4",""
"048215","048215","31.6",""
"048629","048629","34.7",""
"43505.0","","","1055462.46"
"045278","045278","31.7",""
"044933","044933","37.9",""
"48348.0","","","128849.53"
"46888.0","","","156704.39"
"47878.0","","","76238.14"
"051359","","",""
"50021.0","","","225791.74"
"49684.0","","","83955.65"
"47415.0","","","39076.83"
"051144","","",""
"50013.0","","","456503.56"
"048587","048587","26.1",""
"044867","044867","37.8",""
"45187.0","","","184509.73"
"045039","045039","37.2",""
"44362.0","","","716281.03"
"048728","048728","32.6",""
"045948","045948","26.8",""
"49239.0","","","444106.74"
"046789","046789","31.5",""
"046177","046177","44.9",""
"49312.0","","","53380.36"
"043562","043562","46.0",""
"45203.0","","","99759.26"
"47431.0","","","121180.89"
"044388","044388","29.5",""
"47308.0","","","298859.67"
"049411","049411","33.7",""
"043810","043810","33.1",""
"051672","","",""
"46870.0","","","402953.66"
"44909.0","","","71042443.50"
"049353","049353","40.6",""
"44768.0","","","563925.10"
"48942.0","","","237182.10"
"047498","047498","29.8",""
"045013","045013","38.5",""
"044545","044545","34.0",""
"44420.0","","","1018468.99"
"50112.0","","","238262.45"
"45195.0","","","650563.21"
"46144.0","","","312040.30"
"48926.0","","","136137.57"
"044941","044941","36.0",""
"44867.0","","","256565.83"
"065268","","",""
"045120","045120","39.9",""
"50070.0","","","338929.28"
"49932.0","","","1487147.72"
"047936","047936","33.5",""
"48777.0","","","419762.44"
"44404.0","","","5518059.56"
"46441.0","","","118437.46"
"50518.0","","","18879.94"
"45799.0","","","479180.62"
"048496","048496","28.6",""
"044032","044032","35.9",""
"45880.0","","","191231.83"
"061903","","34.7",""
"48272.0","","","328310.93"
"051375","","",""
"049429","049429","33.1",""
"44545.0","","","644063.17"
"050427","050427","31.0",""
"48819.0","","","325559.16"
"49767.0","","","20819.28"
"46789.0","","","239569.88"
"047449","047449","37.0",""
"050617","050617","37.7",""
"49213.0","","","308812.97"
"48173.0","","","836715.59"
"46102.0","","","1465167.21"
"051201","","",""
"043885","043885","38.2",""
"044339","044339","43.4",""
"48843.0","","","855934.16"
"051391","","",""
"047787","047787","31.4",""
"44321.0","","","580791.42"
"049593","049593","33.1",""
"049619","049619","34.5",""
"048843","048843","31.1",""
"062067","","",""
"48835.0","","","313438.06"
"049189","049189","32.0",""
"45955.0","","","13290.11"
"47076.0","","","44455.28"
"50138.0","","","131611.86"
"46565.0","","","29910.30"
"050005","050005","31.7",""
"043745","043745","44.3",""
"048090","048090","37.3",""
"49775.0","","","35672.34"
"062109","","",""
"046276","046276","32.1",""
"48793.0","","","471483.86"
"044834","044834","33.4",""
"044727","044727","33.0",""
"048967","","",""
"49395.0","","","39356.98"
"49569.0","","","272580.28"
"47746.0","","","222206.08"
"61903.0","","","531923.60"
"44859.0","","","496455.35"
"45245.0","","","399721.68"
"046995","046995","35.9",""
"045534","045534","42.8",""
"48256.0","","","175336.10"
"44198.0","","","2093421.94"
"44412.0","","","2924966.43"
"045245","045245","35.1",""
"49841.0","","","238346.76"
"043554","043554","39.2",""
"050492","050492","27.2",""
"47688.0","","","128416.86"
"050948","","",""
"46581.0","","","31371.51"
"049056","049056","37.1",""
"048298","048298","38.3",""
"046342","046342","40.3",""
"043588","043588","33.5",""
"50575.0","","","196169.54"
"46573.0","","","354377.68"
"45096.0","","","416284.19"
"048678","048678","33.0",""
"049270","049270","36.7",""
"50450.0","","","595599.65"
"044958","044958","36.5",""
"046573","046573","30.3",""
"47969.0","","","63242.30"
"048520","048520","36.0",""
"049064","049064","36.5",""
"044347","044347","26.9",""
"044594","044594","37.7",""
"50559.0","","","187555.73"
"48751.0","","","3877309.50"
"50328.0","","","209655.05"
"46045.0","","","129974.12"
"50500.0","","","581674.31"
"48157.0","","","349950.07"
"045336","045336","32.0",""
"045468","045468","34.1",""
"048272","048272","41.5",""
"50039.0","","","86592.98"
"45161.0","","","22315777.53"
"044206","044206","40.1",""
"044305","044305","52.2",""
"46201.0","","","185075.92"
"051607","","",""
"044750","044750","40.5",""
"45575.0","","","347781.63"
"048306","048306","36.7",""
"49593.0","","","202733.23"
"46128.0","","","319156.58"
"049502","049502","38.9",""
"049205","049205","35.5",""
"044065","044065","37.5",""
"049759","049759","26.2",""
"045237","045237","41.6",""
"49940.0","","","166367.71"
"045625","045625","34.5",""
"046318","046318","38.2",""
"49668.0","","","357152.65"
"49999.0","","","251993.07"
"048876","048876","33.4",""
"045906","045906","34.4",""
"46219.0","","","123885.90"
"048157","048157","35.4",""
"46136.0","","","177663.19"
"043992","043992","41.5",""
"45104.0","","","1109406.15"
"050187","050187","34.0",""
"048017","048017","70.3",""
"044180","044180","35.0",""
"44388.0","","","1163031.66"
"046128","046128","39.2",""
"47985.0","","","464078.26"
"050500","050500","30.3",""
"047688","047688","29.0",""
"44180.0","","","1124016.19"
"69682.0","","","224211.20"
"44537.0","","","1101938.58"
"49908.0","","","345886.12"
"47332.0","","","368098.63"
"43737.0","","","811297.34"
"44735.0","","","344847.37"
"046599","046599","62.3",""
"044503","044503","32.7",""
"45120.0","","","718004.37"
"45567.0","","","320070.00"
"045419","045419","31.1",""
"45450.0","","","105177.85"
"044057","044057","37.6",""
"49122.0","","","79024.32"
"48538.0","","","185721.61"
"44495.0","","","1273189.68"
"044263","044263","48.7",""
"045757","045757","31.5",""
"48165.0","","","382827.69"
"044297","044297","52.9",""
"44974.0","","","511368.02"
"045831","045831","34.5",""
"048470","048470","34.1",""
"049478","049478","43.3",""
"47993.0","","","615611.91"
"045054","045054","47.7",""
"045146","045146","30.5",""
"46599.0","","","628922.21"
"047928","047928","40.6",""
"44529.0","","","560606.92"
"48413.0","","","368455.16"
"048702","048702","52.8",""
"051490","","",""
"050237","050237","37.2",""
"45138.0","","","1663289.56"
"47209.0","","","145622.93"
"044610","044610","38.6",""
"44107.0","","","3366547.80"
"48439.0","","","359887.37"
"046011","046011","37.2",""
"49577.0","","","137846.46"
"46342.0","","","352557.02"
"48074.0","","","195836.91"
"46284.0","","","317764.84"
"043539","043539","42.1",""
"44040.0","","","1989950.09"
"44487.0","","","932633.17"
"043844","043844","51.1",""
"044370","044370","41.7",""
"046409","046409","40.9",""
"051128","","",""
"050740","050740","32.7",""
"043927","043927","33.6",""
"048884","048884","38.2",""
"48637.0","","","23940.59"
"45559.0","","","338242.90"
"048991","048991","30.3",""
"044479","044479","38.5",""
"051169","","",""
"49296.0","","","214496.39"
"046722","046722","32.7",""
"044511","044511","58.8",""
"044156","044156","40.7",""
"47217.0","","","141875.19"
"45146.0","","","101742.64"
"051417","","",""
"047589","047589","31.6",""
"047308","047308","35.2",""
"045344","045344","45.2",""
"044875","044875","37.2",""
"45468.0","","","290332.29"
"49510.0","","","295224.86"
"43638.0","","","417282.28"
"50567.0","","","170121.42"
"46631.0","","","135551.03"
"44297.0","","","7371844.82"
"050641","050641","36.1",""
"45757.0","","","95656.51"
"44032.0","","","281425.45"
