"District IRN","% enrolled less than 3 years","Charter Transfer"
"046680","046680","38.7",""
"049221","049221","32.6",""
"44651.0","","","237378.77"
"049981","049981","32.5",""
"049635","049635","32.8",""
"046961","046961","37.8",""
"044701","044701","33.4",""
"051243","","",""
"44578.0","","","807511.87"
"46896.0","","","2138392.38"
"045435","045435","35.2",""
"045799","045799","38.4",""
"46557.0","","","55749.02"
"043695","043695","36.2",""
"50237.0","","","145275.98"
"044818","044818","45.4",""
"046953","046953","40.5",""
"044248","044248","32.4",""
"43554.0","","","72985.01"
"45617.0","","","233067.14"
"43935.0","","","407869.86"
"046565","046565","28.7",""
"048322","048322","38.1",""
"045963","045963","26.6",""
"046367","046367","40.9",""
"045666","045666","34.7",""
"47845.0","","","401719.06"
"045492","045492","30.7",""
"45278.0","","","338151.09"
"44586.0","","","58516.01"
"046201","046201","32.2",""
"45021.0","","","263509.41"
"44479.0","","","564851.25"
"45211.0","","","86416.87"
"50195.0","","","304721.88"
"49098.0","","","597671.92"
"46250.0","","","487110.45"
"049312","049312","34.2",""
"48009.0","","","1164266.03"
"44461.0","","","134284.99"
"044230","044230","60.3",""
"049452","049452","40.5",""
"046813","046813","35.2",""
"048512","048512","30.8",""
"45526.0","","","172845.38"
"48314.0","","","167874.36"
"050674","050674","30.4",""
"44552.0","","","364122.46"
"46409.0","","","187340.52"
"047431","047431","36.2",""
"46920.0","","","351127.34"
"049700","049700","31.7",""
"46193.0","","","1216776.23"
"048413","048413","38.9",""
"45948.0","","","48083.97"
"45005.0","","","1781552.25"
"044222","044222","47.2",""
"043604","043604","42.6",""
"44933.0","","","415434.31"
"44925.0","","","641952.53"
"43901.0","","","4063936.09"
"45252.0","","","173464.54"
"050070","050070","33.2",""
"046649","046649","33.2",""
"46003.0","","","56072.06"
"044636","044636","39.9",""
"045088","045088","36.0",""
"046516","046516","35.1",""
"043638","043638","37.5",""
"50187.0","","","297903.43"
"046847","046847","38.2",""
"050856","","",""
"47068.0","","","85011.51"
"48330.0","","","25065.25"
"46177.0","","","210671.29"
"050336","050336","35.5",""
"46391.0","","","423697.94"
"45492.0","","","907012.01"
"49601.0","","","120595.61"
"43851.0","","","374867.55"
"045864","045864","34.4",""
"44560.0","","","640495.58"
"043505","043505","37.5",""
"048173","048173","32.2",""
"046045","046045","30.4",""
"048074","048074","37.1",""
"46243.0","","","526944.18"
"46367.0","","","230649.56"
"45369.0","","","136755.48"
"046102","046102","37.5",""
"045880","045880","35.3",""
"45260.0","","","100962.69"
"050468","050468","33.4",""
"045922","045922","34.8",""
"49627.0","","","420377.17"
"050211","050211","33.9",""
"49130.0","","","252794.45"
"46078.0","","","137390.54"
"43836.0","","","1599188.35"
"45914.0","","","290696.46"
"43786.0","","","127132024.94"
"48595.0","","","13347.15"
"050138","050138","30.6",""
"050690","050690","35.5",""
"43760.0","","","546246.62"
"044826","044826","37.9",""
"46821.0","","","326888.89"
"050567","050567","28.6",""
"49197.0","","","1362695.11"
"48678.0","","","204627.71"
"046391","046391","34.8",""
"044529","044529","36.1",""
"47795.0","","","533713.90"
"49858.0","","","587944.66"
"43810.0","","","505582.87"
"049999","049999","37.1",""
"50427.0","","","589073.61"
"48850.0","","","460412.83"
"43927.0","","","243851.34"
"44008.0","","","810217.38"
"46276.0","","","140796.59"
"044131","044131","32.5",""
"44941.0","","","1023706.77"
"048751","048751","41.8",""
"45385.0","","","93712.43"
"45518.0","","","213843.03"
"050161","050161","34.8",""
"46904.0","","","140515.04"
"45500.0","","","804981.68"
"48975.0","","","5703.91"
"43828.0","","","500622.37"
"44917.0","","","121600.34"
"050039","050039","36.0",""
"43521.0","","","461856.26"
"45922.0","","","99967.37"
"49635.0","","","245879.38"
"50294.0","","","72897.32"
"062125","","",""
"047423","047423","22.3",""
"043901","043901","56.9",""
"43844.0","","","46008078.09"
"046425","046425","34.1",""
"49528.0","","","205260.14"
"046037","046037","38.6",""
"44016.0","","","746122.79"
"45393.0","","","255359.00"
"49189.0","","","370695.82"
"49874.0","","","494661.38"
"048777","048777","30.2",""
"043869","043869","37.4",""
"044453","044453","44.9",""
"49643.0","","","179480.20"
"50435.0","","","451762.87"
"044354","044354","39.5",""
"49957.0","","","156558.94"
"48306.0","","","944153.34"
"48686.0","","","1179576.54"
"45013.0","","","402298.18"
"48033.0","","","263944.00"
"47589.0","","","53321.66"
"48017.0","","","283013.35"
"045997","045997","37.4",""
"048934","048934","32.9",""
"48744.0","","","381360.02"
"049932","049932","40.9",""
"048819","048819","39.5",""
"48322.0","","","143334.59"
"048256","048256","34.1",""
"044859","044859","36.3",""
"062042","","",""
"44503.0","","","361917.65"
"50419.0","","","469016.03"
"044917","044917","37.6",""
"45484.0","","","160684.39"
"44842.0","","","715221.91"
"47712.0","","","140579.03"
"048330","048330","30.3",""
"045518","045518","35.2",""
"49411.0","","","341195.16"
"049130","049130","41.2",""
"43752.0","","","52447253.03"
"046631","046631","36.9",""
"44024.0","","","702684.82"
"045104","045104","35.3",""
"91397.0","","","123545.22"
"047258","047258","38.1",""
"051045","","",""
"045450","045450","36.6",""
"049460","049460","39.2",""
"050880","","",""
"047845","047845","39.5",""
"0442.0","","","163817.66"
"047886","047886","31.4",""
"44818.0","","","5846919.86"
"48363.0","","","161459.53"
"44438.0","","","287555.30"
"47613.0","","","132533.61"
"49478.0","","","301462.33"
"43794.0","","","2600560.86"
"045641","045641","33.6",""
"045195","045195","28.1",""
"48025.0","","","552661.24"
"045260","045260","36.6",""
"045286","045286","31.3",""
"50740.0","","","187859.30"
"44834.0","","","640040.32"
"46235.0","","","294896.64"
"43802.0","","","106967736.01"
"48116.0","","","353264.60"
"050716","050716","38.2",""
"048462","048462","29.1",""
"044677","044677","44.8",""
"49544.0","","","191611.06"
"044420","044420","38.3",""
"48587.0","","","30126.70"
"045351","045351","34.2",""
"047084","047084","36.9",""
"049924","049924","36.1",""
"45443.0","","","127749.63"
"048314","048314","27.7",""
"045609","045609","37.1",""
"49429.0","","","193637.20"
"044776","044776","36.7",""
"49791.0","","","105824.25"
"046888","046888","33.1",""
"047878","047878","33.6",""
"049775","049775","36.8",""
"046920","046920","40.7",""
"45542.0","","","138224.22"
"49619.0","","","36027.65"
"46318.0","","","358608.90"
"49460.0","","","240883.84"
"49056.0","","","543367.53"
"046557","046557","25.5",""
"45039.0","","","246150.80"
