"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Disability Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"008607","Donnell Middle School","043984","Findlay City","Hancock","Region 1","Open","011627","Middle School","Disabled","--","--","--","--","--","--","--","50.0","46.9","44.4","22.2","48.4","71.0","45.2","--","--","--","--","--","--","--","--","--","--","95.0","--","--","99","17.2"
"008607","Donnell Middle School","043984","Findlay City","Hancock","Region 1","Open","011627","Middle School","NonDisabled","--","--","--","--","--","--","--","94.3","93.6","92.6","83.9","93.5","93.6","74.8","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","475","82.8"
"008615","Donnelsville Elementary School","046243","Tecumseh Local","Clark","Region 10","Open","029140","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","--","--","38","11.6"
"008615","Donnelsville Elementary School","046243","Tecumseh Local","Clark","Region 10","Open","029140","Elementary School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","291","88.4"
"008623","Dorothy E Lewis Elementary School","046607","Solon City","Cuyahoga","Region 3","Open","064162","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","5.3"
"008623","Dorothy E Lewis Elementary School","046607","Solon City","Cuyahoga","Region 3","Open","064162","Elementary School","NonDisabled",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","284","94.7"
"008649","Dorr Street Elementary School","048223","Springfield Local","Lucas","Region 1","Open","035501","Elementary School","Disabled","--","--","88.2","82.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","60","13.5"
"008649","Dorr Street Elementary School","048223","Springfield Local","Lucas","Region 1","Open","035501","Elementary School","NonDisabled","94.8","88.3","94.6","94.6","90.4","92.3","92.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","384","86.3"
"008672","Searfoss Elementary School","047985","Johnstown-Monroe Local","Licking","Region 11","Open","018473","Elementary School","Disabled","--","--","73.7","52.6","38.5","46.2","38.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","--","--","42","13.5"
"008672","Searfoss Elementary School","047985","Johnstown-Monroe Local","Licking","Region 11","Open","018473","Elementary School","NonDisabled","--","--",">95.0","92.6","90.5","86.3","86.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","268","86.5"
"008680","Memorial School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","006940","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","50.0","20.0","63.6","63.6","0.0","--","--","--","--","--","--","--","--","--","--","90.0","--","--","86","20.4"
"008680","Memorial School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","006940","Elementary School","NonDisabled","38.9","52.8","43.5","26.1","52.2","30.4","26.1","64.5","61.3","78.1","68.8","86.4","86.4","9.1","--","--","--","--","--","--","--","--","--","--","90.8","--","--","335","79.6"
"008698","Frederick Douglass Elementary School","043752","Cincinnati City","Hamilton","Region 13","Open","146365","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.9","--","--","49","17.8"
"008698","Frederick Douglass Elementary School","043752","Cincinnati City","Hamilton","Region 13","Open","146365","Elementary School","NonDisabled","77.4","64.5","60.9","65.2","30.4","8.7","21.7","50.0","44.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","227","82.2"
"008706","Dover Avenue Elementary School","043893","Dover City","Tuscarawas","Region 12","Open","071068","Elementary School","Disabled","--","--","90.0","60.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.5","--","--","34","9.1"
"008706","Dover Avenue Elementary School","043893","Dover City","Tuscarawas","Region 12","Open","071068","Elementary School","NonDisabled","91.8","89.8",">95.0",">95.0","90.7","88.9","94.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","338","90.9"
"008714","Dover Elementary School","045062","Westlake City","Cuyahoga","Region 3","Open","029207","Elementary School","Disabled","50.0","69.2","84.6","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","56","17.0"
"008714","Dover Elementary School","045062","Westlake City","Cuyahoga","Region 3","Open","029207","Elementary School","NonDisabled",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","273","83.0"
"008722","Dover High School","043893","Dover City","Tuscarawas","Region 12","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","80.0","80.0","80.0","84.0","68.0","53.3","63.3","73.3","60.0","60.0",">95.0","85.7","85.3","120","14.5"
"008722","Dover High School","043893","Dover City","Tuscarawas","Region 12","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0","94.0","92.9",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","94.9","709","85.5"
"008730","Dowds Elementary School","044776","Shelby City","Richland","Region 7","Open","034298","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","40","11.6"
"008730","Dowds Elementary School","044776","Shelby City","Richland","Region 7","Open","034298","Elementary School","NonDisabled",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","304","88.4"
"008748","Chippewa Middle School","050534","Chippewa Local","Wayne","Region 9","Open","006312","Middle School","Disabled","--","--","--","--","--","--","--","--","--","--","--","81.8","81.8","45.5","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","35","8.8"
"008748","Chippewa Middle School","050534","Chippewa Local","Wayne","Region 9","Open","006312","Middle School","NonDisabled","--","--","--","--",">95.0",">95.0","94.2",">95.0","89.9",">95.0","91.3",">95.0","93.3","89.9","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","363","91.2"
"008763","Indian Hill Elementary School","045435","Indian Hill Exempted Village","Hamilton","Region 13","Open","043158","Elementary School","Disabled","--","--","--","--","80.0","50.0","60.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","26","7.0"
"008763","Indian Hill Elementary School","045435","Indian Hill Exempted Village","Hamilton","Region 13","Open","043158","Elementary School","NonDisabled",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","347","93.0"
"008789","Driscoll Elementary School","043737","Centerville City","Montgomery","Region 10","Open","042655","Elementary School","Disabled","52.4","52.4","92.3","61.5","83.3","50.0","75.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","64","21.3"
"008789","Driscoll Elementary School","043737","Centerville City","Montgomery","Region 10","Open","042655","Elementary School","NonDisabled",">95.0",">95.0",">95.0","93.2","91.5","88.3","86.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","236","78.7"
"008805","Dueber Elementary School","043711","Canton City","Stark","Region 9","Open","005124","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","--","--","45","20.8"
"008805","Dueber Elementary School","043711","Canton City","Stark","Region 9","Open","005124","Elementary School","NonDisabled","72.2","72.2","65.4","61.5","39.3","46.4","39.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","171","79.2"
"008813","Dunbar Elementary School","044883","Tallmadge City","Summit","Region 8","Open","025965","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.6","--","--","65","13.3"
"008813","Dunbar Elementary School","044883","Tallmadge City","Summit","Region 8","Open","025965","Elementary School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","424","86.7"
"008821","Dunbar High School","043844","Dayton City","Montgomery","Region 10","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","6.7","10.3","10.3","6.9","3.4","32.0","8.0","32.0","20.0","12.0","86.0","72.4","79.3","137","28.4"
"008821","Dunbar High School","043844","Dayton City","Montgomery","Region 10","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","77.4","48.1","57.4","63.0","39.6","92.3","73.1","92.3","85.9","62.8","89.9","77.1","80.0","345","71.6"
"008839","Duncan Falls Elementary School","048843","Franklin Local","Muskingum","Region 12","Open","008847","Elementary School","Disabled","64.7","58.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","67","9.2"
"008839","Duncan Falls Elementary School","048843","Franklin Local","Muskingum","Region 12","Open","008847","Elementary School","NonDisabled","93.3","86.5","86.0","83.2","77.3","72.7","77.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","663","90.8"
"008847","Philo Junior High School","048843","Franklin Local","Muskingum","Region 12","Open","029843","Junior High School","Disabled","--","--","--","--","--","--","--","45.5","54.5","33.3","66.7","81.8","81.8","72.7","--","--","--","--","--","--","--","--","--","--","93.5","--","--","57","12.9"
"008847","Philo Junior High School","048843","Franklin Local","Muskingum","Region 12","Open","029843","Junior High School","NonDisabled","--","--","--","--","--","--","--","91.9","91.9","91.6","91.6",">95.0",">95.0","76.3","--","--","--","--","--","--","--","--","--","--","94.2","--","--","384","87.1"
"008854","Dundee Elementary School","050278","Garaway Local","Tuscarawas","Region 12","Open","012849","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"008854","Dundee Elementary School","050278","Garaway Local","Tuscarawas","Region 12","Open","012849","Elementary School","NonDisabled",">95.0",">95.0",">95.0","80.0",">95.0","88.0","92.0","94.1","76.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","160",">95.0"
"008888","Dunloe Elementary School","046979","Groveport Madison Local","Franklin","Region 11","Open","067900","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.8","--","--","53","13.3"
"008888","Dunloe Elementary School","046979","Groveport Madison Local","Franklin","Region 11","Open","067900","Elementary School","NonDisabled","84.0","58.0","75.0","75.0","59.6","59.6","55.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.9","--","--","345","86.7"
"008896","Durling Middle School","048132","Clearview Local","Lorain","Region 2","Open","006619","Middle School","Disabled","--","--","--","--","27.8","27.8","44.4","42.9","35.7","69.2","46.2","80.0","40.0","35.7","--","--","--","--","--","--","--","--","--","--","93.0","--","--","64","11.8"
"008896","Durling Middle School","048132","Clearview Local","Lorain","Region 2","Open","006619","Middle School","NonDisabled","--","--","--","--","82.7","69.1","80.9","94.4","94.4","87.0","77.2","94.7","80.7","58.8","--","--","--","--","--","--","--","--","--","--","94.4","--","--","477","88.2"
"008912","Duxberry Park Alternative Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","010876","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.6","--","--","32","11.8"
"008912","Duxberry Park Alternative Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","010876","Elementary School","NonDisabled","75.0","65.0","87.8","48.8","39.4","21.2","24.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","240","88.2"
"008920","E A Powell Elementary School","050708","North Baltimore Local","Wood","Region 1","Open","082586","Elementary School","Disabled","--","--","40.0","50.0","25.0","8.3","25.0","38.5","15.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.8","--","--","79","21.8"
"008920","E A Powell Elementary School","050708","North Baltimore Local","Wood","Region 1","Open","082586","Elementary School","NonDisabled",">95.0","93.9","84.6","76.9","71.8","64.1","82.1","94.9","89.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","283","78.2"
"008933","Rosa Parks Elementary School","044404","Middletown City","Butler","Region 13","Open","013284","Elementary School","Disabled","30.8","23.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","75","14.3"
"008933","Rosa Parks Elementary School","044404","Middletown City","Butler","Region 13","Open","013284","Elementary School","NonDisabled","82.4","72.5","77.4","81.1","62.9","71.0","48.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","451","85.7"
"008946","East Elementary School","045625","Upper Sandusky Exempted Village","Wyandot","Region 7","Open","066480","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","24","18.6"
"008946","East Elementary School","045625","Upper Sandusky Exempted Village","Wyandot","Region 7","Open","066480","Elementary School","NonDisabled",">95.0","94.1","90.0","80.0","71.4","85.7","78.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","105","81.4"
"008953","East Canton Elementary School","049916","Osnaburg Local","Stark","Region 9","Open","117879","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","--","--","50","13.5"
"008953","East Canton Elementary School","049916","Osnaburg Local","Stark","Region 9","Open","117879","Elementary School","NonDisabled",">95.0",">95.0","92.5",">95.0","83.8","67.2","83.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","321","86.8"
"008961","East Canton High School","049916","Osnaburg Local","Stark","Region 9","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","70.0","40.0","60.0","40.0","40.0","40.0","50.0","60.0","50.0","60.0","94.8","--","--","34","15.0"
"008961","East Canton High School","049916","Osnaburg Local","Stark","Region 9","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.8","93.1",">95.0","84.5","82.8",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","191","84.5"
"008979","Midview West Elementary School","048173","Midview Local","Lorain","Region 2","Open","010198","Elementary School","Disabled","60.0","60.0","58.8","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.5","--","--","59","13.3"
"008979","Midview West Elementary School","048173","Midview Local","Lorain","Region 2","Open","010198","Elementary School","NonDisabled","93.6","90.9",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","386","86.7"
"008983","Wyandot Early Childhood School","046110","Lakota Local","Butler","Region 13","Open","119768","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","41","7.5"
"008983","Wyandot Early Childhood School","046110","Lakota Local","Butler","Region 13","Open","119768","Elementary School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","505","92.5"
"008984","Endeavor Elementary School","046110","Lakota Local","Butler","Region 13","Open","146845","Elementary School","Disabled","63.2","42.1","87.5","62.5","52.2","30.4","34.8","72.2","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","96","12.5"
"008984","Endeavor Elementary School","046110","Lakota Local","Butler","Region 13","Open","146845","Elementary School","NonDisabled","87.7","88.3",">95.0","93.9","83.7","87.2","83.7",">95.0","93.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","672","87.5"
"008987","East Clark","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","006940","Elementary School","Disabled","--","--","--","--","0.0","0.0","0.0","--","--","10.0","0.0","18.2","9.1","0.0","--","--","--","--","--","--","--","--","--","--","93.2","--","--","65","21.0"
"008987","East Clark","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","006940","Elementary School","NonDisabled","52.2","56.5","30.8","23.1","24.0","16.0","8.0","71.4","47.6","37.5","16.7","33.3","61.1","16.7","--","--","--","--","--","--","--","--","--","--","93.5","--","--","244","79.0"
"008995","East Clinton High School","046409","East Clinton Local","Clinton","Region 14","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","56.5","47.8","69.6","52.2","47.8",">95.0","78.6","57.1","78.6","57.1","93.3",">95.0","93.3","76","17.3"
"008995","East Clinton High School","046409","East Clinton Local","Clinton","Region 14","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.1","83.9","90.8","87.4","81.6",">95.0",">95.0",">95.0","94.0","94.0","93.4","92.4",">95.0","364","82.7"
"009001","East Columbus Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","009662","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","89.1","--","--","46","10.8"
"009001","East Columbus Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","009662","Elementary School","NonDisabled","48.3","42.1","61.1","50.0","22.2","28.6","8.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","89.7","--","--","380","89.2"
"009027","East End Elementary School","045112","Wilmington City","Clinton","Region 14","Open","021204","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","37","13.7"
"009027","East End Elementary School","045112","Wilmington City","Clinton","Region 14","Open","021204","Elementary School","NonDisabled","80.8","80.8","92.9","59.5","86.4","70.5","77.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","234","86.3"
"009029","Barack Obama School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009522","Elementary School","Disabled","--","--","70.0","60.0","26.8","22.0","9.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.8","--","--","76","13.6"
"009029","Barack Obama School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009522","Elementary School","NonDisabled","--","--","79.0","83.2","47.6","33.5","33.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.3","--","--","482","86.4"
"009030","Abraham Lincoln School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009031","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.9","--","--","52","10.7"
"009030","Abraham Lincoln School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009031","Elementary School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.1","--","--","436","89.3"
"009031","J.F. Kennedy School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009029","Elementary School","Disabled","8.3","8.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.3","--","--","57","10.6"
"009031","J.F. Kennedy School","044305","Maple Heights City","Cuyahoga","Region 3","Open","009029","Elementary School","NonDisabled","81.9","75.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.1","--","--","480","89.4"
"009035","East Franklin Elementary School","044800","South-Western City","Franklin","Region 11","Open","138727","Elementary School","Disabled","41.7","33.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.1","--","--","52","20.7"
"009035","East Franklin Elementary School","044800","South-Western City","Franklin","Region 11","Open","138727","Elementary School","NonDisabled","74.2","77.4","88.2","73.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","--","--","199","79.3"
"009038","Toledo Early College High School","044909","Toledo City","Lucas","Region 1","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"009038","Toledo Early College High School","044909","Toledo City","Lucas","Region 1","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","92.9","88.9","206",">95.0"
"009043","East Knox High School","047845","East Knox Local","Knox","Region 7","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","57.1","28.6","--","--","--","--","--","--","--","--","--","--","--","--","--","93.9","72.7","--","54","10.8"
"009043","East Knox High School","047845","East Knox Local","Knox","Region 7","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","89.6","71.4","91.3","82.5","75.0",">95.0","89.2",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","93.5","90.2",">95.0","445","89.2"
"009075","Johnnycake Corners Elementary School","046763","Olentangy Local","Delaware","Region 11","Open","010166","Elementary School","Disabled","--","--","--","--","85.0","60.0","85.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","75","13.5"
"009075","Johnnycake Corners Elementary School","046763","Olentangy Local","Delaware","Region 11","Open","010166","Elementary School","NonDisabled",">95.0",">95.0",">95.0",">95.0","94.4",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","480","86.5"
"009076","East Linden Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","024067","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","89.7","--","--","36","11.1"
"009076","East Linden Elementary School","043802","Columbus City School District","Franklin","Region 11","Open","024067","Elementary School","NonDisabled","59.5","62.2","61.5","59.0","27.6","31.0","13.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.4","--","--","287","88.6"
"009077","Hyatts Middle School","046763","Olentangy Local","Delaware","Region 11","Open","145953","Middle School","Disabled","--","--","--","--","--","--","--","70.0","55.0","88.2","58.8","90.0","85.0","40.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","58","7.1"
"009077","Hyatts Middle School","046763","Olentangy Local","Delaware","Region 11","Open","145953","Middle School","NonDisabled","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","94.8","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","764","92.9"
"009078","Liberty Tree Elementary School","046763","Olentangy Local","Delaware","Region 11","Open","009077","Elementary School","Disabled","81.8","63.6","83.3","91.7","80.0","60.0","70.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","55","9.5"
"009078","Liberty Tree Elementary School","046763","Olentangy Local","Delaware","Region 11","Open","009077","Elementary School","NonDisabled",">95.0",">95.0",">95.0",">95.0","92.8","87.1","91.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","526","90.5"
"009084","East Liverpool High School","043919","East Liverpool City","Columbiana","Region 5","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","32.1","21.4","37.0","25.9","17.9","45.8","50.0","45.8","37.5","45.8","91.7","65.5","79.3","120","20.7"
"009084","East Liverpool High School","043919","East Liverpool City","Columbiana","Region 5","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.8","92.2","94.0","92.2","90.5",">95.0",">95.0",">95.0","94.8","91.7","93.5","89.2","93.9","459","79.1"
"009090","Washington Elementary School","047019","Hilliard City","Franklin","Region 11","Open","140814","Elementary School","Disabled","--","--","83.3","66.7","45.5","45.5","63.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","43","11.0"
"009090","Washington Elementary School","047019","Hilliard City","Franklin","Region 11","Open","140814","Elementary School","NonDisabled",">95.0","86.8",">95.0",">95.0","93.5",">95.0",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","348","89.0"
"009091","Hilliard Bradley High School","047019","Hilliard City","Franklin","Region 11","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","84.6","76.9","84.6","61.5","69.2","94.6","86.5","83.8","86.5","86.5",">95.0","82.6","85.4","150","10.2"
"009091","Hilliard Bradley High School","047019","Hilliard City","Franklin","Region 11","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0","94.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","95.0",">95.0","1319","89.7"
"009107","Helen Arnold Community Learning Center","043489","Akron City","Summit","Region 8","Open","029645","Elementary School","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.4","--","--","53","16.2"
"009107","Helen Arnold Community Learning Center","043489","Akron City","Summit","Region 8","Open","029645","Elementary School","NonDisabled","77.4","61.3","75.0","61.1","42.4","45.5","38.2","69.0","27.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","275","83.8"
"009108","Lincoln PK-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","Disabled","0.0","0.0","35.3","35.3","0.0","10.0","0.0","23.1","0.0","16.0","12.0","42.9","23.8","19.0","--","--","--","--","--","--","--","--","--","--","91.7","--","--","168","13.5"
"009108","Lincoln PK-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","NonDisabled","78.7","75.9","75.5","64.2","53.6","45.5","42.0","77.9","64.2","77.6","59.2","81.0","63.1","45.2","--","--","--","--","--","--","--","--","--","--","94.8","--","--","1080","86.5"
"009109","Willard Avenue PK-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","Disabled","21.4","7.1","30.0","30.0","9.1","0.0","9.1","38.5","7.7","23.8","23.8","21.4","21.4","14.3","--","--","--","--","--","--","--","--","--","--","92.4","--","--","162","18.0"
"009109","Willard Avenue PK-8 School","044990","Warren City","Trumbull","Region 5","Open","015222","Elementary School","NonDisabled","66.7","48.6","77.3","50.0","49.2","49.2","28.6","52.9","36.8","60.6","40.8","69.9","45.2","20.8","--","--","--","--","--","--","--","--","--","--","93.6","--","--","737","82.0"
