"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Disability Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","Disabled","--","--","--","--","--","--","--","--","--","42.1","36.8","63.6","81.8","63.6","61.5","61.5","53.8","61.5","50.0","70.6","50.0","64.7","52.9","50.0","91.3","92.0","94.4","125","17.2"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","NonDisabled","--","--","--","--","--","--","--","87.8","89.2","89.1","72.8","87.2","87.2","68.1",">95.0","94.3",">95.0","89.8","90.9",">95.0",">95.0",">95.0","94.7","92.1","94.1",">95.0",">95.0","602","82.9"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","Disabled","57.9","63.2","--","--","38.9","33.3","55.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.9","--","--","71","13.3"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","NonDisabled","85.9","93.6","94.9","84.8","84.8","68.4","79.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","464","86.7"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","64.9","--","55.6","17","18.3"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","68.4","94.7","78.9","73.7","61.0","30.0","42.6","76","81.7"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","35.3","31.3","40.0","31.3","26.7","59.4","16.2","23.4","97","20.3"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","83.0","67.4","80.0","71.1","59.2","90.0","80.0","92.8","84.1","72.9","63.0","8.3","17.7","380","79.7"
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Open","","Dropout Recovery","Disabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","33.3","41.7","25.0","33.3","16.7","62.8","23.5","28.6","32","14.6"
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Open","","Dropout Recovery","NonDisabled","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","78.7","54.1","76.7","59.3","49.2","62.0","17.8","23.8","187","85.4"
