"School IRN","% enrolled less than 3 years","Virtual"
"029959","","89.1","Site Based"
"015719","015719","61.7","Site Based"
"014621","","22.5","Site Based"
"061994","","100.0","Site Based"
"031476","031476","55.3","Site Based"
"020297","","13.5","Site Based"
"031872","","18.5","Site Based"
"012724","","24.5","Site Based"
"005439","005439","74.8","Site Based"
"023192","023192","34.4","Site Based"
"004127","","15.2","Site Based"
"043844","","","Site Based"
"024497","","14.8","Site Based"
"042341","","14.4","Site Based"
"010983","","17.9","Site Based"
"011106","","88.9","Site Based"
"142919","","","Site Based"
"031617","031617","75.0","Site Based"
"011291","011291","100.0","Site Based"
"005892","005892","56.8","Site Based"
"004549","004549","68.9","Site Based"
"143388","","","Site Based"
"005322","","16.5","Site Based"
"004234","004234","35.7","Site Based"
"008242","","38.4","Site Based"
"018093","018093","24.3","Site Based"
"031989","","12.7","Site Based"
"034801","034801","54.9","Site Based"
"022772","","14.4","Site Based"
"035402","","100.0","Site Based"
"028993","028993","70.3","Site Based"
"032359","032359","66.5","Site Based"
"015289","015289","44.3","Site Based"
"012852","012852","100.0","Site Based"
"023440","023440","34.2","Site Based"
"022665","022665","57.3","Site Based"
"012856","012856","32.5","Site Based"
"136101","","14.9","Site Based"
"012038","","100.0","Site Based"
"012039","","26.1","Site Based"
"042234","042234","47.4","Site Based"
"011031","011031","68.8","Site Based"
"012030","012030","100.0","Site Based"
"012031","","100.0","Site Based"
"011749","","13.0","Site Based"
"012033","012033","100.0","Site Based"
"012036","","100.0","Site Based"
"012037","","","Site Based"
"008425","","89.5","Site Based"
"037598","","17.0","Site Based"
"036061","036061","54.6","Site Based"
"011580","011580","24.0","Site Based"
"032755","","11.2","Site Based"
"026732","","28.0","Site Based"
"003491","","92.5","Site Based"
"040295","040295","51.6","Site Based"
"025577","025577","70.8","Site Based"
"049965","","","Site Based"
"004432","","93.3","Site Based"
"003657","003657","55.9","Site Based"
"139212","139212","56.9","Site Based"
"003301","","32.3","Site Based"
"064261","","13.1","Site Based"
"003475","","17.2","Site Based"
"046953","","","Site Based"
"002303","","48.9","Site Based"
"013292","013292","53.7","Site Based"
"081786","","17.2","Site Based"
"012105","012105","57.2","Site Based"
"023846","","34.7","Site Based"
"038687","038687","58.9","Site Based"
"013458","","7.2","Site Based"
"012450","","19.9","Site Based"
"012103","012103","59.0","Site Based"
"028761","028761","72.3","Site Based"
"133850","","","Site Based"
"019380","019380","65.6","Site Based"
"002873","","19.2","Site Based"
"048439","","","Site Based"
"006809","006809","20.8","Site Based"
"067744","067744","74.3","Site Based"
"011635","011635","73.3","Site Based"
"025668","025668","48.0","Site Based"
"098392","098392","49.4","Site Based"
"023994","023994","26.6","Site Based"
"008334","008334","64.6","Site Based"
"024430","024430","55.0","Site Based"
"007823","","21.7","Site Based"
"062364","","19.8","Site Based"
"134221","134221","100.0","Site Based"
"091389","","21.2","Site Based"
"010769","","21.3","Site Based"
"006791","","10.9","Site Based"
"013180","","","Site Based"
"025114","","7.2","Site Based"
"021162","","91.9","Site Based"
"112698","","16.7","Site Based"
"138099","","85.0","Site Based"
"002279","002279","52.4","Site Based"
"007310","","16.9","Site Based"
"008933","008933","73.3","Site Based"
"036475","036475","58.3","Site Based"
"031203","031203","48.1","Site Based"
"033530","033530","37.0","Site Based"
"019703","","24.5","Site Based"
"016006","016006","57.9","Site Based"
"040105","040105","58.9","Site Based"
"051490","","","Site Based"
"007955","","16.2","Site Based"
"133330","133330","56.7","Site Based"
"003277","003277","55.6","Site Based"
"031815","","16.7","Site Based"
"025064","025064","25.6","Site Based"
"021014","021014","69.2","Site Based"
"038869","038869","64.8","Site Based"
"098574","","17.1","Site Based"
"147538","","6.6","Site Based"
"036988","","18.4","Site Based"
"038943","038943","95.4","Site Based"
"024067","","38.6","Site Based"
"024885","024885","54.1","Site Based"
"002055","","96.4","Site Based"
"006577","","100.0","Site Based"
"024224","","15.7","Site Based"
"016220","","8.7","Site Based"
"125773","125773","60.5","Site Based"
"007559","007559","64.2","Site Based"
"037051","","19.9","Site Based"
"028571","","92.5","Site Based"
"029009","029009","23.6","Site Based"
"013078","013078","95.5","Site Based"
"112581","","22.6","Site Based"
"066761","","25.1","Site Based"
"013276","013276","41.0","Site Based"
"040071","","17.4","Site Based"
"061333","","28.4","Site Based"
"033027","033027","61.3","Site Based"
"038265","","13.6","Site Based"
"013231","","12.1","Site Based"
"016642","016642","52.3","Site Based"
"000838","000838","78.7","Site Based"
"061697","061697","30.9","Site Based"
"036871","","18.0","Site Based"
"099754","","21.3","Site Based"
"061655","","23.4","Site Based"
"027995","","16.5","Site Based"
"016352","","10.1","Site Based"
"000433","","","Site Based"
"000927","000927","60.7","Site Based"
"001438","","89.6","Site Based"
"000435","000435","65.3","Site Based"
"000922","","","Site Based"
"025841","025841","64.0","Site Based"
"006379","006379","60.1","Site Based"
"064824","064824","49.4","Site Based"
"146936","146936","71.5","Site Based"
"099598","099598","67.6","Site Based"
"026344","","21.3","Site Based"
"030130","030130","61.5","Site Based"
"003905","","23.1","Site Based"
"035972","","87.6","Site Based"
"091363","091363","39.0","Site Based"
"061523","061523","53.8","Site Based"
"017194","","16.4","Site Based"
"143529","143529","100.0","Site Based"
"014149","","100.0","Site Based"
"026146","026146","68.4","Site Based"
"002451","002451","40.5","Site Based"
"036129","036129","63.9","Site Based"
"016733","016733","70.4","Site Based"
"062224","062224","48.0","Site Based"
"014147","014147","100.0","Site Based"
"033621","033621","56.4","Site Based"
"017350","017350","50.6","Site Based"
"020164","020164","70.4","Site Based"
"000321","","84.7","Site Based"
"000320","","100.0","Site Based"
"027193","","14.0","Site Based"
"014142","014142","64.8","Site Based"
"010371","010371","53.3","Site Based"
"020438","020438","57.5","Site Based"
"017178","","16.1","Site Based"
"039859","039859","63.1","Site Based"
"092726","092726","58.7","Site Based"
"031666","","25.4","Site Based"
"020180","020180","43.3","Site Based"
"148999","","100.0","Virtual School"
"032631","032631","74.5","Site Based"
"028753","028753","60.0","Site Based"
"010777","010777","48.5","Site Based"
"064626","","21.2","Site Based"
"025932","","20.8","Site Based"
"133801","","100.0","Site Based"
"033936","033936","46.4","Site Based"
"138347","","11.1","Site Based"
"033241","033241","71.3","Site Based"
"030221","030221","55.6","Site Based"
"143412","","","Site Based"
"037903","037903","47.3","Site Based"
"014094","","100.0","Site Based"
"014090","014090","100.0","Site Based"
"014091","014091","100.0","Site Based"
"014092","","15.1","Site Based"
"041624","041624","50.2","Site Based"
"026807","","23.5","Site Based"
"010512","010512","61.1","Site Based"
"133355","","","Site Based"
"065532","","24.6","Site Based"
"000745","000745","49.6","Site Based"
"018952","018952","60.1","Site Based"
"000740","","","Site Based"
"000743","","","Site Based"
"061929","","20.4","Site Based"
"039586","039586","57.7","Site Based"
"027573","","14.1","Site Based"
"026575","","14.3","Site Based"
"029561","029561","60.9","Site Based"
"061838","061838","61.2","Site Based"
"020230","020230","56.3","Site Based"
"024711","024711","52.7","Site Based"
"011916","","88.9","Site Based"
"018424","018424","68.1","Site Based"
"034587","034587","53.2","Site Based"
"005157","005157","58.1","Site Based"
"001347","001347","52.4","Site Based"
"000209","","","Site Based"
"064139","","19.0","Site Based"
"030825","030825","60.3","Site Based"
"124875","","21.6","Site Based"
"017772","","15.6","Site Based"
"010173","","18.0","Site Based"
"000699","","17.0","Site Based"
"010205","010205","65.6","Site Based"
"029793","","16.0","Site Based"
"010207","010207","59.3","Site Based"
"010201","","40.6","Site Based"
"010200","","70.3","Site Based"
"034561","","21.5","Site Based"
"046805","","","Site Based"
"010208","","50.6","Site Based"
"038992","038992","56.3","Site Based"
"043091","","21.6","Site Based"
"010194","","12.5","Site Based"
"010197","010197","74.3","Site Based"
"010196","","23.9","Site Based"
"028365","","25.0","Site Based"
"009787","","17.6","Site Based"
"145391","","24.1","Site Based"
"010199","","23.4","Site Based"
"010198","","19.1","Site Based"
"036277","","15.3","Site Based"
"042655","","17.6","Site Based"
"009274","009274","52.1","Site Based"
"035832","035832","64.9","Site Based"
"000105","000105","23.5","Site Based"
"018390","018390","51.1","Site Based"
"000102","","90.2","Site Based"
"026484","026484","50.8","Site Based"
"004333","","12.4","Site Based"
"071399","","13.2","Site Based"
"014654","","95.8","Site Based"
"018887","018887","51.1","Site Based"
"015701","015701","50.7","Site Based"
"031401","031401","56.1","Site Based"
"151209","","100.0","Site Based"
"014878","014878","48.1","Site Based"
"086306","","25.6","Site Based"
"018374","018374","43.5","Site Based"
"011130","011130","63.2","Site Based"
"004937","004937","19.1","Site Based"
"062893","","","Site Based"
"146928","","11.8","Site Based"
"037457","037457","44.5","Site Based"
"031880","","17.3","Site Based"
"070417","","12.1","Site Based"
"142927","","100.0","Site Based"
"032698","","45.7","Site Based"
"010991","","23.0","Site Based"
"008257","008257","56.0","Site Based"
"119792","119792","68.7","Site Based"
"028969","028969","62.6","Site Based"
"071027","","18.4","Site Based"
"008252","008252","66.5","Site Based"
"008251","","100.0","Site Based"
"008250","","26.4","Site Based"
"028217","","19.3","Site Based"
"023291","","29.2","Site Based"
"009090","009090","58.0","Site Based"
"009091","","13.9","Site Based"
"008789","008789","39.9","Site Based"
"005330","005330","61.9","Site Based"
"005884","","18.8","Site Based"
"009308","","89.8","Site Based"
"046979","","","Site Based"
"004200","004200","61.0","Site Based"
"018770","","11.6","Site Based"
"009871","009871","54.0","Site Based"
"012849","","12.9","Site Based"
"012026","012026","100.0","Site Based"
"012025","","100.0","Site Based"
"023275","023275","66.2","Site Based"
"120212","","18.5","Site Based"
"034835","","12.9","Site Based"
"015297","015297","51.9","Site Based"
"012029","","100.0","Site Based"
"064105","064105","69.0","Site Based"
"009894","","24.3","Site Based"
"122143","","29.7","Site Based"
"011007","011007","77.3","Site Based"
"004598","004598","70.6","Site Based"
"008433","","16.0","Site Based"
"042085","","14.6","Site Based"
"036053","036053","57.9","Site Based"
"138727","","33.1","Site Based"
"138065","","22.1","Site Based"
"004119","","95.1","Site Based"
"027664","","22.5","Site Based"
"002998","002998","67.7","Site Based"
"022871","","14.2","Site Based"
"029785","029785","55.6","Site Based"
"134122","134122","51.4","Site Based"
"012112","012112","63.5","Site Based"
"012443","012443","57.1","Site Based"
"038679","","45.0","Site Based"
"023879","","21.3","Site Based"
"067751","067751","70.3","Site Based"
"007815","007815","57.8","Site Based"
"143347","","","Site Based"
"011643","011643","65.3","Site Based"
"025619","","19.2","Site Based"
"002840","","18.5","Site Based"
"021956","","11.8","Site Based"
"034850","034850","54.2","Site Based"
"012591","","10.0","Site Based"
"023473","","17.7","Site Based"
"013864","013864","100.0","Site Based"
"008326","008326","48.9","Site Based"
"007039","","18.2","Site Based"
"013862","013862","42.1","Site Based"
"045161","","","Site Based"
"006783","","16.4","Site Based"
"029363","029363","50.7","Site Based"
"007369","007369","48.8","Site Based"
"042861","042861","57.4","Site Based"
"007492","007492","38.5","Site Based"
"067975","","17.5","Site Based"
"025437","","19.6","Site Based"
"142281","","22.5","Site Based"
"019281","019281","68.6","Site Based"
"008920","008920","46.1","Site Based"
"035428","035428","68.7","Site Based"
"125047","125047","62.4","Site Based"
"013888","013888","83.1","Site Based"
"041442","","23.4","Site Based"
"019778","019778","57.9","Site Based"
"061556","061556","68.4","Site Based"
"016030","016030","43.8","Site Based"
"007963","","14.3","Site Based"
"025726","025726","49.0","Site Based"
"011369","","14.5","Site Based"
"133306","133306","77.6","Site Based"
"038893","","18.0","Site Based"
"011368","011368","60.6","Site Based"
"016584","016584","66.2","Site Based"
"025544","","11.3","Site Based"
"001644","001644","50.0","Site Based"
"133470","","","Site Based"
"024893","024893","76.9","Site Based"
"036996","036996","54.8","Site Based"
"038257","038257","50.5","Site Based"
"040394","040394","59.4","Site Based"
"002519","","19.3","Site Based"
"039305","039305","24.5","Site Based"
"031245","","15.0","Site Based"
"037028","037028","59.6","Site Based"
"048660","","","Site Based"
"013082","013082","100.0","Site Based"
"013083","","","Site Based"
"013240","","100.0","Site Based"
"013243","","14.9","Site Based"
"096396","","87.6","Site Based"
"006965","","17.4","Site Based"
"038091","038091","72.5","Site Based"
"013249","","100.0","Site Based"
"003863","","14.8","Site Based"
"066795","","20.9","Site Based"
"033746","033746","64.8","Site Based"
"061358","061358","57.1","Site Based"
"002196","002196","59.3","Site Based"
"039784","","18.9","Site Based"
"021170","021170","75.5","Site Based"
"066407","066407","57.3","Site Based"
"147231","","100.0","Site Based"
"016105","016105","76.3","Site Based"
"036863","","23.5","Site Based"
"016360","016360","57.5","Site Based"
"000919","","26.5","Site Based"
"044941","","","Site Based"
"001420","","15.0","Site Based"
"024521","024521","56.4","Site Based"
"041723","","21.2","Site Based"
"036236","036236","62.2","Site Based"
"000912","","100.0","Site Based"
"040626","040626","18.0","Site Based"
"042531","042531","79.8","Site Based"
"017137","017137","57.1","Site Based"
"031377","031377","66.5","Site Based"
"000813","","100.0","Site Based"
"067819","067819","56.5","Site Based"
"030692","030692","50.4","Site Based"
"030791","030791","72.1","Site Based"
"029108","029108","26.1","Site Based"
"000116","","34.9","Site Based"
"039891","039891","49.3","Site Based"
"039230","039230","39.1","Site Based"
"030106","030106","44.9","Site Based"
"000117","000117","50.2","Site Based"
"030452","","10.9","Site Based"
"033639","033639","74.5","Site Based"
"042382","","13.1","Site Based"
"043000","","19.9","Site Based"
"133272","","","Site Based"
"041996","041996","71.7","Site Based"
"040717","","19.8","Site Based"
"143644","","72.9","Site Based"
"139873","139873","46.6","Site Based"
"035691","035691","60.0","Site Based"
"017343","","14.5","Site Based"
"000352","000352","61.4","Site Based"
"029371","029371","43.7","Site Based"
"000350","000350","46.8","Site Based"
"000351","","25.0","Site Based"
"000356","000356","55.3","Site Based"
"017160","","19.6","Site Based"
"145565","","0.0","Site Based"
"033811","033811","58.0","Site Based"
"042408","","23.3","Site Based"
"000596","000596","46.9","Site Based"
"152157","","14.6","Site Based"
"024141","024141","48.8","Site Based"
"018382","","42.0","Site Based"
"006213","006213","32.1","Site Based"
"024414","","19.2","Site Based"
"134064","","","Site Based"
"027763","","40.6","Site Based"
"000598","","100.0","Site Based"
"014886","014886","46.5","Site Based"
"028183","","11.0","Site Based"
"070078","","37.1","Site Based"
"002733","002733","66.1","Site Based"
"028746","","27.4","Site Based"
"025940","025940","52.9","Site Based"
"067868","","28.4","Site Based"
"024117","","16.2","Site Based"
"027656","","16.0","Site Based"
"061226","061226","44.8","Site Based"
"030213","","17.0","Site Based"
"033258","033258","54.5","Site Based"
"143396","143396","80.7","ESchool"
"018895","018895","59.7","Site Based"
"033563","","22.3","Site Based"
"014081","","100.0","Site Based"
"014080","","100.0","Site Based"
"027813","027813","61.7","Site Based"
"014084","","16.0","Site Based"
"026815","026815","49.6","Site Based"
"014089","","25.2","Site Based"
"126359","","12.9","Site Based"
"000770","","82.6","Site Based"
"029579","029579","67.6","Site Based"
"009464","","89.4","Site Based"
"041848","","18.3","Site Based"
"000775","","","Site Based"
"000777","","","Site Based"
"000778","","17.0","Site Based"
"000779","000779","100.0","Site Based"
"026567","","15.1","Site Based"
"018960","","17.1","Site Based"
"042549","042549","65.1","Site Based"
"014787","014787","72.9","Site Based"
"029629","","20.3","Site Based"
"064121","064121","23.4","Site Based"
"011908","","20.8","Site Based"
"018416","","37.4","Site Based"
"028498","028498","60.7","Site Based"
"024703","024703","46.7","Site Based"
"001354","","91.2","Site Based"
"030676","030676","66.7","Site Based"
"042218","","26.5","Site Based"
"017764","","26.1","Site Based"
"005181","005181","63.8","Site Based"
"035089","","19.2","Site Based"
"145631","","22.4","Site Based"
"005637","005637","48.8","Site Based"
"034579","034579","52.2","Site Based"
"036269","","27.5","Site Based"
"037564","","11.8","Site Based"
"027383","027383","56.3","Site Based"
"000178","","96.3","Site Based"
"035774","035774","67.5","Site Based"
"009268","","31.2","Site Based"
"014563","014563","51.6","Site Based"
"000177","000177","16.8","Site Based"
"151233","151233","100.0","ESchool"
"014860","014860","47.3","Site Based"
"071381","","21.6","Site Based"
"027953","027953","49.8","Site Based"
"015842","","36.2","Site Based"
"018564","018564","56.4","Site Based"
"035170","","13.3","Site Based"
"061473","061473","65.1","Site Based"
"011122","","12.6","Site Based"
"004697","004697","64.5","Site Based"
"031898","","13.4","Site Based"
"035790","035790","42.0","Site Based"
"019760","019760","41.7","Site Based"
"004929","","82.8","Site Based"
"062315","","41.5","Site Based"
"032680","032680","34.2","Site Based"
"146134","146134","58.0","Site Based"
"018309","018309","52.4","Site Based"
"142935","","100.0","Site Based"
"015529","015529","48.8","Site Based"
"062760","062760","45.2","Site Based"
"026385","","14.8","Site Based"
"018747","018747","54.3","Site Based"
"008227","","18.7","Site Based"
"119768","119768","31.8","Site Based"
"023283","023283","66.1","Site Based"
"009084","","21.9","Site Based"
"043430","","22.4","Site Based"
"004218","004218","20.0","Site Based"
"015602","","41.2","Site Based"
"151084","","","Site Based"
"062406","","18.5","Site Based"
"031302","031302","53.3","Site Based"
"009647","009647","51.7","Site Based"
"012905","","92.3","Site Based"
"012906","012906","51.5","Site Based"
"035311","","12.5","Site Based"
"000814","","","Site Based"
"023515","","13.4","Site Based"
"012052","012052","100.0","Site Based"
"013508","013508","25.1","Site Based"
"012054","","100.0","Site Based"
"004077","","31.4","Site Based"
"064618","064618","55.8","Site Based"
"034827","034827","57.1","Site Based"
"040824","","100.0","Site Based"
"014514","014514","62.6","Site Based"
"009886","009886","51.8","Site Based"
"005850","","32.4","Site Based"
"042259","042259","63.5","Site Based"
"036681","036681","54.9","Site Based"
"004853","","14.4","Site Based"
"004580","004580","59.3","Site Based"
"010836","","18.1","Site Based"
"068486","068486","46.1","Site Based"
"095661","","93.5","Site Based"
"022244","","15.2","Site Based"
"093146","","100.0","Site Based"
"008680","008680","53.7","Site Based"
"023606","","16.8","Site Based"
"004101","004101","51.4","Site Based"
"015933","015933","63.7","Site Based"
"004457","","25.5","Site Based"
"064683","","24.5","Site Based"
"008136","","17.6","Site Based"
"018184","","17.4","Site Based"
"032201","032201","60.7","Site Based"
"040568","","24.5","Site Based"
"002980","002980","73.4","Site Based"
"038067","038067","53.0","Site Based"
"003103","","25.4","Site Based"
"034918","","11.8","Site Based"
"133645","","","Site Based"
"035584","","46.7","Site Based"
"041277","041277","63.0","Site Based"
"038661","","24.4","Site Based"
"002824","002824","72.1","Site Based"
"026245","026245","74.4","Site Based"
"003582","","100.0","Site Based"
"037481","","20.0","Site Based"
"146035","146035","77.4","Site Based"
"037994","","16.0","Site Based"
"064816","064816","64.8","Site Based"
"146043","146043","72.2","Site Based"
"002857","002857","24.7","Site Based"
"119776","119776","31.7","Site Based"
"007021","","12.7","Site Based"
"008359","","18.0","Site Based"
"045179","","","Site Based"
"013870","","12.7","Site Based"
"032904","032904","55.4","Site Based"
"061325","","18.1","Site Based"
"025429","025429","45.8","Site Based"
"030395","030395","64.1","Site Based"
"013656","","11.9","Site Based"
"020503","","31.0","Site Based"
"006775","006775","76.4","Site Based"
"039420","","93.2","Site Based"
"041384","041384","71.8","Site Based"
"122028","","17.0","Site Based"
"024695","024695","55.6","Site Based"
"008912","008912","49.1","Site Based"
"013896","013896","69.9","Site Based"
"036459","036459","46.1","Site Based"
"013892","","100.0","Site Based"
"033134","033134","41.8","Site Based"
"038406","038406","57.3","Site Based"
"012922","012922","53.7","Site Based"
"133488","","93.9","Site Based"
"021618","","90.3","Site Based"
"044156","","","Site Based"
"036798","036798","61.4","Site Based"
"134114","","","Site Based"
"007799","007799","60.7","Site Based"
"038885","038885","48.7","Site Based"
"009119","009119","52.1","Site Based"
"018853","","16.9","Site Based"
"003293","","23.5","Site Based"
"034157","034157","65.4","Site Based"
"147397","","38.6","Site Based"
"012924","012924","100.0","Site Based"
"001982","001982","51.8","Site Based"
"133462","","","Site Based"
"132993","132993","74.3","Site Based"
"006510","","16.9","Site Based"
"039040","039040","47.8","Site Based"
"039685","","35.0","Site Based"
"021204","","21.0","Site Based"
"062018","","95.3","Site Based"
"062349","","23.2","Site Based"
"001735","","21.0","Site Based"
"007773","007773","61.1","Site Based"
"040386","040386","62.3","Site Based"
"113878","113878","61.5","Site Based"
"123463","123463","66.7","Site Based"
"002501","","18.7","Site Based"
"143461","","","Site Based"
"016113","016113","70.3","Site Based"
"000317","","","Site Based"
"038083","038083","54.0","Site Based"
"006999","006999","61.0","Site Based"
"013255","013255","100.0","Site Based"
"013254","013254","100.0","Site Based"
"013253","013253","100.0","Site Based"
"036525","036525","75.8","Site Based"
"013250","","14.3","Site Based"
"142638","142638","63.0","Site Based"
"067942","","21.6","Site Based"
"021105","021105","36.2","Site Based"
"041012","","23.4","Site Based"
"019836","019836","52.6","Site Based"
"027979","","22.3","Site Based"
"006353","006353","50.7","Site Based"
"042523","042523","50.6","Site Based"
"136788","136788","19.0","Site Based"
"001180","001180","51.4","Site Based"
"040634","040634","18.6","Site Based"
"006429","006429","56.8","Site Based"
"039206","039206","54.0","Site Based"
"095828","","18.9","Site Based"
"118414","","13.1","Site Based"
"039750","","21.5","Site Based"
"037804","","14.2","Site Based"
"024398","024398","53.3","Site Based"
"001743","001743","66.5","Site Based"
"145557","","5.4","Site Based"
"021725","021725","59.4","Site Based"
"033647","033647","75.6","Site Based"
"035956","","38.8","Site Based"
"030445","","15.3","Site Based"
"038539","038539","67.6","Site Based"
"020073","","17.2","Site Based"
"038331","","21.8","Site Based"
"002436","","15.0","Site Based"
"041657","","26.4","Site Based"
"033480","033480","55.5","Site Based"
"133264","","100.0","Site Based"
"016758","","13.2","Site Based"
"019992","","20.0","Site Based"
"017152","017152","62.6","Site Based"
"000342","","39.4","Site Based"
"000345","000345","50.0","Site Based"
"027771","","14.3","Site Based"
"000349","","20.0","Site Based"
"000348","000348","52.6","Site Based"
"017400","","19.9","Site Based"
"010686","010686","61.1","Site Based"
"099648","099648","59.3","Site Based"
"000585","000585","77.8","Site Based"
"070060","","19.0","Site Based"
"062307","","13.2","Site Based"
"143297","143297","41.2","Site Based"
"017970","017970","53.0","Site Based"
"001297","","13.6","Site Based"
"043380","","17.5","Site Based"
"133868","","100.0","Site Based"
"028738","028738","17.8","Site Based"
"017087","","100.0","Site Based"
"034215","","19.8","Site Based"
"010751","","23.3","Site Based"
"021295","021295","64.2","Site Based"
"140046","140046","48.1","Site Based"
"145953","","10.5","Site Based"
"143479","143479","82.3","Site Based"
"000905","","100.0","Site Based"
"000427","","","Site Based"
"000902","","24.8","Site Based"
"000901","000901","54.6","Site Based"
"030312","030312","46.7","Site Based"
"066787","066787","49.1","Site Based"
"000909","000909","70.5","Site Based"
"027805","","15.3","Site Based"
"064196","","16.9","Site Based"
"125955","125955","44.8","Site Based"
"014079","","","Site Based"
"014076","014076","53.1","Site Based"
"014077","","","Site Based"
"026823","","21.0","Site Based"
"014070","","","Site Based"
"061812","","11.8","Site Based"
"018978","","92.9","Site Based"
"147603","147603","62.1","Site Based"
"001362","","95.8","Site Based"
"027227","","100.0","Site Based"
"028134","","12.8","Site Based"
"020255","","14.8","Site Based"
"000761","","","Site Based"
"000760","000760","34.8","Site Based"
"137463","","20.6","Site Based"
"028647","028647","65.1","Site Based"
"011748","011748","64.0","Site Based"
"030064","030064","48.1","Site Based"
"029744","","15.9","Site Based"
"133918","","","Site Based"
"011932","011932","69.9","Site Based"
"030841","","13.9","Site Based"
"037812","037812","59.6","Site Based"
"010355","010355","55.3","Site Based"
"064790","","15.5","Site Based"
"000268","","","Site Based"
"017798","","20.1","Site Based"
"065318","","17.9","Site Based"
"033688","033688","45.8","Site Based"
"026955","","8.3","Site Based"
"034363","","22.8","Site Based"
"026286","","94.0","Site Based"
"149393","","","Site Based"
"036210","","17.8","Site Based"
"005199","","19.7","Site Based"
"142158","","13.2","Site Based"
"025130","","19.0","Site Based"
"040808","040808","58.0","Site Based"
"035097","035097","27.1","Site Based"
"014188","014188","100.0","Site Based"
"014189","014189","100.0","Site Based"
"027607","027607","25.4","Site Based"
"015198","015198","63.6","Site Based"
"028340","028340","47.8","Site Based"
"014187","014187","100.0","Site Based"
"127639","","13.8","Site Based"
"020206","020206","67.0","Site Based"
"024604","","18.7","Site Based"
"031427","","46.8","Site Based"
"009258","009258","54.1","Site Based"
"018572","","14.0","Site Based"
"000162","000162","90.9","Virtual School"
"009522","","41.3","Site Based"
"027151","","19.0","Site Based"
"000635","","","Site Based"
"064576","","29.5","Site Based"
"114090","","100.0","Site Based"
"151225","","","Site Based"
"040659","040659","77.8","Site Based"
"014324","014324","52.9","Site Based"
"149153","","","Site Based"
"011484","011484","54.5","Site Based"
"011485","011485","54.8","Site Based"
"015107","","9.7","Site Based"
"011487","011487","84.0","Site Based"
"011480","","","Site Based"
"004911","","11.2","Site Based"
"005447","","14.3","Site Based"
"011483","011483","55.7","Site Based"
"014696","014696","63.8","Site Based"
"001024","001024","67.8","Site Based"
"011247","011247","26.5","Site Based"
"004267","004267","63.7","Site Based"
"018754","018754","23.5","Site Based"
"016378","","22.9","Site Based"
"026443","026443","50.5","Site Based"
"015610","015610","57.5","Site Based"
"020131","020131","56.1","Site Based"
"034785","034785","70.0","Site Based"
"009324","","5.6","Site Based"
"089649","089649","59.1","Site Based"
"012914","012914","54.9","Site Based"
"012041","","","Site Based"
"012040","","100.0","Site Based"
"012043","","100.0","Site Based"
"006296","","30.0","Site Based"
"012045","012045","68.8","Site Based"
"012044","","100.0","Site Based"
"004002","","17.7","Site Based"
"023259","","21.8","Site Based"
"023705","023705","55.5","Site Based"
"140814","","19.6","Site Based"
"142554","142554","53.8","Site Based"
"012683","","100.0","Site Based"
"012682","012682","56.4","Site Based"
"014522","","12.9","Site Based"
"138966","","24.5","Site Based"
"012684","012684","100.0","Site Based"
"011791","","21.2","Site Based"
"015032","015032","15.9","Site Based"
"117382","","20.8","Site Based"
"011064","011064","69.3","Site Based"
"014936","014936","50.4","Site Based"
"023382","023382","67.9","Site Based"
"010827","","100.0","Site Based"
"044198","","","Site Based"
"022251","022251","52.8","Site Based"
"029439","","20.7","Site Based"
"124867","","26.0","Site Based"
"023671","023671","53.0","Site Based"
"005991","","100.0","Site Based"
"008698","008698","38.1","Site Based"
"032615","","20.5","Site Based"
"032235","","18.3","Site Based"
"032011","032011","59.2","Site Based"
"004713","","26.6","Site Based"
"070326","070326","44.9","Site Based"
"007161","007161","56.3","Site Based"
"013409","013409","68.2","Site Based"
"003442","003442","73.0","Site Based"
"046961","","","Site Based"
"042614","","24.3","Site Based"
"013298","013298","69.8","Site Based"
"019117","","20.4","Site Based"
"004481","004481","47.4","Site Based"
"023812","023812","54.3","Site Based"
"027136","027136","54.1","Site Based"
"011668","","36.1","Site Based"
"022160","","19.4","Site Based"
"003590","003590","40.9","Site Based"
"030569","","26.1","Site Based"
"011462","","16.2","Site Based"
"011463","","18.8","Site Based"
"011460","","14.8","Site Based"
"011468","011468","93.5","Site Based"
"028423","028423","62.7","Site Based"
"003061","","17.7","Site Based"
"029223","029223","47.6","Site Based"
"124081","124081","63.1","Site Based"
"012867","","100.0","Site Based"
"012864","012864","58.3","Site Based"
"008342","","16.6","Site Based"
"139311","","24.0","Site Based"
"064733","","29.2","Site Based"
"040477","040477","55.1","Site Based"
"013359","013359","65.7","Site Based"
"029348","029348","65.2","Site Based"
"039925","039925","49.8","Site Based"
"031039","031039","51.7","Site Based"
"002220","","18.8","Site Based"
"134072","134072","62.8","Site Based"
"033126","","21.3","Site Based"
"023929","023929","48.5","Site Based"
"048199","","","Site Based"
"042416","","29.2","Site Based"
"037143","037143","65.4","Site Based"
"041467","041467","68.5","Site Based"
"019752","","21.4","Site Based"
"133678","133678","80.1","Site Based"
"040881","040881","76.5","Site Based"
"041269","","29.5","Site Based"
"013797","","95.4","Site Based"
"003285","","21.7","Site Based"
"018457","018457","61.2","Site Based"
"007906","007906","68.4","Site Based"
"133454","133454","66.8","Site Based"
"037622","","90.2","Site Based"
"016568","","13.5","Site Based"
