"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Avg Grade","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"132944","Miami Valley Academies","5656 Springboro Pike","Dayton","OH","45449-2806","Site Based","F","1188939.20","86.38","5"
"000534","Constellation Schools: Puritas Community Middle","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","F","986208.95","89.86","0"
"143487","Constellation Schools: Stockyard Community Elementary","3200 W 65th St","Cleveland","OH","44102-5510","Site Based","F","2206241.14","91.21","0"
"143313","Hope Academy Cuyahoga Campus","13111 Crossburn Ave","Cleveland","OH","44135-5017","Site Based","F","3316878.66","97.30","7"
"000843","Bennett Venture Academy","5130 Bennett Road","Toledo","OH","43612","Site Based","F","4780902.82","92.31","7"
"143552","Eagle Academy","2014 Consaul St","Toledo","OH","43605-1412","Site Based","F","4208861.62","86.03","4"
"011985","Theodore Roosevelt Public Community School","1550 Tremont St","Cincinnati","OH","45214-1432","Site Based","F","1389207.93","83.36","0"
"011987","Horizon Science Academy Toledo Downtown","425 Jefferson Ave 3rd Fl","Toledo","OH","43604-1060","Site Based","F","2299497.72","83.49","4"
"011986","Horizon Science Academy Youngstown","3403 Southern Blvd","Youngstown","OH","44507-2044","Site Based","F","2880448.39","85.29","3"
"012631","Impact Academy Cincinnati","3060 Durrell Ave","Cincinnati","OH","45207-1716","Site Based","F","694917.34","75.61","0"
"000195","Hope Academy East Campus","15720 Kipling Ave","Cleveland","OH","44110-3105","Site Based","F","2829222.57","97.91","2"
"132761","Summit Academy Community School Alternative Learners -Xenia","1694 Pawnee Dr","Xenia","OH","45385-4126","Site Based","F","2030498.64","96.83","2"
"009179","Horizon Science Academy Columbus Middle School","2350 Morse Rd","Columbus","OH","43229-5801","Site Based","F","2720559.22","88.82","4"
"009178","Romig Road Community School","2405 Romig Rd","Akron","OH","44320-3826","Site Based","F","3384555.73","55.43","4"
"009171","Star Academy of Toledo","5025 Glendale Ave","Toledo","OH","43614-1855","Site Based","F","1455089.06","83.88","0"
"009957","Klepinger Community School","3650 Klepinger Rd","Dayton","OH","45416-1919","Site Based","F","3423661.69","87.94","2"
"009955","Madison Avenue School of Arts","1511 Madison Ave","Toledo","OH","43604-4433","Site Based","F","4629912.75","84.62","2"
"009954","Harrisburg Pike Community School","680 Harrisburg Pike","Columbus","OH","43223-2100","Site Based","F","2828896.51","86.89","4"
"009953","Sullivant Avenue Community School","3435 Sullivant Ave","Columbus","OH","43204-1103","Site Based","F","3090352.57","86.66","7"
"011439","Renaissance Academy","4300 Kimberly Pkwy N","Columbus","OH","43232-8296","Site Based","F","1132001.32","88.02","12"
"134288","East End Comm Heritage School","2001 Baltimore Ave","Cincinnati","OH","45225-1404","Site Based","NR","564609.66","99.10","0"
"133629","Horizon Science Acad Cleveland","6000 S Marginal Rd","Cleveland","OH","44103-1042","Site Based","A","3251677.33","88.82","3"
"013165","Believe To Achieve-Cleveland","12200 Fairhill Rd","Cleveland","OH","44120-1058","Site Based","F","2593363.76","87.69","0"
"013164","Believe to Achieve-Canton","101 Cleveland Ave NW","Canton","OH","44702-1700","Site Based","F","1370508.95","87.69","0"
"143495","Constellation Schools: Mansfield Community Elementary","215 N Trimble Rd","Mansfield","OH","44906-2630","Site Based","F","1000165.96","87.52","1"
"000298","Summit Academy Secondary - Akron","464 S Hawkins Ave","Akron","OH","44320-1228","Site Based","F","1353804.64","96.70","4"
"000297","Summit Academy Community School - Dayton","4128 Cedar Ridge Rd","Dayton","OH","45414-3908","Site Based","F","1560542.34","97.23","2"
"000296","Summit Academy Community School-Columbus","2521 Fairwood Ave Ste 100","Columbus","OH","43207-2712","Site Based","F","868926.73","97.61","1"
"000855","Stambaugh Charter Academy","2420 Donald Ave","Youngstown","OH","44509-1306","Site Based","D","3506635.20","91.41","7"
"000858","Horizon Science Academy-Cleveland Middle School","6100 S Marginal Rd","Cleveland","OH","44103-1043","Site Based","C","1067706.74","88.63","2"
"000679","Oakstone Community School","5747 Cleveland Ave","Columbus","OH","43231-2831","Site Based","D","7311314.28","82.82","2"
"000677","New Day Academy Boarding & Day School","8566 Barbara Dr","Mentor","OH","44060-1917","Site Based","F","1694090.82","83.80","2"
"009149","Constellation Schools: Westside Community School of the Arts","5730 Broadview Rd","Parma","OH","44134-1602","Site Based","F","2483400.17","89.31","2"
"009147","Northpointe Academy","3648 Victory Ave","Toledo","OH","43607-2564","Site Based","F","2365413.56","86.04","4"
"012624","Accelerated Achievement Academy of East Cincinnati","415 W Court St","Cincinnati","OH","45203-1519","Site Based","F","1119725.34","87.61","8"
"012626","Dow Leadership Institute, The","8610 Hough Ave","Cleveland","OH","44106-1566","Site Based","F","737883.07","85.60","0"
"012629","Great Expectations Elementary School","20 Arco Dr","Toledo","OH","43607-2901","Site Based","F","1324655.37","75.85","0"
"012628","Imagine Integrity Academy","1565 Integrity Dr E","Columbus","OH","43209-2707","Site Based","F","791057.96","99.33","2"
"011533","Horizon Science Academy Lorain","2265 Columbus Rd","Cleveland","OH","44113-4230","Site Based","F","2988874.16","88.79","3"
"011534","Horizon Science Academy Dayton High School","250 Shoup Mill Rd","Dayton","OH","45415-3517","Site Based","F","2498977.35","89.36","1"
"142943","Focus Learning Academy of Northern Columbus","4795 Evanswood Dr","Columbus","OH","43229-7216","Site Based","F","1437869.61","99.79","14"
"133363","Quest Academy Community","190 E 8th St","Lima","OH","45804-2302","Site Based","F","751379.69","86.02","17"
"133504","Phoenix Community Learning Ctr","3595 Washington Ave","Cincinnati","OH","45229-2609","Site Based","F","2405242.90","86.48","5"
"132969","Constellation Schools: Elyria Community","300 N Abbe Rd","Elyria","OH","44035-3715","Site Based","C","3151113.50","87.63","3"
"133215","Intergenerational School, The","11327 Shaker Blvd Ste 200 E.","Cleveland","OH","44104-3805","Site Based","B","1558870.35","82.90","3"
"000510","Springfield Preparatory and Fitness Academy","1615 Selma Rd","Springfield","OH","45505-4245","Site Based","F","1499783.74","100.00","1"
"000511","Northland Preparatory and Fitness Academy","1875 Morse Rd","Columbus","OH","43229-6603","Site Based","F","1701905.23","100.00","0"
"143578","Richard Allen Academy III","1206 Shuler Ave","Hamilton","OH","45011-4566","Site Based","F","1161411.49","98.53","4"
"143206","Trotwood Fitness & Prep Acad","3100 Shiloh Springs Rd","Trotwood","OH","45426-2247","Site Based","F","2395335.27","100.00","1"
"009154","Cincinnati Leadership Academy","7243 Eastlawn Dr","Cincinnati","OH","45237-3515","Site Based","F","1659258.97","84.42","10"
"142950","Ohio Virtual Academy","1655 Holland Rd Ste F","Maumee","OH","43537-1622","Site Based","F","81591503.56","91.22","9"
"008286","Harvard Avenue Community School","12000 Harvard Ave","Cleveland","OH","44105-5444","Site Based","F","4390162.66","80.78","3"
"008287","Groveport Community School","4485 S Hamilton Rd","Groveport","OH","43125-9334","Site Based","F","6537668.84","88.04","5"
"008280","Noble Academy-Columbus","1329 Bethel Rd","Columbus","OH","43220-2611","Site Based","D","1578887.83","92.18","3"
"008281","South Scioto Academy","707 E Jenkins Ave","Columbus","OH","43207-1318","Site Based","F","1167401.68","83.47","2"
"012545","Imagine Woodbury Academy","100 E Woodbury Dr","Dayton","OH","45415-2841","Site Based","F","1195472.81","99.60","1"
"012541","University of Cleveland Preparatory School","1906 E 40th St","Cleveland","OH","44103-3557","Site Based","F","2706559.08","84.86","3"
"143214","Middletown Fitness & Prep Acad","816 2nd Ave","Middletown","OH","45044-4201","Site Based","F","1799388.19","100.00","3"
"010036","Cesar Chavez College Preparatory School","1465 Oakland Park Ave","Columbus","OH","43224-3509","Site Based","NR","351353.42","81.16","6"
"133512","Cincinnati College Preparatory Academy","1425 Linn St","Cincinnati","OH","45214-2605","Site Based","D","5803791.92","86.46","7"
"013148","Stepstone Academy","2121 E 32nd St","Cleveland","OH","44115-2747","Site Based","NR","823494.67","85.68","6"
"000509","Whitehall Preparatory and Fitness Academy","3474 E Livingston Ave","Columbus","OH","43227-2279","Site Based","F","1904484.24","100.00","0"
"013034","Village Preparatory School:: Woodland Hills Campus","9201 Crane Ave","Cleveland","OH","44105-1627","Site Based","NR","1168200.36","79.50","2"
"013030","Graham Primary School","3950 Indianola Ave","Columbus","OH","43214-3167","Site Based","NR","426251.17","58.50","2"
"011923","Northeast Ohio College Preparatory School","2280 Professor Ave","Cleveland","OH","44113-4467","Site Based","F","2967353.78","86.03","4"
"000875","Westside Academy","4330 Clime Rd North","Columbus","OH","43228-3439","Site Based","F","1030110.28","90.55","0"
"143560","Richard Allen Academy II","184 Salem Ave","Dayton","OH","45406-5804","Site Based","F","3189472.98","98.78","3"
