"District IRN","District Name","County","Region","Gifted ","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"043604","Belpre City","Washington","Region 16","Gifted","--","--","--","--",">95.0",">95.0","90.9","92.3","92.3",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","127","12.1"
"043612","Berea City","Cuyahoga","Region 3","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","93.9",">95.0","92.6",">95.0",">95.0","93.8",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","1046","15.9"
"043620","Bexley City","Franklin","Region 11","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","868","40.2"
"043638","Bowling Green City","Wood","Region 1","Gifted",">95.0",">95.0","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","328","11.3"
"043646","Brecksville-Broadview Heights City","Cuyahoga","Region 3","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","1211","30.7"
"043653","Brooklyn City","Cuyahoga","Region 3","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0","94.4",">95.0","92.3",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","92.9",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","158","11.7"
"043661","Brunswick City","Medina","Region 8","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","1659","22.5"
"043679","Bryan City","Williams","Region 1","Gifted","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","213","10.8"
"043687","Bucyrus City","Crawford","Region 7","Gifted",">95.0","94.1",">95.0",">95.0","94.4",">95.0","94.4",">95.0","90.0",">95.0",">95.0",">95.0","92.9",">95.0","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","92.0",">95.0","170","12.1"
"043695","Cambridge City","Guernsey","Region 12","Gifted","--","--",">95.0",">95.0","94.1",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","88.2",">95.0","93.8",">95.0","93.8","93.8",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","205","9.8"
"043703","Campbell City","Mahoning","Region 5","Gifted","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0",">95.0",">95.0",">95.0",">95.0","--","--","--","--","--","91.4","--","--","39","3.3"
"043711","Canton City","Stark","Region 9","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","93.8",">95.0",">95.0",">95.0","93.8",">95.0",">95.0","84.4",">95.0",">95.0",">95.0","93.7","91.9",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","90.1",">95.0","872","9.6"
"043729","Celina City","Mercer","Region 6","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","93.5","93.5",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","373","14.1"
"043737","Centerville City","Montgomery","Region 10","Gifted",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0",">95.0","2192","28.3"
