"District IRN","District Name","County","Region","Limited English Proficiency","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"043745","Chillicothe City","Ross","Region 15","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043752","Cincinnati City","Hamilton","Region 13","LEP","61.6","58.5","74.7","58.9","52.0","48.0","36.8","65.6","62.5","60.9","43.7","67.1","48.6","23.9","51.7","48.3","53.4","55.2","37.9","71.4","76.8","69.6","76.4","54.4",">95.0","72.6","63.6","1785","5.9"
"043760","Circleville City","Pickaway","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043778","Claymont City","Tuscarawas","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043786","Cleveland Municipal City","Cuyahoga","Region 3","LEP","62.9","64.2","66.5","63.4","33.3","43.8","28.1","52.7","45.2","49.7","39.2","46.0","46.0","24.2","55.7","41.0","57.0","39.9","29.0","66.2","57.8","60.1","55.1","41.2","88.3","51.3","49.1","3023","8.0"
"043794","Cleveland Heights-University Heights City","Cuyahoga","Region 3","LEP","60.0","70.0","75.0","75.0","38.5","38.5","38.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","135","2.4"
"043802","Columbus City","Franklin","Region 11","LEP","59.1","55.7","58.1","49.6","40.1","38.4","29.8","53.6","41.5","52.0","41.1","55.5","42.7","19.3","63.1","46.7","56.2","59.4","29.4","77.9","72.5","73.9","75.8","50.7","93.8","65.3","76.7","6684","13.5"
"043810","Conneaut Area City","Ashtabula","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043828","Coshocton City","Coshocton","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","0.6"
"043836","Cuyahoga Falls City","Summit","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","45.5","45.5","36.4","54.5","45.5","--","--","--","--","--",">95.0","--","--","113","2.3"
"043844","Dayton City","Montgomery","Region 10","LEP","52.7","47.3","65.0","51.7","28.2","20.5","28.2","43.8","37.5","45.5","47.7","41.2","41.2","11.8","60.0","45.7","62.9","42.9","34.3","76.5","82.4","82.4","76.5","58.8","93.5","39.1","50.0","712","5.3"
"043851","Deer Park Community City","Hamilton","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","38","3.1"
"043869","Defiance City","Defiance","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043877","Delaware City","Delaware","Region 11","LEP","--","--","81.8","72.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","58","1.1"
"043885","Delphos City","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"043893","Dover City","Tuscarawas","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","50.0","50.0","--","--","30.0","--","--","--","--","--",">95.0","--","--","114","4.2"
"043901","East Cleveland City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
