"District IRN","District Name","County","Region","Limited English Proficiency","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"044453","Newark City","Licking","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","32","0.5"
"044461","New Boston Local","Scioto","Region 15","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044479","New Lexington City","Perry","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044487","New Philadelphia City","Tuscarawas","Region 12","LEP","--","--","76.9","53.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","132","4.6"
"044495","Niles City","Trumbull","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044503","North Canton City","Stark","Region 9","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","51","1.1"
"044511","North College Hill City","Hamilton","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","20","1.2"
"044529","North Olmsted City","Cuyahoga","Region 3","LEP","87.5","62.5","70.8","37.5","58.6","55.2","31.0","75.0","62.5","64.0","52.0","69.2","69.2","19.2","84.6","61.5","84.6","76.9","38.5","94.7","89.5","89.5","89.5","68.4",">95.0","78.9","90.5","274","7.0"
"044537","North Ridgeville City","Lorain","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","37","1.0"
"044545","North Royalton City","Cuyahoga","Region 3","LEP",">95.0","85.7","94.7","94.7","75.0","93.8","87.5","75.0","75.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","166","3.7"
"044552","Norton City","Summit","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","21","0.8"
"044560","Norwalk City","Huron","Region 2","LEP","47.4","68.4","88.2","88.2","70.0","40.0","70.0","--","--",">95.0","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","135","4.6"
"044578","Norwood City","Hamilton","Region 13","LEP","61.5","76.9","90.9","63.6","--","--","--","--","--","--","--","83.3","58.3","33.3","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","107","5.6"
"044586","Oakwood City","Montgomery","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","15","0.7"
"044594","Oberlin City","Lorain","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","1.0"
"044602","Oregon City","Lucas","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","20","0.5"
"044610","Orrville City","Wayne","Region 9","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","71","4.5"
"044628","Painesville City Local","Lake","Region 4","LEP","57.7","46.4","63.2","49.1","56.2","55.2","41.9","50.5","36.6","37.7","45.3","41.9","46.5","9.3","54.3","37.0","58.7","39.1","26.1","72.7","66.7","66.7","75.8","42.4",">95.0","52.8","47.7","1016","33.6"
"044636","Parma City","Cuyahoga","Region 3","LEP","80.0","80.0","--","--","65.0","75.0","65.0","80.8","73.1","66.7","61.9","76.9","84.6","84.6","87.5","80.0","93.3","75.0","68.8","81.3","81.3","81.3","81.3","56.3","94.3","58.8","45.0","250","2.3"
"044644","Piqua City","Miami","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044651","Port Clinton City","Ottawa","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044669","Portsmouth City","Scioto","Region 15","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044677","Princeton City","Hamilton","Region 13","LEP","60.2","64.5","72.2","54.4","40.0","42.0","42.0","45.7","41.3","56.1","75.6","50.0","66.7","36.1","52.6","41.2","61.1","66.7","26.3","86.7","93.3","80.0","86.7","66.7",">95.0","75.0","84.2","892","17.5"
"044685","Ravenna City","Portage","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","16","0.6"
"044693","Reading Community City","Hamilton","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","14","0.8"
"044701","Rocky River City","Cuyahoga","Region 3","LEP","--","--","--","--","81.8","81.8","81.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","87","3.5"
"044719","St Bernard-Elmwood Place City","Hamilton","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","14","1.5"
"044727","St Marys City","Auglaize","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044735","Salem City","Columbiana","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.9","--","--","47","2.3"
"044743","Sandusky City","Erie","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","25","0.8"
"044750","Shaker Heights City","Cuyahoga","Region 3","LEP","94.1","88.9",">95.0","88.2","92.3","84.6","92.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","164","3.2"
"044768","Sheffield-Sheffield Lake City","Lorain","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044776","Shelby City","Richland","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044784","Sidney City","Shelby","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","70","2.0"
"044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","66","1.8"
"044800","South-Western City","Franklin","Region 11","LEP","63.5","67.4","70.7","63.7","55.6","57.2","39.4","68.8","65.8","66.7","51.0","66.3","68.1","37.3","73.4","54.8","71.0","61.3","46.0","69.1","57.7","68.0","70.1","50.5",">95.0","59.8","63.3","3086","15.6"
"044818","Springfield City","Clark","Region 10","LEP","80.0","60.0","71.4","42.9","61.1","50.0","66.7","81.8","54.5","70.0","60.0","70.0","40.0","30.0","--","--","--","--","--","--","--","--","--","--","94.9","--","--","217","2.9"
"044826","Steubenville City","Jefferson","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044834","Stow-Munroe Falls City","Summit","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","67","1.3"
"044842","Strongsville City","Cuyahoga","Region 3","LEP","84.0","80.0","87.5","83.3","72.7","81.8","59.1","73.3","73.3","--","--","63.6","54.5","36.4","70.0","80.0","50.0","80.0","50.0","--","--","--","--","--",">95.0","--","80.0","207","3.6"
"044859","Struthers City","Mahoning","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044867","Sycamore Community City","Hamilton","Region 13","LEP","91.7","91.7","93.1",">95.0","76.2",">95.0","90.5","90.0","75.0","76.9","84.6","66.7","83.3","41.7","--","--","--","--","--",">95.0",">95.0","92.3",">95.0",">95.0",">95.0",">95.0",">95.0","320","6.2"
"044875","Sylvania City","Lucas","Region 1","LEP","78.9","78.9","78.6","92.9","66.7","55.6","55.6","--","--","75.0","75.0","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","144","2.0"
"044883","Tallmadge City","Summit","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","36","1.5"
"044891","Tiffin City","Seneca","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044909","Toledo City","Lucas","Region 1","LEP","77.1","62.9","71.0","61.3","48.0","28.0","36.0","65.5","51.7","64.3","39.3","85.0","55.0","25.0","81.3","62.5","75.0","75.0","50.0","85.7","78.6","85.7","78.6","71.4",">95.0","54.5","70.4","424","2.0"
"044917","Toronto City","Jefferson","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044925","Troy City","Miami","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","82","1.9"
"044933","Upper Arlington City","Franklin","Region 11","LEP","--","--","--","--","--","--","--","91.7","90.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","94","1.7"
"044941","Urbana City","Champaign","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044958","Vandalia-Butler City","Montgomery","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","23","0.7"
"044966","Van Wert City","Van Wert","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044974","Wadsworth City","Medina","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","0.2"
"044982","Wapakoneta City","Auglaize","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"044990","Warren City","Trumbull","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.0","--","--","23","0.5"
"045005","Warrensville Heights City","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045013","Washington Court House City","Fayette","Region 14","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","17","0.8"
"045021","Wellston City","Jackson","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045039","Wellsville Local","Columbiana","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045047","Westerville City","Franklin","Region 11","LEP","79.3","74.4","81.4","65.5","61.0","54.5","50.6","77.0","73.8","78.4","67.0","72.8","70.4","34.6","76.3","69.7","75.0","73.7","60.5","76.4","72.7","72.7","70.9","53.7",">95.0","57.1","75.9","1447","10.4"
"045054","West Carrollton City","Montgomery","Region 10","LEP","69.6","82.6","76.5","82.4","36.4","81.8","63.6","54.5","72.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","140","3.8"
"045062","Westlake City","Cuyahoga","Region 3","LEP","80.0","76.7","78.8","78.8","68.0","68.0","36.0","85.7","64.3","77.8","72.2","75.0","75.0","41.7","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","257","6.9"
"045070","Whitehall City","Franklin","Region 11","LEP","79.6","73.5","79.2","85.4","43.8","43.8","46.8","79.1","79.1","66.7","40.7","75.0","54.2","33.3","76.9","53.8","76.9","61.5","46.2",">95.0",">95.0","90.9",">95.0","72.7",">95.0","57.9","68.8","502","16.4"
"045088","Wickliffe City","Lake","Region 4","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045096","Willard City","Huron","Region 7","LEP","--","--","75.0","75.0","33.3","50.0","38.9","81.0","76.2","53.8","38.5","84.6","76.9","69.2","50.0","50.0","40.0","60.0","50.0","--","--","--","--","--","95.0","--","--","201","12.4"
"045104","Willoughby-Eastlake City","Lake","Region 4","LEP",">95.0",">95.0",">95.0",">95.0","86.7","73.3","80.0","90.0","90.0","88.9","83.3","--","--","--","--","--","--","--","--","76.9","92.3","69.2","69.2","53.8",">95.0","92.9","--","167","2.1"
"045112","Wilmington City","Clinton","Region 14","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","39","1.3"
"045120","Wooster City","Wayne","Region 9","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","26","0.7"
"045138","Worthington City","Franklin","Region 11","LEP","74.0","68.0","72.7","61.8","55.8","57.7","44.2","70.6","61.8","64.9","52.8","66.7","74.2","27.6","87.5","66.7","79.2","66.7","62.5","83.3","61.1","72.2","77.8","61.1",">95.0","84.2","66.7","588","6.4"
"045146","Wyoming City","Hamilton","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","12","0.6"
"045153","Xenia Community City","Greene","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","28","0.7"
"045161","Youngstown City","Mahoning","Region 5","LEP","70.0","65.0","70.0","35.0","50.0","57.1","50.0","93.3","46.7","30.8","38.5","64.3","57.1","14.3","54.5","45.5","54.5","45.5","54.5","--","--","--","--","--","91.8","63.6","--","251","4.9"
"045179","Zanesville City","Muskingum","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045187","Ada Exempted Village","Hardin","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","17","1.9"
"045195","Amherst Exempted Village","Lorain","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","41","1.1"
"045203","Barnesville Exempted Village","Belmont","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045211","Bluffton Exempted Village","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045229","Bradford Exempted Village","Miami","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045237","Bridgeport Exempted Village","Belmont","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045245","Harrison Hills City","Harrison","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045252","Caldwell Exempted Village","Noble","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045260","Carey Exempted Village","Wyandot","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045278","Carrollton Exempted Village","Carroll","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045286","Chagrin Falls Exempted Village","Cuyahoga","Region 3","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","20","1.0"
"045294","Chesapeake Union Exempted Village","Lawrence","Region 15","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045302","Clyde-Green Springs Exempted Village","Sandusky","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045310","Coldwater Exempted Village","Mercer","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","10","0.7"
"045328","Columbiana Exempted Village","Columbiana","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045336","Covington Exempted Village","Miami","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045344","Crestline Exempted Village","Crawford","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045351","Crooksville Exempted Village","Perry","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045369","Fairport Harbor Exempted Village","Lake","Region 4","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045377","Georgetown Exempted Village","Brown","Region 14","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045385","Gibsonburg Exempted Village","Sandusky","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045393","Granville Exempted Village","Licking","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","45","1.9"
"045401","Greenfield Exempted Village","Highland","Region 14","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045419","Hicksville Exempted Village","Defiance","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045427","Hubbard Exempted Village","Trumbull","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045435","Indian Hill Exempted Village","Hamilton","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","17","0.9"
"045443","Leetonia Exempted Village","Columbiana","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045450","Lisbon Exempted Village","Columbiana","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045468","Loudonville-Perrysville Exempted Village","Ashland","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045476","Marysville Exempted Village","Union","Region 11","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","41","0.9"
"045484","Mechanicsburg Exempted Village","Champaign","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045492","Mentor Exempted Village","Lake","Region 4","LEP","85.7","64.3","68.8","68.8","73.9","78.3","78.3","73.3","73.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","94.1","--","180","2.3"
"045500","Milford Exempted Village","Clermont","Region 13","LEP","--","--",">95.0","83.3","90.0",">95.0","90.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","90","1.4"
"045518","Milton-Union Exempted Village","Miami","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045526","Montpelier Exempted Village","Williams","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045534","Mount Gilead Exempted Village","Morrow","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045542","Newcomerstown Exempted Village","Tuscarawas","Region 12","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045559","New Richmond Exempted Village","Clermont","Region 13","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045567","Newton Falls Exempted Village","Trumbull","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045575","Paulding Exempted Village","Paulding","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045583","Perrysburg Exempted Village","Wood","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","44","1.0"
"045591","Rittman Exempted Village","Wayne","Region 9","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045609","Rossford Exempted Village","Wood","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045617","Tipp City Exempted Village","Miami","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","38","1.6"
"045625","Upper Sandusky Exempted Village","Wyandot","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","32","2.0"
"045633","Versailles Exempted Village","Darke","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045641","Wauseon Exempted Village","Fulton","Region 1","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","54","2.9"
"045658","Wellington Exempted Village","Lorain","Region 2","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045666","Windham Exempted Village","Portage","Region 8","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045674","Yellow Springs Exempted Village","Greene","Region 10","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045757","Allen East Local","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045765","Bath Local","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","17","1.0"
"045773","Elida Local","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","15","0.6"
"045781","Perry Local","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045799","Shawnee Local","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045807","Spencerville Local","Allen","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045823","Hillsdale Local","Ashland","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045831","Mapleton Local","Ashland","Region 7","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045856","Buckeye Local","Ashtabula","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045864","Grand Valley Local","Ashtabula","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045872","Jefferson Area Local","Ashtabula","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045880","Pymatuning Valley Local","Ashtabula","Region 5","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045906","Alexander Local","Athens","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045914","Federal Hocking Local","Athens","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045922","Trimble Local","Athens","Region 16","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045948","Minster Local","Auglaize","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"045955","New Bremen Local","Auglaize","Region 6","LEP","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
