"District IRN","District Name","County","Region","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate"
"045955","New Bremen Local","Auglaize","Region 6","95.9","18","57","54737","57","100.0","43","76.1","100","277.0","277.0","100.0","277.0","0","0.0"
"045963","New Knoxville Local","Auglaize","Region 6","95.9","15","33","48979","32","98.5","25","76.3","95.2","200.0","210.0","99.5","209.0","0","0.0"
"045971","Waynesfield-Goshen Local","Auglaize","Region 6","96.5","18","40","50272","40","100.0","28","70.3","98.1","204.0","208.0","100.0","208.0","0","0.0"
"045997","St Clairsville-Richland City","Belmont","Region 12","94.2","15","100","49617","100","100.0","67","67.1","100","476.0","476.0","93.3","444.0","0","0.0"
"046003","Shadyside Local","Belmont","Region 12","95","18","46","48599","46","100.0","25","53.4","100","272.0","272.0","100.0","272.0","0","0.0"
"046011","Union Local","Belmont","Region 12","94.6","16","117","47415","117","100.0","82","70.0","97.9","411.0","420.0","100.0","420.0","0","0.0"
"046037","Eastern Local","Brown","Region 14","95.7","19","72","52521","72","100.0","50","69.8","99.4","338.0","340.0","99.1","337.0","0","0.0"
"046045","Fayetteville-Perry Local","Brown","Region 14","94.5","16","53","49681","53","100.0","28","53.3","100","315.0","315.0","100.0","315.0","0","0.0"
"046060","Western Brown Local","Brown","Region 14","94.1","16","154","57646","154","100.0","123","79.9","99.1","638.0","644.0","100.0","644.0","0","0.0"
"046078","Ripley-Union-Lewis-Huntington Local","Brown","Region 14","95.9","11","71","46469","69","97.2","42","59.2","98.1","257.0","262.0","100.0","262.0","0","0.0"
"046094","Edgewood City","Butler","Region 13","94.9","12","207","52187","207","100.0","157","75.8","99.3","1187.0","1195.0","100.0","1195.0","0","0.0"
"046102","Fairfield City","Butler","Region 13","95","14","515","52783","514","99.8","363","70.4","99.5","2030.0","2041.0","99.7","2035.0","0","0.0"
"046110","Lakota Local","Butler","Region 13","95.8","14","789","63349","789","100.0","620","78.6","100","4385.0","4386.0","100.0","4386.0","0","0.0"
"046128","Madison Local","Butler","Region 13","96.3","15","86","52478","86","100.0","50","57.8","100","463.0","463.0","100.0","463.0","0","0.0"
"046136","New Miami Local","Butler","Region 13","96.8","9","59","42656","59","100.0","37","62.6","100","312.0","312.0","100.0","312.0","0","0.0"
"046144","Ross Local","Butler","Region 13","97.1","12","153","50926","153","100.0","98","64.3","100","759.0","759.0","100.0","759.0","0","0.0"
"046151","Talawanda City","Butler","Region 13","95","13","188","59032","188","100.0","122","64.7","100","1104.0","1104.0","100.0","1104.0","0","0.0"
"046177","Brown Local","Carroll","Region 12","97.3","13","49","42126","49","100.0","14","28.9","97.7","217.0","222.0","95.9","213.0","0","0.0"
"046193","Graham Local","Champaign","Region 6","96.2","15","103","51721","103","100.0","70","67.2","98.2","543.0","553.0","99.3","549.0","0","0.0"
"046201","Triad Local","Champaign","Region 6","96.5","15","63","49379","63","100.0","38","60.2","99.2","258.0","260.0","100.0","260.0","0","0.0"
"046219","West Liberty-Salem Local","Champaign","Region 6","95.4","14","84","48066","84","100.0","51","60.6","100","362.0","362.0","100.0","362.0","0","0.0"
"046235","Greenon Local","Clark","Region 10","95.3","12","101","53997","101","100.0","71","70.4","100","490.0","490.0","100.0","490.0","0","0.0"
"046243","Tecumseh Local","Clark","Region 10","94.5","15","169","56030","168","99.4","136","80.5","99.9","867.0","868.0","100.0","868.0","0","0.0"
"046250","Northeastern Local","Clark","Region 10","95.5","12","219","51483","219","100.0","129","58.8","100","862.0","862.0","100.0","862.0","0","0.0"
"046268","Northwestern Local","Clark","Region 10","96.5","17","96","54778","96","100.0","65","67.3","100","508.0","508.0","100.0","508.0","0","0.0"
"046276","Southeastern Local","Clark","Region 10","96.5","15","56","50999","56","100.0","36","64.1","99.6","277.0","278.0","100.0","278.0","0","0.0"
"046284","Clark-Shawnee Local","Clark","Region 10","95.9","18","115","62609","115","100.0","90","78.3","100","638.0","638.0","100.0","638.0","0","0.0"
"046300","Batavia Local","Clermont","Region 13","95.3","13","148","55256","148","100.0","100","67.8","100","565.0","565.0","100.0","565.0","0","0.0"
"046318","Bethel-Tate Local","Clermont","Region 13","95.7","17","103","53140","103","100.0","77","74.6","100","558.0","558.0","100.0","558.0","0","0.0"
"046326","Clermont Northeastern Local","Clermont","Region 13","95.5","14","87","52972","87","100.0","60","68.6","100","442.0","442.0","100.0","442.0","0","0.0"
"046334","Felicity-Franklin Local","Clermont","Region 13","96.3","15","64","51679","64","100.0","35","54.9","100","250.0","250.0","100.0","250.0","0","0.0"
"046342","Goshen Local","Clermont","Region 13","95.2","11","158","52832","158","100.0","109","68.9","100","750.0","750.0","100.0","750.0","0","0.0"
"046359","West Clermont Local","Clermont","Region 13","96.1","14","412","58360","412","100.0","330","80.0","99.9","1805.0","1806.0","100.0","1806.0","0","0.0"
"046367","Williamsburg Local","Clermont","Region 13","96.3","17","60","55533","60","100.0","48","80.2","100","288.0","288.0","100.0","288.0","0","0.0"
"046383","Blanchester Local","Clinton","Region 14","96.6","11","98","45973","98","100.0","58","59.2","99.5","427.0","429.0","100.0","429.0","0","0.0"
"046391","Clinton-Massie Local","Clinton","Region 14","94.5","14","108","51941","108","100.0","74","68.5","99.8","470.0","471.0","94.7","446.0","0","0.0"
"046409","East Clinton Local","Clinton","Region 14","96.6","13","88","47326","88","100.0","63","72.2","99.8","423.0","424.0","100.0","424.0","0","0.0"
"046425","Beaver Local","Columbiana","Region 5","94.2","14","122","51836","122","99.8","92","75.2","100","522.0","522.0","100.0","522.0","0","0.0"
"046433","Crestview Local","Columbiana","Region 5","95.5","14","74","47731","74","99.7","46","62.6","100","328.0","328.0","100.0","328.0","0","0.0"
"046441","Southern Local","Columbiana","Region 5","96","12","63","38607","62","98.9","30","48.4","100","290.0","290.0","100.0","290.0","0","0.0"
"046458","United Local","Columbiana","Region 5","95.3","14","87","47010","87","99.7","51","59.0","100","479.0","479.0","100.0","479.0","0","0.0"
"046474","Ridgewood Local","Coshocton","Region 12","97","15","70","49784","70","100.0","44","63.0","100","309.0","309.0","100.0","309.0","0","0.0"
"046482","River View Local","Coshocton","Region 12","95.1","13","144","48567","144","100.0","95","66.3","100","571.0","571.0","100.0","571.0","0","0.0"
"046508","Buckeye Central Local","Crawford","Region 7","95","12","53","47919","53","100.0","36","68.1","97.4","222.0","228.0","100.0","228.0","0","0.0"
"046516","Colonel Crawford Local","Crawford","Region 7","94.8","19","72","47321","71","98.6","32","44.5","99.1","345.0","348.0","99.1","345.0","0","0.0"
"046524","Wynford Local","Crawford","Region 7","94.7","15","66","49899","66","100.0","41","62.2","99.1","430.0","434.0","98.6","428.0","0","0.0"
"046557","Cuyahoga Heights Local","Cuyahoga","Region 3","96.5","25","55","73227","55","100.0","41","74.7","100","235.0","235.0","100.0","235.0","0","0.0"
"046565","Independence Local","Cuyahoga","Region 3","95.7","13","76","70022","76","100.0","62","82.2","95.5","466.0","488.0","100.0","488.0","0","0.0"
"046573","Olmsted Falls City","Cuyahoga","Region 3","97.1","12","206","64736","206","100.0","168","81.7","99.9","1182.0","1183.0","99.8","1181.0","0","0.0"
"046581","Orange City","Cuyahoga","Region 3","94.7","9","183","79861","177","96.9","124","67.9","99.4","769.0","774.0","100.0","774.0","0","0.0"
"046599","Richmond Heights Local","Cuyahoga","Region 3","92","8","74","56654","71","96.0","36","48.6","100","357.0","357.0","100.0","357.0","0","0.0"
"046607","Solon City","Cuyahoga","Region 3","95.7","14","299","76272","299","100.0","253","84.5","100","915.0","915.0","100.0","915.0","0","0.0"
"046623","Ansonia Local","Darke","Region 10","95.9","16","49","50434","48","97.9","36","73.4","99.1","229.0","231.0","100.0","231.0","0","0.0"
"046631","Arcanum-Butler Local","Darke","Region 10","92.9","16","64","53386","64","100.0","47","73.4","100","355.0","355.0","99.7","354.0","0","0.0"
"046649","Franklin Monroe Local","Darke","Region 10","94.4","16","40","50136","40","100.0","29","72.4","100","217.0","217.0","100.0","217.0","0","0.0"
"046672","Mississinawa Valley Local","Darke","Region 10","94.7","15","47","53603","47","100.0","30","65.2","96.8","209.0","216.0","98.6","213.0","0","0.0"
"046680","Tri-Village Local","Darke","Region 10","95.1","14","53","45924","53","100.0","39","73.7","98.9","277.0","280.0","100.0","280.0","0","0.0"
"046706","Ayersville Local","Defiance","Region 1","96.6","20","55","53613","55","100.0","40","73.5","100","342.0","342.0","100.0","342.0","0","0.0"
"046714","Central Local","Defiance","Region 1","93.1","14","72","52671","72","100.0","43","60.6","100","410.0","410.0","100.0","410.0","0","0.0"
"046722","Northeastern Local","Defiance","Region 1","95.6","18","72","52513","72","100.0","48","66.9","97","424.0","437.0","100.0","437.0","0","0.0"
"046748","Big Walnut Local","Delaware","Region 11","93.7","14","176","59137","176","100.0","116","65.8","100","756.0","756.0","100.0","756.0","0","0.0"
"046755","Buckeye Valley Local","Delaware","Region 11","95.4","12","151","52723","151","100.0","87","57.9","100","739.0","739.0","99.7","737.0","0","0.0"
"046763","Olentangy Local","Delaware","Region 11","95.9","11","1019","63307","1019","100.0","794","77.9","99.9","5080.0","5085.0","100.0","5085.0","0","0.0"
"046789","Berlin-Milan Local","Erie","Region 2","95.2","22","93","61241","93","100.0","70","75.9","99.8","576.0","577.0","100.0","577.0","0","0.0"
"046805","Margaretta Local","Erie","Region 2","96.3","14","77","54651","77","100.0","57","74.4","99.7","297.0","298.0","100.0","298.0","0","0.0"
"046813","Perkins Local","Erie","Region 2","96.4","8","133","62138","133","100.0","96","72.4","99.1","660.0","666.0","99.7","664.0","0","0.0"
"046821","Vermilion Local","Erie","Region 2","95.1","13","116","55664","110","94.8","71","61.1","100","650.0","650.0","100.0","650.0","0","0.0"
"046847","Amanda-Clearcreek Local","Fairfield","Region 11","96.1","12","101","44979","101","100.0","53","52.5","100","415.0","415.0","100.0","415.0","0","0.0"
"046854","Berne Union Local","Fairfield","Region 11","96.7","10","55","46920","55","100.0","27","49.5","100","212.0","212.0","100.0","212.0","0","0.0"
"046862","Bloom-Carroll Local","Fairfield","Region 11","94.6","16","96","50950","96","100.0","48","50.4","100","501.0","501.0","100.0","501.0","0","0.0"
"046870","Fairfield Union Local","Fairfield","Region 11","96.3","20","101","58457","101","100.0","70","69.3","99.1","552.0","557.0","99.1","552.0","0","0.0"
"046888","Liberty Union-Thurston Local","Fairfield","Region 11","95.6","11","81","50163","81","100.0","56","68.5","99.7","376.0","377.0","100.0","377.0","0","0.0"
"046896","Pickerington Local","Fairfield","Region 11","94.4","13","515","65546","515","100.0","416","80.7","99.9","2105.0","2108.0","99.7","2101.0","0","0.0"
"046904","Walnut Township Local","Fairfield","Region 11","94.7","11","43","54710","43","100.0","27","62.9","100","204.0","204.0","100.0","204.0","0","0.0"
"046920","Miami Trace Local","Fayette","Region 14","96.2","12","154","48236","154","100.0","105","68.1","99.8","834.0","836.0","100.0","836.0","0","0.0"
"046946","Canal Winchester Local","Franklin","Region 11","93.9","13","207","56822","207","100.0","144","69.7","100","960.0","960.0","100.0","960.0","0","0.0"
"046953","Hamilton Local","Franklin","Region 11","95.6","8","156","60305","156","100.0","98","62.8","98.3","692.0","704.0","100.0","704.0","0","0.0"
"046961","Gahanna-Jefferson City","Franklin","Region 11","96","15","481","66447","479","99.6","361","75.1","100","2186.0","2187.0","100.0","2187.0","0","0.0"
"046979","Groveport Madison Local","Franklin","Region 11","93.3","9","369","53793","369","100.0","208","56.3","99.6","1341.0","1347.0","99.0","1334.0","0","0.0"
"046995","New Albany-Plain Local","Franklin","Region 11","95.5","13","288","67699","288","100.0","209","72.5","100","1290.0","1290.0","100.0","1290.0","0","0.0"
"047001","Reynoldsburg City","Franklin","Region 11","95.9","13","321","58924","320","99.7","234","72.8","97.5","1211.0","1242.0","99.5","1236.0","0","0.0"
"047019","Hilliard City","Franklin","Region 11","95.1","16","878","71083","876","99.8","622","70.8","100","4567.0","4567.0","99.9","4564.0","0","0.0"
"047027","Dublin City","Franklin","Region 11","94.1","12","923","73190","913","98.9","637","69.0","99.4","4771.0","4800.0","100.0","4798.0","0","0.0"
"047043","Archbold-Area Local","Fulton","Region 1","96.3","21","79","55236","79","100.0","64","81.1","99.8","484.0","485.0","100.0","485.0","0","0.0"
"047050","Evergreen Local","Fulton","Region 1","96.6","16","96","50878","96","100.0","50","52.0","100","419.0","419.0","100.0","419.0","0","0.0"
"047068","Fayette Local","Fulton","Region 1","96.1","18","31","49396","31","100.0","27","87.9","100","139.0","139.0","100.0","139.0","0","0.0"
"047076","Pettisville Local","Fulton","Region 1","97.4","24","34","54084","34","100.0","18","52.4","98.1","258.0","263.0","100.0","263.0","0","0.0"
"047084","Pike-Delta-York Local","Fulton","Region 1","95.3","22","82","51586","82","100.0","60","72.7","100","470.0","470.0","100.0","470.0","0","0.0"
"047092","Swanton Local","Fulton","Region 1","96.2","19","79","51518","79","100.0","49","61.9","100","402.0","402.0","100.0","402.0","0","0.0"
"047167","Berkshire Local","Geauga","Region 4","95.2","15","72","51505","72","100.0","35","48.7","96.5","279.0","289.0","100.0","289.0","0","0.0"
"047175","Cardinal Local","Geauga","Region 4","95.4","16","76","56440","76","100.0","55","72.6","100","447.0","447.0","100.0","447.0","0","0.0"
"047183","Chardon Local","Geauga","Region 4","96.1","14","178","56370","178","100.0","142","79.9","100","734.0","734.0","99.3","729.0","0","0.0"
"047191","Kenston Local","Geauga","Region 4","95.4","14","195","66069","195","100.0","156","80.1","99.3","967.0","974.0","100.0","974.0","0","0.0"
"047209","Ledgemont Local","Geauga","Region 4","96.6","15","37","36791","37","100.0","15","41.1","94.3","116.0","123.0","98.4","121.0","0","0.0"
"047217","Newbury Local","Geauga","Region 4","94.8","14","43","51727","43","100.0","27","63.4","98.9","182.0","184.0","100.0","184.0","0","0.0"
"047225","West Geauga Local","Geauga","Region 4","96.1","12","128","61824","128","99.9","97","75.2","100","637.0","637.0","99.4","633.0","0","0.0"
"047241","Beavercreek City","Greene","Region 10","95.4","15","402","63174","401","99.8","321","79.9","98.9","1896.0","1918.0","98.4","1887.0","0","0.0"
"047258","Cedar Cliff Local","Greene","Region 10","96.2","17","37","50903","37","100.0","27","72.0","100","186.0","186.0","100.0","186.0","0","0.0"
"047266","Greeneview Local","Greene","Region 10","96.3","15","79","48951","79","100.0","47","59.3","100","441.0","441.0","100.0","441.0","0","0.0"
"047274","Bellbrook-Sugarcreek Local","Greene","Region 10","95.8","19","134","62052","134","100.0","104","77.6","99.8","649.0","650.0","100.0","650.0","0","0.0"
"047308","Rolling Hills Local","Guernsey","Region 12","92.5","14","107","49963","106","99.1","68","63.4","100","576.0","576.0","100.0","576.0","0","0.0"
"047332","Finneytown Local","Hamilton","Region 13","96.2","15","91","61411","90","98.9","67","73.7","99.2","369.0","372.0","100.0","372.0","0","0.0"
"047340","Forest Hills Local","Hamilton","Region 13","96.4","15","428","64130","428","100.0","325","75.8","100","2106.0","2106.0","99.3","2091.0","0","0.0"
"047365","Northwest Local","Hamilton","Region 13","94","15","482","54684","482","100.0","352","72.9","98.8","2197.0","2224.0","99.7","2217.0","0","0.0"
"047373","Oak Hills Local","Hamilton","Region 13","94.2","9","484","61811","483","99.8","331","68.2","99.9","2541.0","2544.0","100.0","2544.0","0","0.0"
"047381","Southwest Local","Hamilton","Region 13","96.9","17","175","69537","175","100.0","137","78.1","99.9","786.0","787.0","100.0","787.0","0","0.0"
"047399","Three Rivers Local","Hamilton","Region 13","96","13","109","60154","109","100.0","62","57.1","100","719.0","719.0","100.0","719.0","0","0.0"
"047415","Arcadia Local","Hancock","Region 1","95.9","13","35","50071","35","100.0","19","55.6","100","169.0","169.0","100.0","169.0","0","0.0"
"047423","Arlington Local","Hancock","Region 1","96.9","20","44","48615","44","100.0","36","81.4","100","235.0","235.0","100.0","235.0","0","0.0"
"047431","Cory-Rawson Local","Hancock","Region 1","96","15","44","52280","44","100.0","31","71.1","100","211.0","211.0","100.0","211.0","0","0.0"
"047449","Liberty-Benton Local","Hancock","Region 1","95.4","12","87","51427","87","100.0","57","64.7","99.6","449.0","451.0","100.0","451.0","0","0.0"
"047456","McComb Local","Hancock","Region 1","93.6","14","53","49026","53","100.0","37","69.2","98.4","250.0","254.0","100.0","254.0","0","0.0"
"047464","Van Buren Local","Hancock","Region 1","95.8","14","67","52944","67","100.0","50","73.6","94.4","337.0","357.0","100.0","357.0","0","0.0"
"047472","Vanlue Local","Hancock","Region 1","97.3","8","21","39683","21","100.0","12","59.3","100","102.0","102.0","100.0","102.0","0","0.0"
"047498","Hardin Northern Local","Hardin","Region 6","95.7","14","36","45610","36","100.0","15","43.3","99.4","174.0","175.0","100.0","175.0","0","0.0"
"047506","Ridgemont Local","Hardin","Region 6","95.3","6","49","38883","46","92.9","19","39.2","100","212.0","212.0","100.0","212.0","0","0.0"
"047514","Riverdale Local","Hardin","Region 6","93.9","19","75","39146","75","100.0","44","58.4","94.1","350.0","372.0","100.0","372.0","0","0.0"
"047522","Upper Scioto Valley Local","Hardin","Region 6","94.3","13","37","43729","36","97.3","16","41.9","91.5","182.0","199.0","100.0","199.0","0","0.0"
"047548","Conotton Valley Union Local","Harrison","Region 12","96.4","13","34","40659","34","100.0","15","43.0","100","152.0","152.0","100.0","152.0","0","0.0"
"047571","Holgate Local","Henry","Region 1","94.6","11","41","49050","41","100.0","19","46.3","94.3","197.0","209.0","100.0","209.0","0","0.0"
"047589","Liberty Center Local","Henry","Region 1","96.3","16","71","57454","71","100.0","52","73.4","99.1","449.0","453.0","100.0","453.0","0","0.0"
"047597","Patrick Henry Local","Henry","Region 1","95.2","10","70","51564","69","98.6","50","71.3","99.3","449.0","452.0","100.0","452.0","0","0.0"
"047613","Bright Local","Highland","Region 14","95.5","13","51","47031","51","100.0","36","71.4","95.9","210.0","219.0","97.3","213.0","0","0.0"
"047621","Fairfield Local","Highland","Region 14","95.6","13","52","47184","52","100.0","34","65.1","100","289.0","289.0","100.0","289.0","0","0.0"
"047639","Lynchburg-Clay Local","Highland","Region 14","96.5","12","94","45785","94","100.0","71","75.5","96.7","404.0","418.0","97.6","408.0","0","0.0"
"047688","East Holmes Local","Holmes","Region 12","95.4","17","112","53890","111","99.1","74","65.8","100","764.0","764.0","100.0","764.0","0","0.0"
"047696","West Holmes Local","Holmes","Region 9","96.2","11","148","55774","148","100.0","100","67.5","100","688.0","688.0","100.0","688.0","0","0.0"
"047712","Monroeville Local","Huron","Region 2","95.5","15","44","48496","44","100.0","31","71.6","100","242.0","242.0","98.8","239.0","0","0.0"
"047720","New London Local","Huron","Region 2","94.9","13","67","50871","67","100.0","32","48.2","100","343.0","343.0","100.0","343.0","0","0.0"
"047738","South Central Local","Huron","Region 2","96.1","18","56","51514","56","100.0","35","62.3","99.6","267.0","268.0","100.0","268.0","0","0.0"
"047746","Western Reserve Local","Huron","Region 2","93","15","75","55043","75","100.0","46","61.4","100","376.0","376.0","100.0","376.0","0","0.0"
"047761","Oak Hill Union Local","Jackson","Region 16","95.1","13","93","48323","93","100.0","70","75.0","100","360.0","360.0","100.0","360.0","0","0.0"
"047787","Buckeye Local","Jefferson","Region 12","94.7","12","164","40351","163","99.2","86","52.4","98.6","644.0","653.0","100.0","653.0","0","0.0"
"047795","Edison Local","Jefferson","Region 12","94.6","21","96","47172","96","100.0","72","75.4","99.6","444.0","446.0","100.0","446.0","0","0.0"
"047803","Indian Creek Local","Jefferson","Region 12","94.6","19","136","39343","136","100.0","93","68.4","93","740.0","796.0","98.1","781.0","0","0.0"
"047829","Centerburg Local","Knox","Region 7","95.8","16","62","50276","62","100.0","26","41.3","100","329.0","329.0","100.0","329.0","0","0.0"
"047837","Danville Local","Knox","Region 7","94.7","15","66","42179","66","100.0","31","47.0","99.7","311.0","312.0","100.0","312.0","0","0.0"
"047845","East Knox Local","Knox","Region 7","96.2","14","78","43648","78","100.0","41","53.1","100","381.0","381.0","100.0","381.0","0","0.0"
"047852","Fredericktown Local","Knox","Region 7","95.3","15","67","49468","67","100.0","42","62.3","100","383.0","383.0","97.7","374.0","0","0.0"
"047878","Kirtland Local","Lake","Region 4","96.7","12","84","65471","84","100.0","70","83.4","100","314.0","314.0","100.0","314.0","0","0.0"
"047886","Madison Local","Lake","Region 4","96.1","14","174","60808","174","100.0","133","76.1","99.6","842.0","845.0","99.5","841.0","0","0.0"
"047894","Riverside Local","Lake","Region 4","95","14","232","57750","232","100.0","179","77.4","100","1480.0","1480.0","100.0","1480.0","0","0.0"
"047902","Perry Local","Lake","Region 4","94.8","14","114","69419","114","100.0","72","63.2","99.6","488.0","490.0","99.8","489.0","0","0.0"
"047928","Dawson-Bryant Local","Lawrence","Region 15","94.4","14","91","46036","91","100.0","33","36.7","99.3","293.0","295.0","100.0","295.0","0","0.0"
"047936","Fairland Local","Lawrence","Region 15","95","10","99","49736","99","100.0","39","39.4","99.2","470.0","474.0","100.0","474.0","0","0.0"
"047944","Rock Hill Local","Lawrence","Region 15","94.4","14","110","50293","110","100.0","48","43.3","99.8","589.0","590.0","100.0","590.0","0","0.0"
"047951","South Point Local","Lawrence","Region 15","94.7","12","106","51904","106","100.0","40","37.4","99.2","500.0","504.0","100.0","504.0","0","0.0"
"047969","Symmes Valley Local","Lawrence","Region 15","95.7","14","57","48976","57","100.0","11","19.0","98.8","256.0","259.0","100.0","259.0","0","0.0"
"047985","Johnstown-Monroe Local","Licking","Region 11","95.6","10","104","44530","104","100.0","78","75.2","100","662.0","662.0","100.0","662.0","0","0.0"
"047993","Lakewood Local","Licking","Region 11","95.1","15","154","47455","154","100.0","102","66.2","100","715.0","715.0","100.0","715.0","0","0.0"
"048009","Licking Heights Local","Licking","Region 11","95.2","9","206","48017","206","100.0","99","47.9","99.7","1030.0","1033.0","99.7","1030.0","0","0.0"
"048017","Licking Valley Local","Licking","Region 11","96.5","15","122","52721","122","100.0","74","60.9","97.8","541.0","553.0","98.0","542.0","0","0.0"
"048025","North Fork Local","Licking","Region 11","94.7","14","102","49899","102","100.0","64","63.2","100","555.0","555.0","100.0","555.0","0","0.0"
"048033","Northridge Local","Licking","Region 11","94.4","15","71","44154","71","100.0","47","65.5","98.7","473.0","479.0","98.7","473.0","0","0.0"
"048041","Southwest Licking Local","Licking","Region 11","94.8","14","245","54250","245","100.0","182","74.3","100","1043.0","1043.0","100.0","1043.0","0","0.0"
"048074","Benjamin Logan Local","Logan","Region 6","95.8","19","111","52090","111","100.0","85","76.3","100","428.0","428.0","100.0","428.0","0","0.0"
"048082","Indian Lake Local","Logan","Region 6","95.5","18","111","50437","111","100.0","85","76.5","99.5","429.0","431.0","99.5","429.0","0","0.0"
"048090","Riverside Local","Logan","Region 6","96.6","19","55","42139","55","100.0","32","58.2","99.7","308.0","309.0","100.0","309.0","0","0.0"
"048116","Avon Local","Lorain","Region 2","95.2","4","213","52833","213","100.0","118","55.4","99.6","1012.0","1016.0","100.0","1016.0","0","0.0"
"048124","Avon Lake City","Lorain","Region 2","95.8","17","219","63195","219","100.0","186","85.1","99.7","1184.0","1187.0","100.0","1187.0","0","0.0"
"048132","Clearview Local","Lorain","Region 2","95","10","94","58904","94","100.0","52","55.9","100","493.0","493.0","100.0","493.0","0","0.0"
"048140","Columbia Local","Lorain","Region 2","95.2","12","63","51150","63","100.0","32","50.7","100","316.0","316.0","100.0","316.0","0","0.0"
"048157","Firelands Local","Lorain","Region 2","96.6","17","96","61431","96","100.0","66","68.5","96.6","563.0","583.0","100.0","583.0","0","0.0"
"048165","Keystone Local","Lorain","Region 2","94.4","7","98","56583","98","100.0","56","57.2","100","573.0","573.0","100.0","573.0","0","0.0"
"048173","Midview Local","Lorain","Region 2","94.7","16","203","58016","203","100.0","142","70.0","100","954.0","954.0","100.0","954.0","0","0.0"
"048207","Anthony Wayne Local","Lucas","Region 1","96.3","12","211","59375","211","100.0","151","71.9","99.2","1341.0","1352.0","98.0","1325.0","0","0.0"
"048215","Ottawa Hills Local","Lucas","Region 1","96","19","69","68989","69","100.0","56","81.1","99.6","485.0","487.0","99.2","483.0","0","0.0"
"048223","Springfield Local","Lucas","Region 1","95.5","14","226","61362","225","99.6","161","71.3","100","1030.0","1030.0","99.6","1026.0","0","0.0"
"048231","Washington Local","Lucas","Region 1","96","15","450","64094","446","99.1","334","74.2","99.8","1802.0","1805.0","99.7","1800.0","0","0.0"
"048256","Jefferson Local","Madison","Region 11","96.9","13","74","56331","74","100.0","44","59.8","99.5","381.0","383.0","100.0","383.0","0","0.0"
"048264","Jonathan Alder Local","Madison","Region 11","95.4","8","121","55661","120","99.2","91","75.0","100","479.0","479.0","100.0","479.0","0","0.0"
"048272","Madison-Plains Local","Madison","Region 11","92.9","12","86","48674","85","98.8","59","69.0","98.7","380.0","385.0","99.7","384.0","0","0.0"
"048298","Austintown Local","Mahoning","Region 5","94.1","7","309","48476","308","99.6","197","63.8","99.8","1201.0","1203.0","98.2","1181.0","0","0.0"
"048306","Boardman Local","Mahoning","Region 5","94.5","15","272","54181","272","100.0","191","70.3","100","1350.0","1350.0","100.0","1350.0","0","0.0"
"048314","Canfield Local","Mahoning","Region 5","95.7","17","167","60375","167","100.0","139","82.9","100","818.0","818.0","99.6","815.0","0","0.0"
"048322","Jackson-Milton Local","Mahoning","Region 5","96.7","14","63","47296","63","100.0","28","43.7","98.3","237.0","241.0","98.8","238.0","0","0.0"
"048330","Lowellville Local","Mahoning","Region 5","96.7","10","51","43788","51","100.0","10","19.0","99.6","227.0","228.0","100.0","228.0","0","0.0"
"048348","Poland Local","Mahoning","Region 5","95.2","15","130","54388","130","100.0","79","60.5","100","562.0","562.0","98.6","554.0","0","0.0"
"048355","Sebring Local","Mahoning","Region 5","97.1","14","60","41430","60","100.0","39","64.1","100","225.0","225.0","100.0","225.0","0","0.0"
"048363","South Range Local","Mahoning","Region 5","94.7","18","74","56191","74","100.0","63","84.7","98.1","314.0","320.0","100.0","320.0","0","0.0"
"048371","Springfield Local","Mahoning","Region 5","96.6","13","73","51642","73","100.0","38","52.4","100","302.0","302.0","99.7","301.0","0","0.0"
"048389","West Branch Local","Mahoning","Region 5","96.5","17","166","48178","166","100.0","118","71.0","100","535.0","535.0","100.0","535.0","0","0.0"
"048397","Western Reserve Local","Mahoning","Region 5","97.2","16","52","49604","52","100.0","33","63.8","100","225.0","225.0","100.0","225.0","0","0.0"
"048413","Elgin Local","Marion","Region 7","95.8","16","87","49971","87","100.0","52","59.8","99.7","381.0","382.0","100.0","382.0","0","0.0"
"048421","Pleasant Local","Marion","Region 7","96.3","13","88","50067","88","100.0","43","48.9","100","601.0","601.0","100.0","601.0","0","0.0"
"048439","Ridgedale Local","Marion","Region 7","94.7","19","55","45729","55","100.0","28","50.5","91.6","284.0","310.0","99.0","307.0","0","0.0"
"048447","River Valley Local","Marion","Region 7","95.9","11","111","50214","111","100.0","73","65.8","99.5","576.0","579.0","100.0","579.0","0","0.0"
"048462","Black River Local","Medina","Region 7","94.8","14","83","55191","83","100.0","65","77.7","96.5","304.0","315.0","99.4","313.0","0","0.0"
"048470","Buckeye Local","Medina","Region 8","95.7","17","118","56053","118","100.0","83","70.1","100","574.0","574.0","100.0","574.0","0","0.0"
"048488","Cloverleaf Local","Medina","Region 8","93.5","13","148","60142","148","100.0","102","68.7","100","946.0","946.0","100.0","946.0","0","0.0"
