"District IRN","District Name","County","Region","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate"
"044487","New Philadelphia City","Tuscarawas","Region 12","95.7","13","208","50861","208","100.0","139","66.6","99.7","1071.0","1074.0","100.0","1074.0","0","0.0"
"044495","Niles City","Trumbull","Region 5","94.7","16","166","48547","166","100.0","55","33.1","100","765.0","765.0","100.0","765.0","0","0.0"
"044503","North Canton City","Stark","Region 9","96.4","14","315","56108","315","100.0","177","56.2","100","1281.0","1281.0","100.0","1281.0","0","0.0"
"044511","North College Hill City","Hamilton","Region 13","96.4","10","96","52724","96","100.0","49","50.8","99.8","414.0","415.0","100.0","415.0","0","0.0"
"044529","North Olmsted City","Cuyahoga","Region 3","94.1","15","229","71403","229","100.0","196","85.5","100","1307.0","1307.0","100.0","1307.0","0","0.0"
"044537","North Ridgeville City","Lorain","Region 2","95.8","12","234","50583","234","100.0","134","57.5","99.6","1017.0","1021.0","100.0","1021.0","0","0.0"
"044545","North Royalton City","Cuyahoga","Region 3","95.3","10","246","69220","246","100.0","131","53.0","100","1160.0","1160.0","100.0","1160.0","0","0.0"
"044552","Norton City","Summit","Region 8","95.7","12","153","52199","152","99.3","78","51.0","100","805.0","805.0","100.0","805.0","0","0.0"
"044560","Norwalk City","Huron","Region 2","94.8","14","164","55919","163","99.4","93","56.5","100","934.0","934.0","100.0","934.0","0","0.0"
"044578","Norwood City","Hamilton","Region 13","96.6","12","147","55305","147","100.0","84","57.2","100","737.0","737.0","99.3","732.0","0","0.0"
"044586","Oakwood City","Montgomery","Region 10","96.2","13","146","68046","146","100.0","121","82.9","100","851.0","851.0","100.0","851.0","0","0.0"
"044594","Oberlin City","Lorain","Region 2","95.5","11","78","55218","78","100.0","39","50.6","100","403.0","403.0","98.5","397.0","0","0.0"
"044602","Oregon City","Lucas","Region 1","94.7","13","212","62610","210","99.3","147","69.2","96.8","1446.0","1494.0","100.0","1494.0","0","0.0"
"044610","Orrville City","Wayne","Region 9","96.3","16","95","54038","95","100.0","69","73.4","100","512.0","512.0","100.0","512.0","0","0.0"
"044628","Painesville City Local","Lake","Region 4","94.4","11","182","57874","182","100.0","115","62.9","99.6","823.0","826.0","100.0","826.0","0","0.0"
"044636","Parma City","Cuyahoga","Region 3","94.6","12","827","59553","823","99.5","559","67.6","99.7","3319.0","3330.0","100.0","3330.0","0","0.0"
"044644","Piqua City","Miami","Region 10","95.5","12","196","53152","196","100.0","151","77.1","99.7","1222.0","1226.0","100.0","1226.0","0","0.0"
"044651","Port Clinton City","Ottawa","Region 1","95.6","5","125","56640","124","99.2","66","53.1","99.8","525.0","526.0","100.0","526.0","0","0.0"
"044669","Portsmouth City","Scioto","Region 15","93.3","16","130","52779","130","100.0","89","68.4","97.5","735.0","754.0","100.0","754.0","0","0.0"
"044677","Princeton City","Hamilton","Region 13","95.5","12","373","64751","372","99.7","272","72.8","96.4","1706.0","1769.0","100.0","1769.0","0","0.0"
"044685","Ravenna City","Portage","Region 8","95.9","8","169","55924","169","100.0","117","69.3","98.4","684.0","695.0","100.0","695.0","0","0.0"
"044693","Reading Community City","Hamilton","Region 13","96.6","10","101","54997","101","100.0","77","76.9","99.7","617.0","619.0","100.0","619.0","0","0.0"
"044701","Rocky River City","Cuyahoga","Region 3","95.7","17","159","70512","159","100.0","122","76.9","100","741.0","741.0","100.0","741.0","0","0.0"
"044719","St Bernard-Elmwood Place City","Hamilton","Region 13","96.6","13","76","64425","76","100.0","36","46.6","100","387.0","387.0","99.0","383.0","0","0.0"
"044727","St Marys City","Auglaize","Region 6","96.5","17","126","55562","126","100.0","103","81.5","99.5","658.0","661.0","99.5","658.0","0","0.0"
"044735","Salem City","Columbiana","Region 5","95.3","14","126","51163","125","99.2","82","65.4","100","660.0","660.0","100.0","660.0","0","0.0"
"044743","Sandusky City","Erie","Region 2","96.3","19","244","66085","243","99.8","172","70.5","98.9","1332.0","1347.0","100.0","1347.0","0","0.0"
"044750","Shaker Heights City","Cuyahoga","Region 3","96","12","368","73446","367","99.7","289","78.5","99.9","2007.0","2009.0","100.0","2009.0","0","0.0"
"044768","Sheffield-Sheffield Lake City","Lorain","Region 2","94.2","9","122","50502","122","100.0","85","69.8","97","573.0","591.0","100.0","591.0","0","0.0"
"044776","Shelby City","Richland","Region 7","96.3","15","120","51032","120","100.0","80","67.0","99.4","469.0","472.0","100.0","472.0","0","0.0"
"044784","Sidney City","Shelby","Region 6","96.2","15","193","53401","193","100.0","151","78.2","100","783.0","783.0","100.0","783.0","0","0.0"
"044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","94.3","13","264","70843","262","99.2","217","81.9","97.9","1133.0","1157.0","99.9","1156.0","0","0.0"
"044800","South-Western City","Franklin","Region 11","94.7","13","1264","61847","1263","99.9","871","68.9","99.5","5178.0","5203.0","99.6","5182.0","0","0.0"
"044818","Springfield City","Clark","Region 10","95.9","14","473","53830","472","99.8","289","61.1","98.1","3036.0","3094.0","100.0","3093.0","0","0.0"
"044826","Steubenville City","Jefferson","Region 12","96.9","16","163","42172","162","99.4","100","61.2","94.1","735.0","781.0","100.0","781.0","0","0.0"
"044834","Stow-Munroe Falls City","Summit","Region 8","95.2","16","307","64413","307","100.0","135","44.0","97.6","1505.0","1542.0","100.0","1542.0","0","0.0"
"044842","Strongsville City","Cuyahoga","Region 3","95.2","7","375","67559","373","99.5","290","77.3","100","1888.0","1888.0","100.0","1888.0","0","0.0"
"044859","Struthers City","Mahoning","Region 5","95.5","15","124","52838","124","100.0","75","59.9","98.6","434.0","440.0","98.6","434.0","0","0.0"
"044867","Sycamore Community City","Hamilton","Region 13","95.2","16","352","70363","352","100.0","286","81.4","99.3","1726.0","1738.0","99.8","1735.0","0","0.0"
"044875","Sylvania City","Lucas","Region 1","95.6","13","474","61339","473","99.8","344","72.7","98.7","2434.0","2467.0","100.0","2467.0","0","0.0"
"044883","Tallmadge City","Summit","Region 8","96.2","7","153","59933","152","99.3","81","53.1","100","691.0","691.0","100.0","691.0","0","0.0"
"044891","Tiffin City","Seneca","Region 7","95.1","15","152","50123","152","100.0","79","52.2","98.7","832.0","843.0","98.9","834.0","0","0.0"
"044909","Toledo City","Lucas","Region 1","96.1","14","1410","49927","1409","99.9","732","51.9","86.1","6739.0","7830.0","75.1","5881.0","0","0.0"
"044917","Toronto City","Jefferson","Region 12","95.7","20","54","41304","54","100.0","27","49.9","100","243.0","243.0","100.0","243.0","0","0.0"
"044925","Troy City","Miami","Region 10","96.2","14","245","55595","245","100.0","188","76.6","100","1562.0","1562.0","100.0","1562.0","0","0.0"
"044933","Upper Arlington City","Franklin","Region 11","95.4","18","390","79524","390","100.0","317","81.3","98.8","1856.0","1879.0","100.0","1879.0","0","0.0"
"044941","Urbana City","Champaign","Region 6","94.6","15","136","53654","136","100.0","99","72.8","99.5","555.0","558.0","100.0","558.0","0","0.0"
"044958","Vandalia-Butler City","Montgomery","Region 10","95.7","19","169","59757","169","100.0","131","77.4","100","982.0","982.0","100.0","982.0","0","0.0"
"044966","Van Wert City","Van Wert","Region 1","97.7","16","129","51784","128","99.2","85","65.9","99.9","711.0","712.0","100.0","712.0","0","0.0"
"044974","Wadsworth City","Medina","Region 8","95.9","16","243","63786","243","100.0","184","75.6","100","1151.0","1151.0","100.0","1151.0","0","0.0"
"044982","Wapakoneta City","Auglaize","Region 6","95.6","16","155","53109","154","99.7","118","76.0","99.9","831.0","832.0","99.6","829.0","0","0.0"
"044990","Warren City","Trumbull","Region 5","94.4","13","355","48900","355","100.0","184","51.9","100","1469.0","1469.0","97.3","1429.0","0","0.0"
"045005","Warrensville Heights City","Cuyahoga","Region 3","93.1","9","121","62978","117","96.7","84","68.9","94.4","524.0","555.0","40.9","227.0","0","0.0"
"045013","Washington Court House City","Fayette","Region 14","95.3","15","137","45033","137","100.0","101","73.6","100","730.0","730.0","100.0","730.0","0","0.0"
"045021","Wellston City","Jackson","Region 16","94.8","14","101","49023","101","100.0","50","48.9","99.2","470.0","474.0","100.0","474.0","0","0.0"
"045039","Wellsville Local","Columbiana","Region 5","93.8","12","54","47030","54","100.0","37","68.2","99.4","358.0","360.0","100.0","360.0","0","0.0"
"045047","Westerville City","Franklin","Region 11","94.4","11","825","61062","825","100.0","519","62.8","100","3767.0","3767.0","100.0","3767.0","0","0.0"
"045054","West Carrollton City","Montgomery","Region 10","96","13","220","58168","220","100.0","170","77.6","98.8","1233.0","1248.0","100.0","1248.0","0","0.0"
"045062","Westlake City","Cuyahoga","Region 3","94.6","16","264","74177","264","100.0","219","83.1","99.2","958.0","966.0","100.0","966.0","0","0.0"
"045070","Whitehall City","Franklin","Region 11","93.5","9","178","57220","176","98.9","104","58.6","98","769.0","785.0","100.0","785.0","0","0.0"
"045088","Wickliffe City","Lake","Region 4","95","17","113","56851","112","99.1","83","73.6","100","367.0","367.0","100.0","367.0","0","0.0"
"045096","Willard City","Huron","Region 7","94.1","19","102","56541","102","100.0","71","69.2","100","467.0","467.0","100.0","467.0","0","0.0"
"045104","Willoughby-Eastlake City","Lake","Region 4","96.3","8","474","64718","468","98.7","277","58.5","99.2","2235.0","2254.0","100.0","2254.0","0","0.0"
"045112","Wilmington City","Clinton","Region 14","95.7","14","160","52035","160","100.0","96","60.2","100","727.0","727.0","100.0","727.0","0","0.0"
"045120","Wooster City","Wayne","Region 9","95.8","13","251","54381","251","100.0","113","45.0","100","1027.0","1027.0","100.0","1027.0","0","0.0"
"045138","Worthington City","Franklin","Region 11","92.7","16","631","68664","630","100.0","480","76.1","100","2264.0","2264.0","100.0","2264.0","0","0.0"
"045146","Wyoming City","Hamilton","Region 13","96.5","16","140","66645","140","100.0","105","75.1","100","649.0","649.0","100.0","649.0","0","0.0"
"045153","Xenia Community City","Greene","Region 10","94.9","12","252","57536","252","100.0","192","76.2","99.8","1119.0","1121.0","99.8","1119.0","0","0.0"
"045161","Youngstown City","Mahoning","Region 5","92.5","14","404","52974","401","99.3","218","53.9","92.9","1940.0","2088.0","100.0","2088.0","0","0.0"
"045179","Zanesville City","Muskingum","Region 12","94.7","14","200","50595","197","98.5","127","63.8","98.8","978.0","990.0","96.0","950.0","0","0.0"
"045187","Ada Exempted Village","Hardin","Region 6","93.6","10","52","50751","52","100.0","32","61.8","99","285.0","288.0","100.0","288.0","0","0.0"
"045195","Amherst Exempted Village","Lorain","Region 2","94.8","16","225","62449","225","100.0","166","73.8","99.8","1044.0","1046.0","96.5","1009.0","0","0.0"
"045203","Barnesville Exempted Village","Belmont","Region 12","94.1","16","76","48070","76","100.0","41","53.9","100","434.0","434.0","99.8","433.0","0","0.0"
"045211","Bluffton Exempted Village","Allen","Region 6","96.5","18","60","53049","60","100.0","50","84.3","100","355.0","355.0","100.0","355.0","0","0.0"
"045229","Bradford Exempted Village","Miami","Region 10","95.8","12","38","45899","38","100.0","24","62.8","100","252.0","252.0","100.0","252.0","0","0.0"
"045237","Bridgeport Exempted Village","Belmont","Region 12","94.8","12","56","40272","56","100.0","31","55.1","99.7","287.0","288.0","100.0","288.0","0","0.0"
"045245","Harrison Hills City","Harrison","Region 12","95.2","14","104","42766","104","100.0","50","48.3","100","382.0","382.0","100.0","382.0","0","0.0"
"045252","Caldwell Exempted Village","Noble","Region 12","94.2","15","56","45013","56","100.0","40","71.2","100","251.0","251.0","100.0","251.0","0","0.0"
"045260","Carey Exempted Village","Wyandot","Region 7","96.6","14","58","49889","58","100.0","36","61.2","100","481.0","481.0","100.0","481.0","0","0.0"
"045278","Carrollton Exempted Village","Carroll","Region 12","94.1","14","137","49820","136","99.3","80","58.6","99.1","550.0","555.0","99.8","554.0","0","0.0"
"045286","Chagrin Falls Exempted Village","Cuyahoga","Region 3","94.6","21","148","67095","148","100.0","122","82.3","100","748.0","748.0","100.0","748.0","0","0.0"
"045294","Chesapeake Union Exempted Village","Lawrence","Region 15","93.7","12","83","49393","82","98.8","46","54.8","100","322.0","322.0","100.0","322.0","0","0.0"
"045302","Clyde-Green Springs Exempted Village","Sandusky","Region 1","96.1","16","138","55553","137","99.3","105","75.9","97.3","548.0","563.0","100.0","563.0","0","0.0"
