"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Mobility Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","15","3.1"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Longevity1to2","89.5","89.5",">95.0","93.3","90.9","90.9",">95.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","230","47.6"
"000059","Ada Elementary School","045187","Ada Exempted Village","Hardin","Region 6","Open","000067","Elementary School","Longevity3orMore","86.0","91.2","91.5","78.7","84.0","88.0","84.0","88.9","83.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","238","49.3"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","78.6","71.4","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4",">95.0","--","56","13.2"
"000067","Ada High School","045187","Ada Exempted Village","Hardin","Region 6","Open","******","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--",">95.0","93.1","89.8","91.5","74.6","93.0","91.2","94.7","86.0","84.2","91.1","92.9","92.9","89.3","91.1",">95.0",">95.0",">95.0","362","85.4"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23","5.6"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Longevity1to2","--","--","--","--","--","--","--","--","--","66.7","48.5","70.0","50.0","46.7","--","--","--","--","--","--","--","--","--","--","89.5","--","--","67","16.2"
"000083","Sandusky Middle School","044743","Sandusky City","Erie","Region 2","Open","033555","Middle School","Longevity3orMore","--","--","--","--","--","--","--","--","--","67.1","64.7","82.7","70.7","54.0","--","--","--","--","--","--","--","--","--","--","94.0","--","--","324","78.3"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","21","4.9"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.5","--","--","366","85.3"
"000102","Meigs Primary School","048520","Meigs Local","Meigs","Region 16","Open","000105","Elementary School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.1","--","--","42","9.8"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","2.7"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Longevity1to2","88.9","61.1","81.5","70.4","46.4","25.0","50.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","78","20.7"
"000105","Meigs Intermediate School","048520","Meigs Local","Meigs","Region 16","Open","062307","Elementary School","Longevity3orMore","80.2","76.4","88.0","85.5","66.7","55.9","52.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","--","--","287","76.3"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","53","7.5"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","89.5","--","--","195","27.5"
"000116","Hamilton Freshman School","044107","Hamilton City","Butler","Region 13","Open","036822","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","--","--","462","65.1"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11","3.8"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","135","46.2"
"000117","Adamsville Elementary School","048876","Tri-Valley Local","Muskingum","Region 12","Open","067322","Elementary School","Longevity3orMore","82.8","69.0","94.6","75.7","65.4","53.8","65.4","80.6","87.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","145","49.7"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","21","3.2"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","Longevity1to2","--","--","85.7","83.9","74.3","74.3","79.7","84.5","79.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","189","29.2"
"000118","Hamilton Intermediate School","046953","Hamilton Local","Franklin","Region 11","Open","028407","Middle School","Longevity3orMore","--","--","95.0","93.6","78.0","80.9","81.6",">95.0","87.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","439","67.7"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","1.4"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","81.8","50.0","90.5","90.5","61.9","76.9","73.1","65.4","65.4","69.2","87.5","81.3","81.3","68.8","62.5","92.2","72.7","90.0","125","17.2"
"000119","Oak Hill Middle/High School","047761","Oak Hill Union Local","Jackson","Region 16","Open","******","High School","Longevity3orMore","--","--","--","--","--","--","--","85.3","85.3","80.9","70.8","83.3","85.7","69.0","93.2","90.9","93.2","88.6","85.2","93.5","92.1","92.2","90.9","89.5","94.2",">95.0",">95.0","592","81.5"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","10","1.9"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","Longevity1to2","78.9","78.9","93.3","86.7","68.2","54.5","68.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","251","46.9"
"000124","Oak Hill Elementary","047761","Oak Hill Union Local","Jackson","Region 16","Open","000119","Elementary School","Longevity3orMore","80.8","89.7","94.1","85.3","78.7","64.0","77.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","273","51.0"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","17.6","18.2","18","19.4"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","70.0","36.4","63.6","54.5","27.3","82.6","56.5","82.6","65.2","60.9","62.4","45.5","55.8","72","77.4"
"000125","Polly Fox Academy Community School","000125","Polly Fox Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","7.5","15.2","143","30.0"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","75.0","61.5","72.0","66.0","54.5","80.9","77.6","84.8","77.3","67.2","62.1","11.8","22.5","302","63.3"
"000130","Phoenix Academy Community School","000130","Phoenix Academy Community School","Lucas","Region 1","Open","","Dropout Recovery","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","73.7","47.4","77.8","63.2","55.6","63.9","--","11.8","31","6.5"
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Open","","Dropout Recovery","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","11.5","16.7","54","24.7"
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Open","","Dropout Recovery","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","71.2","52.1","68.1","54.5","43.7","62.5","26.8","33.3","163","74.4"
"000131","Glass City Academy","000131","Glass City Academy","Lucas","Region 1","Open","","Dropout Recovery","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Open","027656","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Open","027656","Middle School","Longevity1to2","--","--","--","--","--","--","--","90.5","81.0",">95.0",">95.0","86.4","78.3","63.6","--","--","--","--","--","--","--","--","--","--","93.7","--","--","66","21.2"
"000135","South Vienna Middle School","046250","Northeastern Local","Clark","Region 10","Open","027656","Middle School","Longevity3orMore","--","--","--","--","--","--","--","88.0","85.3","94.2","94.2","84.8","91.0","75.9","--","--","--","--","--","--","--","--","--","--","94.9","--","--","241","77.2"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Open","068577","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Open","068577","Middle School","Longevity1to2","--","--","--","--","--","--","--","78.6","71.4","85.2","69.2","76.9","85.2","65.4","--","--","--","--","--","--","--","--","--","--","94.5","--","--","86","17.6"
"000137","Northridge Middle School","046250","Northeastern Local","Clark","Region 10","Open","068577","Middle School","Longevity3orMore","--","--","--","--","--","--","--","88.6","88.6","87.4","82.3",">95.0",">95.0","83.2","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","397","81.2"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Open","","Community School Startup","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","17","2.4"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Open","","Community School Startup","Longevity1to2","89.5","84.9","84.8","74.7","74.4","70.9","68.6","85.4","86.6","78.1","74.0","87.1","69.4","64.5","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","702",">95.0"
"000138","Pathway School of Discovery","000138","Pathway School of Discovery","Montgomery","Region 10","Open","","Community School Startup","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Open","","Community School Startup","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23","6.5"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Open","","Community School Startup","Longevity1to2","73.3","73.3","70.0","43.3","53.8","42.3","34.6","79.4","55.9","79.3","34.5",">95.0","64.3","57.1","--","--","--","--","--","--","--","--","--","--","94.1","--","--","333","93.5"
"000139","Alliance Academy of Cincinnati","000139","Alliance Academy of Cincinnati","Hamilton","Region 13","Open","","Community School Startup","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Open","002683","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","12","3.6"
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Open","002683","Elementary School","Longevity1to2","78.6","64.3","--","--","80.0","80.0","80.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","190","57.2"
"000141","Addaville Elementary School","065680","Gallia County Local","Gallia","Region 16","Open","002683","Elementary School","Longevity3orMore",">95.0","93.3","91.4","85.7","79.5","74.4","84.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.0","--","--","130","39.2"
"000162","Newark Digital Academy","000162","Newark Digital Academy","Licking","Region 11","Open","","Dropout Recovery","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","37.5","37.5","77","26.9"
"000162","Newark Digital Academy","000162","Newark Digital Academy","Licking","Region 11","Open","","Dropout Recovery","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","76.9","75.0","63.5","44.2","40.4","89.7","79.5","87.2","69.2","69.2","89.4","46.2","41.4","183","64.0"
"000162","Newark Digital Academy","000162","Newark Digital Academy","Licking","Region 11","Open","","Dropout Recovery","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.4","--","--","26","9.1"
"000177","Fairland West Elementary School","047936","Fairland Local","Lawrence","Region 15","Open","011122","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000177","Fairland West Elementary School","047936","Fairland Local","Lawrence","Region 15","Open","011122","Elementary School","Longevity1to2",">95.0","92.9","86.7","93.3","84.6","69.2","84.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","60","16.4"
"000177","Fairland West Elementary School","047936","Fairland Local","Lawrence","Region 15","Open","011122","Elementary School","Longevity3orMore",">95.0",">95.0",">95.0",">95.0","90.5","86.3","94.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","298","81.4"
"000178","Early Childhood Center","044545","North Royalton City","Cuyahoga","Region 3","Open","000265","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000178","Early Childhood Center","044545","North Royalton City","Cuyahoga","Region 3","Open","000265","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","263","94.3"
"000178","Early Childhood Center","044545","North Royalton City","Cuyahoga","Region 3","Open","000265","Elementary School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","10","3.6"
"000187","Centerburg Middle School","047829","Centerburg Local","Knox","Region 7","Open","005298","Middle School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000187","Centerburg Middle School","047829","Centerburg Local","Knox","Region 7","Open","005298","Middle School","Longevity1to2","--","--","--","--","--","--","--","--","--",">95.0",">95.0","94.7","89.5","63.2","--","--","--","--","--","--","--","--","--","--","93.8","--","--","53","20.7"
"000187","Centerburg Middle School","047829","Centerburg Local","Knox","Region 7","Open","005298","Middle School","Longevity3orMore","--","--","--","--","--","--","--","83.3","80.8",">95.0","91.9","92.9",">95.0","87.5","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","199","77.7"
"000190","Buckeye West Elementary School","047787","Buckeye Local","Jefferson","Region 12","Open","039214","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000190","Buckeye West Elementary School","047787","Buckeye Local","Jefferson","Region 12","Open","039214","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.6","--","--","136","45.5"
"000190","Buckeye West Elementary School","047787","Buckeye Local","Jefferson","Region 12","Open","039214","Elementary School","Longevity3orMore","82.4","85.3","80.0","72.0","84.4","81.3","75.0",">95.0","90.6","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","--","--","159","53.2"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Open","","Dropout Recovery","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","30.8","28.6","15","30.6"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Open","","Dropout Recovery","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","83.4","20.0","53.8","31","63.3"
"000197","Hamilton Alternative Academy","000197","Hamilton Alternative Academy","Franklin","Region 11","Open","","Dropout Recovery","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000208","Adena High School","049494","Adena Local","Ross","Region 15","Open","******","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000208","Adena High School","049494","Adena Local","Ross","Region 15","Open","******","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","90.0","80.0","--","84.6","84.6","84.6","84.6","76.9","94.6","66.7","33.3","55","15.2"
"000208","Adena High School","049494","Adena Local","Ross","Region 15","Open","******","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","91.9","82.3","91.9","85.5","90.3","88.7","81.7","85.9","88.7","85.9","94.7",">95.0",">95.0","300","82.9"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Open","","Community School Startup","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","12","3.8"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Open","","Community School Startup","Longevity1to2","82.4","70.6","76.9","50.0","57.1","42.9","50.0","75.0","41.7","--","--","88.9","55.6","50.0","--","--","--","--","--","--","--","--","--","--","94.2","71.4","83.3","233","73.5"
"000222","Wildwood Environmental Academy","000222","Wildwood Environmental Academy","Lucas","Region 1","Open","","Community School Startup","Longevity3orMore","80.0",">95.0","--","--","--","--","--","--","--","91.7","66.7","80.0","80.0","80.0","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","73","23.0"
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018382","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018382","Elementary School","Longevity1to2","90.9","72.7","--","--","--","--","--","--","--","66.7","8.3","66.7","58.3","0.0","--","--","--","--","--","--","--","--","--","--","93.6","--","--","174","52.1"
"000224","Adlai Stevenson School","043786","Cleveland Municipal","Cuyahoga","Region 3","Open","018382","Elementary School","Longevity3orMore","46.2","38.5","53.8","42.3","44.0","16.0","0.0","64.7","17.6","56.3","25.0","41.9","48.4","6.5","--","--","--","--","--","--","--","--","--","--","93.2","--","--","153","45.8"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Open","065532","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","24","2.5"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Open","065532","Elementary School","Longevity1to2","92.5","90.2","84.4","75.0","69.7","59.4","69.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","--","--","543","56.9"
"000231","Unioto Elementary","049536","Union-Scioto Local","Ross","Region 15","Open","065532","Elementary School","Longevity3orMore","91.7","84.4","90.7","86.9","79.2","65.3","75.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","386","40.5"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","014613","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","12","4.2"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","014613","Elementary School","Longevity1to2",">95.0","71.4","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","215","76.0"
"000232","Adrian Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","014613","Elementary School","Longevity3orMore","86.4","72.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","57","20.1"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Open","008262","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Open","008262","Elementary School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.7","--","--","98","38.9"
"000234","Ella P. Stewart Academy for Girls","044909","Toledo City","Lucas","Region 1","Open","008262","Elementary School","Longevity3orMore","78.3","60.9","80.0","36.0","61.9","57.1","33.3","78.9","78.9",">95.0","87.0","92.9","92.9","21.4","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","151","59.9"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Open","","Community School Startup","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","18.1","17.9","422","12.9"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Open","","Community School Startup","Longevity1to2","82.6","67.8","89.5","66.7","73.9","55.9","74.8","88.1","68.8","88.6","66.7","90.2","74.9","66.0","94.0","80.6","91.3","86.2","79.8",">95.0","92.3",">95.0",">95.0","94.5",">95.0","59.5","67.8","2375","72.6"
"000236","Ohio Connections Academy, Inc","000236","Ohio Connections Academy, Inc","Cuyahoga","Region 3","Open","","Community School Startup","Longevity3orMore","73.5","52.9","78.6","71.4","67.6","45.9","59.5","75.0","63.6","77.3","61.4","90.0","75.0","70.0","93.1","84.5","87.9","89.7","84.5","93.1","86.2","93.1","89.7","87.9",">95.0","83.9","90.6","474","14.5"
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Open","","Dropout Recovery","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","21.1","19.4","131","19.6"
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Open","","Dropout Recovery","Longevity1to2","75.0","41.7","71.4","45.5","46.2","34.6","38.5","69.6","26.1","75.9","37.9","84.6","51.3","53.8","91.2","70.6","82.4","60.3","58.8","93.8","89.1","89.1","87.5","84.4","85.4","40.7","44.6","475","71.2"
"000241","Quaker Digital Academy","000241","Quaker Digital Academy","Tuscarawas","Region 12","Open","","Dropout Recovery","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.9","81.8","90.9","90.9","90.9","90.4","35.3","75.0","62","9.3"
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Open","026385","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","20","3.0"
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Open","026385","Elementary School","Longevity1to2",">95.0","80.8",">95.0","81.3","91.7","87.5","91.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","364","54.0"
"000242","North Union Elementary School","050336","North Union Local","Union","Region 11","Open","026385","Elementary School","Longevity3orMore","85.7","84.5",">95.0","76.0","80.7","75.9","83.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","290","43.0"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Open","000315","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","12","1.4"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Open","000315","Elementary School","Longevity1to2","72.4","75.9","87.0","87.0","68.8","62.5","75.0","83.3","72.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.6","--","--","418","48.7"
"000257","Alexander Elementary School","045906","Alexander Local","Athens","Region 16","Open","000315","Elementary School","Longevity3orMore","85.1","80.9","89.9","82.0","68.0","70.1","77.3","89.1","80.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.9","--","--","428","49.9"
"000265","Albion Elementary School","044545","North Royalton City","Cuyahoga","Region 3","Open","099416","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
