"Building IRN","Building Name","District IRN","District Name","County","Region","Open/Closed Status (as of 9/1/2014)","Feeder IRN","School Type","Mobility Status","Read 3rd Grade 2013-14 % Proficient or above","Math 3rd Grade 2013-14 % Proficient or above","Read 4th Grade 2013-14 % Proficient or above","Math 4th Grade 2013-14 % Proficient or above","Read 5th Grade 2013-14 % Proficient or above","Math 5th Grade 2013-14 % Proficient or above","Science 5th Grade 2013-14 % Proficient or above","Read 6th Grade 2013-14 % Proficient or above","Math 6th Grade 2013-14 % Proficient or above","Read 7th Grade 2013-14 % Proficient or above","Math 7th Grade 2013-14 % Proficient or above","Read 8th Grade 2013-14 % Proficient or above","Math 8th Grade 2013-14 % Proficient or above","Science 8th Grade 2013-14 % Proficient or above","Read OGT 2013-14 % Proficient or above","Math OGT 2013-14 % Proficient or above","Write OGT 2013-14 % Proficient or above","Social Studies OGT 2013-14 % Proficient or above","Science OGT 2013-14 % Proficient or above","Read 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Attendance rate 2013-14","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Enrollment","% of Total Enrollment"
"014571","Greenon High School","046235","Greenon Local","Clark","Region 10","Open","******","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","84.2","84.2","94.7","84.2","89.5",">95.0","84.0","91.7","83.3","88.0","92.9","83.3","81.8","92","15.5"
"014571","Greenon High School","046235","Greenon Local","Clark","Region 10","Open","******","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","87.5","88.5","87.3","84.3","90.2","91.1","93.8","89.3","90.2","94.6","92.9",">95.0","492","83.1"
"014597","Greensview Elementary School","044933","Upper Arlington City","Franklin","Region 11","Open","015602","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014597","Greensview Elementary School","044933","Upper Arlington City","Franklin","Region 11","Open","015602","Elementary School","Longevity1to2",">95.0",">95.0","94.7","94.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","191","56.2"
"014597","Greensview Elementary School","044933","Upper Arlington City","Franklin","Region 11","Open","015602","Elementary School","Longevity3orMore","87.5","95.0",">95.0",">95.0","94.0",">95.0","90.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","144","42.4"
"014605","Greentown Intermediate  School","044503","North Canton City","Stark","Region 9","Open","026104","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"014605","Greentown Intermediate  School","044503","North Canton City","Stark","Region 9","Open","026104","Elementary School","Longevity1to2",">95.0","88.6","88.9","88.9","75.9","86.2","82.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","95","17.5"
"014605","Greentown Intermediate  School","044503","North Canton City","Stark","Region 9","Open","026104","Elementary School","Longevity3orMore","88.5","90.8",">95.0",">95.0","84.0","81.7","75.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","439","81.0"
"014613","Greenview Upper Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","024216","Elementary School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","23","3.0"
"014613","Greenview Upper Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","024216","Elementary School","Longevity1to2","--","--","84.6","63.1","55.3","39.5","32.9","85.9","57.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","219","28.8"
"014613","Greenview Upper Elementary School","044792","South Euclid-Lyndhurst City","Cuyahoga","Region 3","Open","024216","Elementary School","Longevity3orMore","--","--","92.1","78.7","76.4","66.3","58.4","87.6","74.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",">95.0","--","--","519","68.2"
"014621","Greenville Senior High School","044099","Greenville City","Darke","Region 10","Open","******","High School","Longevity0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","17","1.9"
"014621","Greenville Senior High School","044099","Greenville City","Darke","Region 10","Open","******","High School","Longevity1to2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","88.5","78.8","80.8","82.4","75.0","90.4","88.5","92.3","88.5","90.4","94.3","83.9","66.7","180","20.6"
"014621","Greenville Senior High School","044099","Greenville City","Darke","Region 10","Open","******","High School","Longevity3orMore","--","--","--","--","--","--","--","--","--","--","--","--","--","--","85.5","86.0","84.3","82.0","82.0","93.4","94.0","93.4","90.1","88.1","94.9","93.3",">95.0","677","77.5"
