"Sponsor IRN","Sponsor Name","School IRN","School Name","First Year of Operation","School County","School Type 1","School Type 2","School Type 3","Percent Minority","Percent Economically Disadvantaged","Percent Student with Disabilities","Percent Limited English Proficient","2013 Attendance Rate","Achievement Component Grade","2013 Performance Index Grade","2013 Indicators Met Grade","Progress Component Grade","2013 Value-Added: Overall Grade","2013 Value-Added: Gifted Grade","2013 Value-Added: Students with Disabilities Grade","2013 Value-Added: Lowest 20% in Achievement Grade","Value-Added: High School Grade","Graduation Rate Component Grade","2012 4 Year Graduation Grade","2012 5 Year Graduation Grade","Gap Closing Component Grade","2013 Annual Measurable Objectives Grade","K-3 Literacy Component Grade","K-3 Literacy Improvement Grade","Prepared for Success Component Grade","2012 Value-Added Component Rating","2011 Value-Added Component Rating","2012 State Designation","2011 State Designation","2012 Performance Index Score","2011 Performance Index Score","2012 Adequate Yearly Progress Rating","2011 Adequate Yearly Progress Rating","Report Card Link",""
"049163","Portage County ESC","012558","Global Village Academy","FY12","Cuyahoga                      ","Startup","Site Based","General","NC","0.802392578125","NC","0.2228515625","94.2 ","Coming in 2015","B ","A ","Coming in 2015","C ","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","A ","Coming in 2015","Coming in 2014","Coming in 2015","NR","NR","Not Rated                                                                                                                                                                                                                                                      ","NO","106.7","NO","Met                                                                                                                                                                                                                                                            ","NO","ILRC",""
"049163","Portage County ESC","012644","STEAM Academy of Warren","FY12","Trumbull                      ","Startup","Site Based","General","0.7932600732600731","0.945970695970696","0.141868131868132","0.0","92.0 ","Coming in 2015","D ","F ","Coming in 2015","B ","NR","NR","A ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","NR","Academic Watch                                                                                                                                                                                                                                                 ","NO","71.1","NO","Not Met                                                                                                                                                                                                                                                        ","NO","ILRC",""
"049197","Field Local","011487","Falcon Academy of Creative Arts","FY11","Portage                       ","Conversion                                                                 ","Site Based","General","NC","0.190153027278776","0.0588822355289421","0.0","96.0 ","Coming in 2015","B ","B ","Coming in 2015","F ","C ","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","B ","Coming in 2015","Coming in 2014","Coming in 2015","Below Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Effective                                                                                                                                                                                                                                                      ","Excellent                                                                                                                                                                                                                                                      ","99.9","105.8","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"049684","Seneca East Local","000311","Bridges Community Academy","FY05","Seneca                        ","Conversion                                                                 ","Site Based","General","0.15878039516937892","0.771166030119799","0.205748024988585","0.0","93.9 ","Coming in 2015","C ","A ","Coming in 2015","F ","NR","NR","NR","Coming in 2016","Coming in 2015","F ","D ","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","Met Expected Gains                                                                                                                                                                                                                                             ","Continuous Improvement                                                                                                                                                                                                                                         ","Continuous Improvement                                                                                                                                                                                                                                         ","85.7","88.4","Not Met                                                                                                                                                                                                                                                        ","Met ","ILRC",""
"049965","Summit County ESC","011381","Greater Summit County Early Learning Center","FY10","Summit                        ","Conversion                                                                 ","Site Based","General","0.15103278526644048","0.345808671948622","NC","NC","96.2 ","Coming in 2015","A ","A ","Coming in 2015","NR","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","NR","Coming in 2015","Coming in 2014","Coming in 2015","NR","NR","Not Rated                                                                                                                                                                                                                                                      ","Not Rated                                                                                                                                                                                                                                                      ","NR","NR","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"050401","Warren County ESC","012545","Imagine Woodbury Academy","FY12","Montgomery                    ","Conversion                                                                 ","Site Based","General","0.9498006456255664","1.0","0.0639332465118447","0.0","92.1 ","Coming in 2015","D ","F ","Coming in 2015","C ","NR","NR","B ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","NR","NR","NR","NO","70.0","NO","Not Met                                                                                                                                                                                                                                                        ","NO","ILRC",""
"050526","Tri-County ESC","009971","Ashland County Community Academy","FY09","Ashland                       ","Conversion                                                                 ","Site Based","General","NC","0.776082452033045","0.304593525470251","0.0","89.1 ","Coming in 2015","D ","F ","Coming in 2015","NR","NR","NR","NR","Coming in 2016","Coming in 2015","F ","F ","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","NR","NR","Continuous Improvement                                                                                                                                                                                                                                         ","Academic Watch                                                                                                                                                                                                                                                 ","NR","78.3","Met                                                                                                                                                                                                                                                            ","Not Met","ILRC",""
"050526","Tri-County ESC","012501","Beacon Hill Academy","FY12","Wayne                         ","Conversion                                                                 ","Site Based","General","NC","0.492972501091227","NC","0.154604975993016","97.7 ","Coming in 2015","B ","B ","Coming in 2015","F ","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","A ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","NR","Effective                                                                                                                                                                                                                                                      ","NO","98.3","NO","Met","NO","ILRC",""
"050765","Dept Of Education","000736","Phoenix Village Academy Primary 2","FY06","Cuyahoga                      ","Startup","Site Based","General","1.0","1.0","NC","0.0","95.9 ","Coming in 2015","C ","F ","Coming in 2015","A ","NR","NR","B ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Above Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Excellent                                                                                                                                                                                                                                                      ","Effective                                                                                                                                                                                                                                                      ","92.2","93.1","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"050765","Dept Of Education","000738","Phoenix Village Academy: Secondary I","FY07","Cuyahoga                      ","Startup","Site Based","General","1.0","1.0","NC","0.0","94.6 ","Coming in 2015","--","NR","Coming in 2015","NR","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","NR","Coming in 2015","Coming in 2014","Coming in 2015","NR","NR","Continuous Improvement                                                                                                                                                                                                                                         ","Not Rated                                                                                                                                                                                                                                                      ","86.5","NR","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"050765","Dept Of Education","000946","Cleveland Community School","FY06","Cuyahoga                      ","Startup","Site Based","General","0.9798286253126153","0.982411545242098","NC","NC","85.6 ","Coming in 2015","D ","F ","Coming in 2015","C ","NR","NR","C ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","Met Expected Gains                                                                                                                                                                                                                                             ","Academic Emergency                                                                                                                                                                                                                                             ","Academic Watch                                                                                                                                                                                                                                                 ","69.9","72.1","Not Met                                                                                                                                                                                                                                                        ","Not Met","ILRC",""
"050765","Dept Of Education","000949","Villaview Community School","FY07","Cuyahoga                      ","Startup","Site Based","General","0.9809291654717521","0.964821718764936","NC","NC","87.9 ","Coming in 2015","D ","F ","Coming in 2015","D ","NR","NR","F ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Above Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Continuous Improvement                                                                                                                                                                                                                                         ","Academic Emergency                                                                                                                                                                                                                                             ","73.1","65.8","Met                                                                                                                                                                                                                                                            ","Not Met","ILRC",""
"050765","Dept Of Education","008066","Lion of Judah Academy","FY07","Cuyahoga                      ","Startup","Site Based","General","0.9692807625649914","0.994887348353553","NC","0.0","95.6 ","Coming in 2015","F ","F ","Coming in 2015","NR","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","--                                                                                                                                                                                                                                                             ","Above Expected Gains                                                                                                                                                                                                                                           ","Not Rated                                                                                                                                                                                                                                                      ","Academic Watch                                                                                                                                                                                                                                                 ","0.0","63.6","Not Met                                                                                                                                                                                                                                                        ","Not Met","ILRC",""
"051490","Scioto County Career Technical Center","013233","Southern Ohio Academy","FY13","Scioto                        ","Conversion                                                                 ","Site Based","General","NC","0.720067453625633","0.236275060895634","0.0","99.0 ","Coming in 2015","D ","NR","Coming in 2015","NR","NR","NR","NR","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","NR","Coming in 2015","Coming in 2014","Coming in 2015","NO","NO","NO","NO","NO","NO","NO","NO","ILRC",""
"062893","Bowling Green State University","133942","Toledo School For The Arts","FY00","Lucas                         ","Startup","Site Based","General","0.35462022235566915","0.352245922017034","0.0690110423530235","0.0","95.8 ","Coming in 2015","B ","A ","Coming in 2015","D ","NR","C ","C ","Coming in 2016","Coming in 2015","A ","A ","Coming in 2015","A ","Coming in 2015","Coming in 2014","Coming in 2015","Met Expected Gains                                                                                                                                                                                                                                             ","Met Expected Gains                                                                                                                                                                                                                                             ","Excellent                                                                                                                                                                                                                                                      ","Excellent                                                                                                                                                                                                                                                      ","105.2","105.7","Met                                                                                                                                                                                                                                                            ","Met ","ILRC",""
"083246","St Aloysius Orphanage","000195","Hope Academy East Campus","FY04","Cuyahoga                      ","Startup","Site Based","General","0.9949673191976033","0.971955773427243","0.170808389437866","0.0","92.1 ","Coming in 2015","D ","F ","Coming in 2015","C ","NR","A ","A ","Coming in 2016","Coming in 2015","NR","NR","Coming in 2015","F ","Coming in 2015","Coming in 2014","Coming in 2015","Below Expected Gains                                                                                                                                                                                                                                           ","Met Expected Gains                                                                                                                                                                                                                                             ","Academic Emergency                                                                                                                                                                                                                                             ","Academic Watch                                                                                                                                                                                                                                                 ","69.1","73.3","Not Met                                                                                                                                                                                                                                                        ","Not Met","ILRC",""
