"District IRN","District Name","School IRN","School Name","Transfer"
"00000 ","District not identified","000236","Ohio Connections Academy, Cuyahoga - (E School)","7839.52"
"00000 ","District not identified","012054","North Central Academy, Seneca","1412.79"
"00000 ","District not identified","012867","Townsend North Community Sch, Erie","32637.25"
"00000 ","District not identified","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","20735.38"
"00000 ","District not identified","142950","Ohio Virtual Academy, Lucas - (E School)","5745.00"
"000442","Manchester Local SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","15735.69"
"000442","Manchester Local SD","013233","Southern Ohio Academy, Scioto","5745.00"
"000442","Manchester Local SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","95366.81"
"000442","Manchester Local SD","142950","Ohio Virtual Academy, Lucas - (E School)","40100.10"
"000442","Manchester Local SD","143305","Treca Digital Academy, Marion - (E School)","11490.00"
"000442","Manchester Local SD","143396","Alternative Education Academy, Lucas - (E School)","5515.20"
"000442","Manchester Local SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","8043.00"
"043489","Akron City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","275849.40"
"043489","Akron City SD","000241","QDA, Tuscarawas - (E School)","3217.20"
"043489","Akron City SD","000298","Summit Academy Second Akron, Summit","1234960.46"
"043489","Akron City SD","000300","Summit Academy Second Canton, Stark","836.07"
"043489","Akron City SD","000303","Summit Academy Sec Youngstown, Mahoning","12579.27"
"043489","Akron City SD","000318","Menlo Park Academy, Cuyahoga","1906.68"
"043489","Akron City SD","000417","Buckeye On-Line School, Columbiana - (E School)","55345.65"
"043489","Akron City SD","000525","Canton Harbor HS, Stark","9790.23"
"043489","Akron City SD","000541","Constellation: Outreach, Cuyahoga","52803.04"
"043489","Akron City SD","000564","Virtual Schoolhouse, Inc., Cuyahoga","16651.57"
"043489","Akron City SD","000623","Summit Academy-Youngstown, Mahoning","31374.26"
"043489","Akron City SD","000936","Promise Academy, Cuyahoga","2229.52"
"043489","Akron City SD","007995","Cleveland Art & Social Science, Cuyahoga","10780.26"
"043489","Akron City SD","008063","Life Skills Center of North Ak, Summit","798175.80"
"043489","Akron City SD","011381","GSCELC, Summit","311526.14"
"043489","Akron City SD","011487","Falcon Academy of Creative Art, Portage","33091.11"
"043489","Akron City SD","011947","Imagine Akron Academy, Summit","541172.11"
"043489","Akron City SD","012060","Akros Middle School, Summit","957422.72"
"043489","Akron City SD","012627","STEAM Academy of Akron, Summit","809430.63"
"043489","Akron City SD","013164","Believe to Achieve-Canton, Stark","15437.52"
"043489","Akron City SD","013199","Nexus Academy of  Cleveland, Cuyahoga","3385.56"
"043489","Akron City SD","013226","Life Skills HS Cleveland, Cuyahoga","3806.28"
"043489","Akron City SD","013254","Akron Preparatory School, Summit","1680626.40"
"043489","Akron City SD","014060","Brown Street Academy, Summit","1055675.53"
"043489","Akron City SD","014063","University Acad, Summit","992099.92"
"043489","Akron City SD","014066","Main St. Prep. Academy, Summit","340163.87"
"043489","Akron City SD","014081","Insight School of Ohio, Franklin - (E School)","63769.50"
"043489","Akron City SD","014121","Imagine Leadership Academy, Summit","1847852.79"
"043489","Akron City SD","014130","Next Frontier Academy, Summit","243475.47"
"043489","Akron City SD","014136","Mosaica Online of Ohio, Franklin - (E School)","10972.95"
"043489","Akron City SD","014148","Provost Academy Ohio, Franklin - (E School)","11432.55"
"043489","Akron City SD","132779","Summit Academy Akron M S, Summit","768878.90"
"043489","Akron City SD","133306","Summit Academy Altern Canton, Stark","4043.49"
"043489","Akron City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","1586196.92"
"043489","Akron City SD","133538","Edge Academy, The, Summit","1876236.41"
"043489","Akron City SD","133587","Summit Academy Akron Elem, Summit","1786184.26"
"043489","Akron City SD","133801","Life Skills Ctr Of Youngstown, Mahoning","2590.20"
"043489","Akron City SD","133835","Invictus High School, Cuyahoga","2717.23"
"043489","Akron City SD","133868","Towpath Trail High School, Summit","2104779.27"
"043489","Akron City SD","134213","Middlebury Academy, Summit","2099943.52"
"043489","Akron City SD","134221","Colonial Prep Academy, Summit","1214264.20"
"043489","Akron City SD","142901","Life Skills Center of  Canton, Stark","7289.87"
"043489","Akron City SD","142950","Ohio Virtual Academy, Lucas - (E School)","1646851.68"
"043489","Akron City SD","143305","Treca Digital Academy, Marion - (E School)","112114.50"
"043489","Akron City SD","143396","Alternative Education Academy, Lucas - (E School)","1004838.95"
"043489","Akron City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","29722.95"
"043489","Akron City SD","147231","Schnee, Summit","191042.98"
"043489","Akron City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","2929.95"
"043489","Akron City SD","149054","Akron Digital Academy, Summit - (E School)","2555262.61"
"043489","Akron City SD","149427","Massillon Digital Academy, Inc, Stark - (E School)","9558.00"
"043489","Akron City SD","151191","Life Skills Ctr Of Summit Co, Summit","593142.82"
"043497","Alliance City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","28976.10"
"043497","Alliance City SD","000282","Greater Ohio Virtual School, Warren - (E School)","2585.25"
"043497","Alliance City SD","000300","Summit Academy Second Canton, Stark","64728.00"
"043497","Alliance City SD","000303","Summit Academy Sec Youngstown, Mahoning","2218.15"
"043497","Alliance City SD","000417","Buckeye On-Line School, Columbiana - (E School)","27310.05"
"043497","Alliance City SD","000525","Canton Harbor HS, Stark","6923.90"
"043497","Alliance City SD","000623","Summit Academy-Youngstown, Mahoning","19057.59"
"043497","Alliance City SD","013164","Believe to Achieve-Canton, Stark","10496.96"
"043497","Alliance City SD","014081","Insight School of Ohio, Franklin - (E School)","13869.30"
"043497","Alliance City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","358120.41"
"043497","Alliance City SD","142901","Life Skills Center of  Canton, Stark","8391.14"
"043497","Alliance City SD","142950","Ohio Virtual Academy, Lucas - (E School)","164134.92"
"043497","Alliance City SD","143305","Treca Digital Academy, Marion - (E School)","13385.85"
"043497","Alliance City SD","143396","Alternative Education Academy, Lucas - (E School)","129346.92"
"043497","Alliance City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","11490.00"
"043497","Alliance City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","2642.70"
"043505","Ashland City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","56186.10"
"043505","Ashland City SD","000417","Buckeye On-Line School, Columbiana - (E School)","9019.65"
"043505","Ashland City SD","009909","Mansfield Community Middle, Richland","9880.55"
"043505","Ashland City SD","009971","Ashland County Community Acade, Ashland","580529.67"
"043505","Ashland City SD","011967","RASE, Richland","57776.95"
"043505","Ashland City SD","011972","GEMS, Franklin","5946.20"
"043505","Ashland City SD","013962","Liberty Prep School, Wayne","1046.95"
"043505","Ashland City SD","014081","Insight School of Ohio, Franklin - (E School)","12433.05"
"043505","Ashland City SD","133306","Summit Academy Altern Canton, Stark","4051.03"
"043505","Ashland City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","157406.82"
"043505","Ashland City SD","142950","Ohio Virtual Academy, Lucas - (E School)","211191.72"
"043505","Ashland City SD","143305","Treca Digital Academy, Marion - (E School)","33815.61"
"043505","Ashland City SD","143396","Alternative Education Academy, Lucas - (E School)","25278.00"
"043505","Ashland City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","9421.80"
"043505","Ashland City SD","149047","Goal Digital Academy, Morrow - (E School)","10894.65"
"043513","Ashtabula Area City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","45730.20"
"043513","Ashtabula Area City SD","000241","QDA, Tuscarawas - (E School)","5745.00"
"043513","Ashtabula Area City SD","000300","Summit Academy Second Canton, Stark","10031.45"
"043513","Ashtabula Area City SD","000303","Summit Academy Sec Youngstown, Mahoning","75864.20"
"043513","Ashtabula Area City SD","000417","Buckeye On-Line School, Columbiana - (E School)","76456.59"
"043513","Ashtabula Area City SD","000623","Summit Academy-Youngstown, Mahoning","17887.29"
"043513","Ashtabula Area City SD","014081","Insight School of Ohio, Franklin - (E School)","2355.45"
"043513","Ashtabula Area City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","329336.43"
"043513","Ashtabula Area City SD","142950","Ohio Virtual Academy, Lucas - (E School)","335773.57"
"043513","Ashtabula Area City SD","143305","Treca Digital Academy, Marion - (E School)","10880.65"
"043513","Ashtabula Area City SD","143396","Alternative Education Academy, Lucas - (E School)","32426.16"
"043513","Ashtabula Area City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","12303.42"
"043521","Athens City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","27805.80"
"043521","Athens City SD","000417","Buckeye On-Line School, Columbiana - (E School)","70016.70"
"043521","Athens City SD","014094","Lawrence County Academy, Lawrence","14401.34"
"043521","Athens City SD","014148","Provost Academy Ohio, Franklin - (E School)","861.75"
"043521","Athens City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","199072.32"
"043521","Athens City SD","142950","Ohio Virtual Academy, Lucas - (E School)","200878.10"
"043521","Athens City SD","143305","Treca Digital Academy, Marion - (E School)","14419.95"
"043521","Athens City SD","143396","Alternative Education Academy, Lucas - (E School)","18743.88"
"043521","Athens City SD","149328","Foxfire High School, Muskingum","5945.09"
"043539","Barberton City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","22541.70"
"043539","Barberton City SD","000241","QDA, Tuscarawas - (E School)","402.15"
"043539","Barberton City SD","000298","Summit Academy Second Akron, Summit","31280.07"
"043539","Barberton City SD","000303","Summit Academy Sec Youngstown, Mahoning","3502.37"
"043539","Barberton City SD","000417","Buckeye On-Line School, Columbiana - (E School)","30678.30"
"043539","Barberton City SD","008063","Life Skills Center of North Ak, Summit","22331.40"
"043539","Barberton City SD","011381","GSCELC, Summit","12353.14"
"043539","Barberton City SD","011511","Lakeland Academy Com Sch, Harrison","2266.92"
"043539","Barberton City SD","011947","Imagine Akron Academy, Summit","10181.39"
"043539","Barberton City SD","014063","University Acad, Summit","8345.37"
"043539","Barberton City SD","014081","Insight School of Ohio, Franklin - (E School)","8272.80"
"043539","Barberton City SD","014121","Imagine Leadership Academy, Summit","16913.12"
"043539","Barberton City SD","014148","Provost Academy Ohio, Franklin - (E School)","5572.65"
"043539","Barberton City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","247319.52"
"043539","Barberton City SD","133538","Edge Academy, The, Summit","28262.57"
"043539","Barberton City SD","133587","Summit Academy Akron Elem, Summit","31559.33"
"043539","Barberton City SD","133868","Towpath Trail High School, Summit","33088.59"
"043539","Barberton City SD","142950","Ohio Virtual Academy, Lucas - (E School)","164147.58"
"043539","Barberton City SD","143305","Treca Digital Academy, Marion - (E School)","3964.05"
"043539","Barberton City SD","143396","Alternative Education Academy, Lucas - (E School)","98465.67"
"043539","Barberton City SD","148999","Mahoning Unlimited Classroom, Mahoning - (E School)","3536.46"
"043539","Barberton City SD","149054","Akron Digital Academy, Summit - (E School)","42952.01"
"043539","Barberton City SD","151191","Life Skills Ctr Of Summit Co, Summit","148163.95"
"043547","Bay Village City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","5745.00"
"043547","Bay Village City SD","000302","Summit Academy Community Schoo, Cuyahoga","38945.36"
"043547","Bay Village City SD","000318","Menlo Park Academy, Cuyahoga","21856.22"
"043547","Bay Village City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","49727.03"
"043547","Bay Village City SD","142950","Ohio Virtual Academy, Lucas - (E School)","10800.60"
"043547","Bay Village City SD","143396","Alternative Education Academy, Lucas - (E School)","23116.20"
"043554","Beachwood City SD","000541","Constellation: Outreach, Cuyahoga","22302.00"
"043554","Beachwood City SD","000564","Virtual Schoolhouse, Inc., Cuyahoga","23818.33"
"043554","Beachwood City SD","013132","Lake Erie College Prep School, Cuyahoga","5371.77"
"043554","Beachwood City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","2355.45"
"043554","Beachwood City SD","142950","Ohio Virtual Academy, Lucas - (E School)","11030.40"
"043554","Beachwood City SD","143396","Alternative Education Academy, Lucas - (E School)","1911.60"
"043562","Bedford City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","52367.37"
"043562","Bedford City SD","000303","Summit Academy Sec Youngstown, Mahoning","1823.54"
"043562","Bedford City SD","000417","Buckeye On-Line School, Columbiana - (E School)","45092.46"
"043562","Bedford City SD","000527","Cleveland Academy for Scholar, Cuyahoga","6288.08"
"043562","Bedford City SD","000541","Constellation: Outreach, Cuyahoga","30169.70"
"043562","Bedford City SD","000543","Pinnacle Academy, Cuyahoga","6288.08"
"043562","Bedford City SD","000560","Apex Academy, Cuyahoga","21865.18"
"043562","Bedford City SD","000614","Summit Academy Tr HS-Columbus, Franklin","1131.86"
"043562","Bedford City SD","000736","HBCU Prep School 1, Cuyahoga","33336.06"
"043562","Bedford City SD","000738","HBCU Prep School 2, Cuyahoga","16160.17"
"043562","Bedford City SD","000936","Promise Academy, Cuyahoga","8300.26"
"043562","Bedford City SD","007995","Cleveland Art & Social Science, Cuyahoga","11648.69"
"043562","Bedford City SD","008063","Life Skills Center of North Ak, Summit","3209.14"
"043562","Bedford City SD","008278","Noble Academy-Cleveland, Cuyahoga","6288.08"
"043562","Bedford City SD","008286","Harvard Avenue Comm Sch, Cuyahoga","10658.49"
"043562","Bedford City SD","009149","Constellation Schools: Westsid, Cuyahoga","5151.55"
"043562","Bedford City SD","011291","Village Preparatory School, Cuyahoga","3379.52"
"043562","Bedford City SD","011390","Bella Academy of Excellence, Cuyahoga","6499.08"
"043562","Bedford City SD","011923","Northeast Ohio College Prepara, Cuyahoga","1697.78"
"043562","Bedford City SD","012010","Cleveland College Preparatory, Cuyahoga","14931.25"
"043562","Bedford City SD","012029","Citizens Leadership Academy, Cuyahoga","6288.08"
"043562","Bedford City SD","012031","EPWH, Cuyahoga","16389.15"
"043562","Bedford City SD","012042","George V. Voinovich Reclam, Cuyahoga","12198.87"
"043562","Bedford City SD","012078","Quest Community School, Cuyahoga","7575.81"
"043562","Bedford City SD","012541","University of Cleveland Prep, Cuyahoga","7316.52"
"043562","Bedford City SD","012558","Global Village Academy, Cuyahoga","11736.40"
"043562","Bedford City SD","012867","Townsend North Community Sch, Erie","5219.10"
"043562","Bedford City SD","013034","Village Prep Woodland Hills, Cuyahoga","22096.86"
"043562","Bedford City SD","013082","The Haley School, Cuyahoga","13786.25"
"043562","Bedford City SD","013147","STEAM Academy of Warrensville, Cuyahoga","40654.67"
"043562","Bedford City SD","013226","Life Skills HS Cleveland, Cuyahoga","16031.39"
"043562","Bedford City SD","013253","Ohio College Prep School, Cuyahoga","93533.57"
"043562","Bedford City SD","014061","Chapelside Cleveland Academy, Cuyahoga","12722.16"
"043562","Bedford City SD","014081","Insight School of Ohio, Franklin - (E School)","13558.20"
"043562","Bedford City SD","014148","Provost Academy Ohio, Franklin - (E School)","4078.95"
"043562","Bedford City SD","133215","Intergenerational School, The, Cuyahoga","16600.15"
"043562","Bedford City SD","133256","Parma Community, Cuyahoga","12261.78"
"043562","Bedford City SD","133280","Washington Park Community, Cuyahoga","6288.08"
"043562","Bedford City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","259076.88"
"043562","Bedford City SD","133520","Citizens Academy, Cuyahoga","12998.15"
"043562","Bedford City SD","133835","Invictus High School, Cuyahoga","14617.96"
"043562","Bedford City SD","134197","Green Inspiration Acad, Cuyahoga","54109.37"
"043562","Bedford City SD","142950","Ohio Virtual Academy, Lucas - (E School)","303217.45"
"043562","Bedford City SD","143305","Treca Digital Academy, Marion - (E School)","20274.75"
"043562","Bedford City SD","143396","Alternative Education Academy, Lucas - (E School)","56310.25"
"043562","Bedford City SD","143479","Puritas Community Elementary, Cuyahoga","649.91"
"043562","Bedford City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","8789.85"
"043562","Bedford City SD","151209","Life Skills Of Northeast Ohio, Cuyahoga","50739.90"
"043570","Bellaire Local SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","10168.65"
"043570","Bellaire Local SD","000417","Buckeye On-Line School, Columbiana - (E School)","33599.00"
"043570","Bellaire Local SD","014148","Provost Academy Ohio, Franklin - (E School)","1149.00"
"043570","Bellaire Local SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","19806.93"
"043570","Bellaire Local SD","142950","Ohio Virtual Academy, Lucas - (E School)","61806.95"
"043570","Bellaire Local SD","143305","Treca Digital Academy, Marion - (E School)","860.22"
"043570","Bellaire Local SD","143396","Alternative Education Academy, Lucas - (E School)","10419.75"
"043588","Bellefontaine City SD","000138","Pathway School of Discovery, Montgomery","6251.41"
"043588","Bellefontaine City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","15303.00"
"043588","Bellefontaine City SD","011470","A.B. Graham Academy, Champaign","6251.41"
"043588","Bellefontaine City SD","014081","Insight School of Ohio, Franklin - (E School)","5917.35"
"043588","Bellefontaine City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","171404.79"
"043588","Bellefontaine City SD","142950","Ohio Virtual Academy, Lucas - (E School)","179480.25"
"043588","Bellefontaine City SD","143305","Treca Digital Academy, Marion - (E School)","10800.60"
"043588","Bellefontaine City SD","143396","Alternative Education Academy, Lucas - (E School)","459.60"
"043588","Bellefontaine City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","7189.86"
"043588","Bellefontaine City SD","151027","London Academy, Madison - (E School)","5974.80"
"043596","Bellevue City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","17349.90"
"043596","Bellevue City SD","000241","QDA, Tuscarawas - (E School)","1666.05"
"043596","Bellevue City SD","012867","Townsend North Community Sch, Erie","186231.76"
"043596","Bellevue City SD","014081","Insight School of Ohio, Franklin - (E School)","1895.85"
"043596","Bellevue City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","91465.33"
"043596","Bellevue City SD","142950","Ohio Virtual Academy, Lucas - (E School)","124249.50"
"043604","Belpre City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","58641.60"
"043604","Belpre City SD","000282","Greater Ohio Virtual School, Warren - (E School)","3619.35"
"043604","Belpre City SD","014081","Insight School of Ohio, Franklin - (E School)","2125.65"
"043604","Belpre City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","96238.76"
"043604","Belpre City SD","142950","Ohio Virtual Academy, Lucas - (E School)","91959.50"
"043604","Belpre City SD","143305","Treca Digital Academy, Marion - (E School)","10534.65"
"043604","Belpre City SD","143396","Alternative Education Academy, Lucas - (E School)","11490.00"
"043604","Belpre City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","1788.60"
"043612","Berea City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","99850.90"
"043612","Berea City SD","000302","Summit Academy Community Schoo, Cuyahoga","116133.81"
"043612","Berea City SD","000303","Summit Academy Sec Youngstown, Mahoning","1883.42"
"043612","Berea City SD","000318","Menlo Park Academy, Cuyahoga","57452.01"
"043612","Berea City SD","000541","Constellation: Outreach, Cuyahoga","30152.00"
"043612","Berea City SD","012036","Thurgood Marshall High School, Cuyahoga","3354.84"
"043612","Berea City SD","012043","Frederick Douglass Reclamation, Cuyahoga","765.14"
"043612","Berea City SD","012078","Quest Community School, Cuyahoga","53311.63"
"043612","Berea City SD","013199","Nexus Academy of  Cleveland, Cuyahoga","11375.10"
"043612","Berea City SD","013994","Albert Einstein Academy, Cuyahoga","26197.20"
"043612","Berea City SD","014081","Insight School of Ohio, Franklin - (E School)","19227.41"
"043612","Berea City SD","014189","West Park Academy, Cuyahoga","11982.37"
"043612","Berea City SD","132969","ConstellationElyria Community, Lorain","3156.68"
"043612","Berea City SD","133215","Intergenerational School, The, Cuyahoga","2133.84"
"043612","Berea City SD","133256","Parma Community, Cuyahoga","32030.06"
"043612","Berea City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","452353.55"
"043612","Berea City SD","134098","Old Brooklyn Community Element, Cuyahoga","2865.44"
"043612","Berea City SD","142950","Ohio Virtual Academy, Lucas - (E School)","311221.76"
"043612","Berea City SD","143305","Treca Digital Academy, Marion - (E School)","2470.35"
"043612","Berea City SD","143396","Alternative Education Academy, Lucas - (E School)","58511.66"
"043612","Berea City SD","143479","Puritas Community Elementary, Cuyahoga","29873.77"
"043612","Berea City SD","143487","Stockyard Community Elementary, Cuyahoga","10823.69"
"043612","Berea City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","12639.00"
"043620","Bexley City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","11490.00"
"043620","Bexley City SD","000511","Northland Prep & fitness, Franklin","4357.86"
"043620","Bexley City SD","000614","Summit Academy Tr HS-Columbus, Franklin","978.97"
"043620","Bexley City SD","000664","Life Skills Center of Col SE, Franklin","10373.35"
"043620","Bexley City SD","000679","Oakstone Community School, Franklin","253879.84"
"043620","Bexley City SD","011439","Renaissance Academy, Franklin","9116.45"
"043620","Bexley City SD","012040","Road to Success Academy, Franklin","12438.72"
"043620","Bexley City SD","012045","Patriot Preparatory Academy, Franklin","11701.00"
"043620","Bexley City SD","012391","Metro Early College High Schoo, Franklin","53681.83"
"043620","Bexley City SD","012528","Academy for Urban Scholars, Franklin","2674.55"
"043620","Bexley City SD","012628","Imagine Integrity Academy, Franklin","3104.23"
"043620","Bexley City SD","013198","Brookwood Academy, Franklin","10890.63"
"043620","Bexley City SD","013201","Nexus Academy of Columbus, Franklin","7702.95"
"043620","Bexley City SD","014148","Provost Academy Ohio, Franklin - (E School)","4825.80"
"043620","Bexley City SD","014158","Celerity Tenacia Charter Sch, Franklin","6924.81"
"043620","Bexley City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","18039.30"
"043620","Bexley City SD","142927","Focus Learning/Sw Columbus, Franklin","9380.23"
"043620","Bexley City SD","142950","Ohio Virtual Academy, Lucas - (E School)","8100.45"
"043620","Bexley City SD","143305","Treca Digital Academy, Marion - (E School)","5457.75"
"043620","Bexley City SD","143396","Alternative Education Academy, Lucas - (E School)","2125.65"
"043620","Bexley City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","6894.00"
"043638","Bowling Green City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","10628.25"
"043638","Bowling Green City SD","000541","Constellation: Outreach, Cuyahoga","30152.00"
"043638","Bowling Green City SD","000614","Summit Academy Tr HS-Columbus, Franklin","3015.10"
"043638","Bowling Green City SD","000623","Summit Academy-Youngstown, Mahoning","3500.99"
"043638","Bowling Green City SD","010205","L. Hollingworth School for Tal, Lucas","8082.44"
"043638","Bowling Green City SD","014081","Insight School of Ohio, Franklin - (E School)","631.95"
"043638","Bowling Green City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","93526.41"
"043638","Bowling Green City SD","133942","Toledo School For The Arts, Lucas","34294.62"
"043638","Bowling Green City SD","142950","Ohio Virtual Academy, Lucas - (E School)","232522.89"
"043638","Bowling Green City SD","143305","Treca Digital Academy, Marion - (E School)","61591.38"
"043646","Brecksville-Broadview Height","000236","Ohio Connections Academy, Cuyahoga - (E School)","29356.95"
"043646","Brecksville-Broadview Height","000302","Summit Academy Community Schoo, Cuyahoga","3338.01"
"043646","Brecksville-Broadview Height","000318","Menlo Park Academy, Cuyahoga","17141.10"
"043646","Brecksville-Broadview Height","000417","Buckeye On-Line School, Columbiana - (E School)","5515.20"
"043646","Brecksville-Broadview Height","000541","Constellation: Outreach, Cuyahoga","30152.00"
"043646","Brecksville-Broadview Height","009149","Constellation Schools: Westsid, Cuyahoga","2487.73"
"043646","Brecksville-Broadview Height","012558","Global Village Academy, Cuyahoga","11583.99"
"043646","Brecksville-Broadview Height","014081","Insight School of Ohio, Franklin - (E School)","631.95"
"043646","Brecksville-Broadview Height","133280","Washington Park Community, Cuyahoga","5966.19"
"043646","Brecksville-Broadview Height","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","66424.24"
"043646","Brecksville-Broadview Height","142950","Ohio Virtual Academy, Lucas - (E School)","86196.30"
"043646","Brecksville-Broadview Height","143305","Treca Digital Academy, Marion - (E School)","15339.15"
"043646","Brecksville-Broadview Height","143396","Alternative Education Academy, Lucas - (E School)","19136.40"
"043653","Brooklyn City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","7123.80"
"043653","Brooklyn City SD","000319","Madison Community Elementary, Cuyahoga","7083.55"
"043653","Brooklyn City SD","000321","Constellation Schools: Old Bro, Cuyahoga","45131.78"
"043653","Brooklyn City SD","000417","Buckeye On-Line School, Columbiana - (E School)","11317.65"
"043653","Brooklyn City SD","000534","Constellation Schools: Puritas, Cuyahoga","665.97"
"043653","Brooklyn City SD","000838","Horizon Science Acad.-Denison, Cuyahoga","13444.63"
"043653","Brooklyn City SD","000858","Horizon Science Acad Cleve Mid, Cuyahoga","6054.32"
"043653","Brooklyn City SD","000936","Promise Academy, Cuyahoga","6054.32"
"043653","Brooklyn City SD","009149","Constellation Schools: Westsid, Cuyahoga","15099.41"
"043653","Brooklyn City SD","010005","Horizon Science Academy Clevel, Cuyahoga","6265.32"
"043653","Brooklyn City SD","011291","Village Preparatory School, Cuyahoga","6265.32"
"043653","Brooklyn City SD","011923","Northeast Ohio College Prepara, Cuyahoga","6265.32"
"043653","Brooklyn City SD","012025","Constellation Schools: Stockya, Cuyahoga","31586.32"
"043653","Brooklyn City SD","012036","Thurgood Marshall High School, Cuyahoga","10110.71"
"043653","Brooklyn City SD","012043","Frederick Douglass Reclamation, Cuyahoga","2482.27"
"043653","Brooklyn City SD","012078","Quest Community School, Cuyahoga","14098.03"
"043653","Brooklyn City SD","012556","Pearl Academy, Cuyahoga","665.97"
"043653","Brooklyn City SD","013994","Albert Einstein Academy, Cuyahoga","9585.99"
"043653","Brooklyn City SD","132969","ConstellationElyria Community, Lorain","6265.32"
"043653","Brooklyn City SD","132993","Westpark Community Elementary, Cuyahoga","5956.00"
"043653","Brooklyn City SD","133256","Parma Community, Cuyahoga","85677.26"
"043653","Brooklyn City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","135111.42"
"043653","Brooklyn City SD","133819","Lincoln Preparatory School, Cuyahoga","12319.63"
"043653","Brooklyn City SD","134098","Old Brooklyn Community Element, Cuyahoga","43520.27"
"043653","Brooklyn City SD","142950","Ohio Virtual Academy, Lucas - (E School)","49741.00"
"043653","Brooklyn City SD","143305","Treca Digital Academy, Marion - (E School)","4481.10"
"043653","Brooklyn City SD","143313","West Preparatory Academy, Cuyahoga","6265.32"
"043653","Brooklyn City SD","143396","Alternative Education Academy, Lucas - (E School)","1051.38"
"043653","Brooklyn City SD","143479","Puritas Community Elementary, Cuyahoga","5262.86"
"043653","Brooklyn City SD","143487","Stockyard Community Elementary, Cuyahoga","6804.32"
"043653","Brooklyn City SD","143537","Virtual Community Sch Of Ohio, Franklin - (E School)","689.40"
"043653","Brooklyn City SD","151183","Lake Erie International HS, Cuyahoga","7338.08"
"043661","Brunswick City SD","000236","Ohio Connections Academy, Cuyahoga - (E School)","112041.53"
"043661","Brunswick City SD","000318","Menlo Park Academy, Cuyahoga","23597.95"
"043661","Brunswick City SD","000417","Buckeye On-Line School, Columbiana - (E School)","5342.85"
"043661","Brunswick City SD","009149","Constellation Schools: Westsid, Cuyahoga","11735.30"
"043661","Brunswick City SD","014081","Insight School of Ohio, Franklin - (E School)","15339.15"
"043661","Brunswick City SD","132779","Summit Academy Akron M S, Summit","30274.65"
"043661","Brunswick City SD","133256","Parma Community, Cuyahoga","6004.99"
"043661","Brunswick City SD","133413","Electronic Classrm Of Tomorrow, Franklin - (E School)","348434.53"
"043661","Brunswick City SD","134098","Old Brooklyn Community Element, Cuyahoga","6004.99"
"043661","Brunswick City SD","142950","Ohio Virtual Academy, Lucas - (E School)","242925.33"
