"School IRN","School Name","Street Address","City","State","Postal Code","Virtual","Open Status","Avg Grade","Letter grade performance index","Public Funding","% Spent in Classroom","Avg Teacher Experience"
"012029","Citizens Leadership Academy","9711 Lamont Ave","Cleveland","OH","44106-4124","Site Based","Open","D-","C","2053552.86","82.2","6"
"134122","Autism Model School","3020 Tremainsville Rd","Toledo","OH","43613-1901","Site Based","Open","D-","D","3376385.44","89.4","1"
"013864","Cincinnati Technology Academy","3800 Glenway Ave","Cincinnati","OH","45205-1436","Site Based","Open","D","D","1013941.01","NA","4"
"133306","Summit Academy Community School for Alternative Learn-Canton","1620 Market Ave S","Canton","OH","44707-3778","Site Based","Open","C-","D","2193293.26","97.0","3"
"013082","The Haley School","4556 Warrensville Center Rd","North Randall","OH","44128-4134","Site Based","Open","D+","D","1072371.50","80.6","0"
"013240","Cincinnati State STEM Academy","3520 Central Pkwy Ste 143 Mezz","Cincinnati","OH","45223-2612","Site Based","Open","D-","D","926844.52","86.4","0"
"013249","Academy for Urban Scholars Youngstown","1350 5th Ave Ste 100 106","Youngstown","OH","44504-1765","Site Based","Open","NA","NA","688351.59","NA","10"
"143644","Sciotoville","224 Marshall St","Portsmouth","OH","45662-5549","Site Based","Open","D-","C","2452788.95","91.4","3"
"143396","Alternative Education Academy","1830 Adams St","Toledo","OH","43624-1428","ESchool                                                                ","Open","D-","D","13124984.28","79.4","4"
"014081","Insight School of Ohio","33 N 3rd St Ste 620","Columbus","OH","43215-3534","Site Based","Open","D","C","3057490.58","NA","16"
"014080","Aladdin Academy","585 E Livingston St","Celina","OH","45822-1742","Site Based","Open","D-","D","348225.06","NA","0"
"000770","Maritime Academy of Toledo, The","803 Water St","Toledo","OH","43604-1831","Site Based","Open","D+","C","1860972.70","85.9","6"
"000779","Educational Academy for Boys & Girls","1500 W 3rd Ave","Columbus","OH","43212-2843","Site Based","Open","D-","D","567012.99","86.2","1"
"151233","Lakewood Digital Academy","PO Box 70","Hebron","OH","43025-0070","ESchool                                                                ","Open","C","C","315556.12","62.8","18"
"012052","Imagine on Superior","1500 Superior Ave NE","Canton","OH","44705-1956","Site Based","Open","D+","D","820534.44","97.9","4"
"012054","North Central Academy","928 W Market St Ste B","Tiffin","OH","44883-2529","Site Based","Open","D-","D","716592.92","87.2","8"
"013892","Franklinton Preparatory Academy","40 Chicago Ave","Columbus","OH","43222-1132","Site Based","Open","D-","D","672468.10","NA","0"
"012924","DECA PREP","200 Homewood Ave","Dayton","OH","45405-4328","Site Based","Open","C","C","2333393.68","94.1","5"
"132993","Constellation Schools: Westpark Community Elementary","16210 Lorain Ave","Cleveland","OH","44111-5521","Site Based","Open","A-","B","2321359.09","90.9","1"
"013255","Canton College Preparatory School","2215 3rd St SE","Canton","OH","44707-2724","Site Based","Open","C-","C","762913.46","NA","1"
"013254","Akron Preparatory School","1200 E Market St Ste 3360","Akron","OH","44305-4018","Site Based","Open","C","D","1698294.89","NA","2"
"013253","Ohio College Preparatory School","21100 Southgate Park Blvd","Maple Heights","OH","44137-3004","Site Based","Open","C-","D","1385899.17","NA","2"
"000585","FCI Academy","2177 Mock Rd","Columbus","OH","43219-1258","Site Based","Open","D-","D","2569406.88","89.8","0"
"143297","The Autism Academy Of Learning","219 Page St","Toledo","OH","43620-1430","Site Based","Open","NA","F","1513136.93","88.7","1"
"143479","Constellation Schools: Puritas Community Elementary","15204 Puritas Ave","Cleveland","OH","44135-2716","Site Based","Open","B-","B","1412162.26","89.2","1"
"000909","V L T Academy","1100 Sycamore St","Cincinnati","OH","45202-1321","Site Based","Closed","D-","D","4254199.82","91.1","6"
"014188","Discovery Academy","3835 Secor Rd","Toledo","OH","43623-4402","Site Based","Open","D+","D","787915.65","NA","1"
"014189","West Park Academy","12913 Bennington Ave","Cleveland","OH","44135-3761","Site Based","Open","D-","D","2967129.54","NA","3"
"014187","East Academy","15720 Kipling Ave","Cleveland","OH","44110-3105","Site Based","Open","D","D","2765904.18","NA","0"
"011487","Falcon Academy of Creative Arts","2900 State Route 43","Mogadore","OH","44260-9715","Site Based","Open","C+","B","1268606.78","92.1","7"
"012045","Patriot Preparatory Academy","4938 Beatrice Dr","Columbus","OH","43227-2113","Site Based","Open","C","C","3698106.94","89.4","7"
"012684","Broadway Academy","3398 E 55th St","Cleveland","OH","44127-1691","Site Based","Open","NA","F","2735458.04","84.0","3"
"011468","Columbus Bilingual Academy-North","3360 Kohr Blvd","Columbus","OH","43224-3051","Site Based","Open","D+","D","1609617.98","84.6","0"
"134072","Youngstown Community School","50 Essex St","Youngstown","OH","44502-1838","Site Based","Open","D-","C","2444516.95","92.2","14"
"133678","Riverside Academy","3280 River Rd","Cincinnati","OH","45204-1214","Site Based","Open","D","D","2126664.52","82.8","4"
"133454","Dayton Leadership Academies-Dayton View Campus","1416 W Riverview Ave","Dayton","OH","45402-6217","Site Based","Open","D","D","3185693.41","90.5","3"
"013132","Lake Erie College Preparatory School","14405 Saint Clair Ave","Cleveland","OH","44110-3433","Site Based","Open","C","D","2162473.53","87.6","2"
"000808","Horizon Science Academy-Dayton","4751 sue ann blvd","Dayton","OH","45415","Site Based","Open","C-","D","1254269.82","86.5","4"
"000804","Horizon Science Academy-Cincinnati","1055 Laidlaw Ave","Cincinnati","OH","45237-5005","Site Based","Open","F","D","3275671.86","90.2","4"
"000576","King Academy Community School","224 W Liberty St","Cincinnati","OH","45202-6990","Site Based","Open","C","C","767300.10","82.4","1"
"000577","Emerson Academy","501 Hickory St","Dayton","OH","45410-1232","Site Based","Open","C","C","5576207.07","93.2","5"
"000575","Hope Academy Northwest Campus","1441 W 116th St","Cleveland","OH","44102-2301","Site Based","Open","F","D","2304897.42","76.9","2"
"014065","Lincoln Park Academy","3185 W 41st St","Cleveland","OH","44109-1275","Site Based","Open","F","D","1668059.26","NA","0"
"014064","Winton Preparatory Academy","4750 Winton Rd","Cincinnati","OH","45232-1501","Site Based","Open","D+","D","1044100.72","NA","2"
"014066","Main Street Preparatory Academy","388 S Main St","Akron","OH","44311-1064","Site Based","Open","D-","F","349357.69","NA","4"
"014061","Chapelside Cleveland Academy","3845 E 131st St","Cleveland","OH","44120-4661","Site Based","Open","D-","D","3736920.90","NA","2"
"014063","University Academy","107 S Arlington St","Akron","OH","44306-1328","Site Based","Open","D","D","1043237.73","NA","0"
"011923","Northeast Ohio College Preparatory School","2280 Professor Ave","Cleveland","OH","44113-4467","Site Based","Open","C-","C","4140984.78","86.0","3"
"151035","Pleasant Community Digital","1107 Owens Rd W","Marion","OH","43302-8421","Site Based","Open","NA","NA","689899.06","97.8","11"
"011324","Hardin Community School","1211 W Lima St Ste A","Kenton","OH","43326-8846","Site Based","Open","NA","NA","248980.90","90.7","1"
"000623","Summit Academy-Youngstown","144 N Schenley Ave","Youngstown","OH","44509-2041","Site Based","Open","C-","F","2698481.48","99.2","4"
"000621","Summit Academy Transition High School Dayton","1407 E 3rd St","Dayton","OH","45403-1818","Site Based","Open","D-","D","1492025.96","96.8","4"
"014194","Watkins Academy","24 N Jefferson St","Dayton","OH","45402-2018","Site Based","Open","NA","NA","344660.84","NA","NA"
"000629","Summit Academy Community School - Painesville","268 N State St","Painesville","OH","44077-4009","Site Based","Open","C-","D","1571706.43","96.9","4"
"000396","Mansfield Elective Academy","445 Bowman St","Mansfield","OH","44903-1201","Site Based","Open","D","F","259238.42","87.4","21"
"012078","Quest Community School","12000 Snow Rd Ste 415","Parma","OH","44130-9313","Site Based","Open","D-","D","608867.43","62.8","0"
"012671","Constellation Schools: Eastside Arts Academy","6700 Lansing Ave","Cleveland","OH","44105-3756","Site Based","Open","D","D","786853.35","91.0","0"
"011470","A.B. Graham Academy","370 E Main St","Saint Paris","OH","43072-9200","Site Based","Closed","D-","C","846036.53","91.9","11"
"133660","Horizon Science Academy Columbus","1070 Morse Rd","Columbus","OH","43229-6290","Site Based","Open","B-","B","3023811.36","88.5","4"
"013233","Southern Ohio Academy","522 Glenwood Ave","New Boston","OH","45662-5505","Site Based","Open","D-","D","611667.52","50.0","109"
"013232","A+ Children's Academy","100 Obetz Rd","Columbus","OH","43207-4031","Site Based","Open","D-","D","743066.85","88.3","7"
"132746","Summit Acdy Comm Schl for Alternative Learners of Middletown","4700 Central Ave","Middletown","OH","45044-5354","Site Based","Open","C-","D","1272691.26","96.8","1"
"133280","Washington Park Community","4000 Washington Park Blvd","Newburgh Heights","OH","44105-3248","Site Based","Open","C-","C","1646130.51","91.9","7"
"000564","Virtual Schoolhouse, Inc.","736 Lakeview Rd","Cleveland","OH","44108-2608","Site Based","Open","F","F","4344951.96","83.1","4"
"000560","Apex Academy","16005 Terrace Rd","Cleveland","OH","44112-2001","Site Based","Open","C-","D","4373526.12","91.8","6"
"143453","Mollie Kessler","118 E Wood St","Youngstown","OH","44503-1625","Site Based","Closed","D-","F","778384.60","88.9","10"
"000634","Summit Academy Secondary School - Middletown","7 S Marshall Rd","Middletown","OH","45044-5375","Site Based","Open","D","D","1174530.26","96.8","5"
"000633","Summit Academy Toledo Learning Center","5115 Glendale Ave Ste N","Toledo","OH","43614-1801","Site Based","Open","C","D","2686545.61","97.0","3"
"009181","Clay Avenue Community School","1030 Clay Ave","Toledo","OH","43608-2167","Site Based","Open","C-","D","4061301.62","82.6","4"
"012060","Akros Middle School","265 Park St","Akron","OH","44304-1305","Site Based","Open","C","D","957422.72","92.4","5"
"012668","Garfield Academy","1379 Garfield Ave SW","Canton","OH","44706-5200","Site Based","Open","D+","D","1725761.46","85.3","1"
"009964","Sciotoville Elementary Academy","5540 3rd St","Sciotoville","OH","45662-5402","Site Based","Open","D+","C","1049960.09","87.7","6"
"012536","UBAH Math & Reading Academy","3850 Sullivant Ave","Columbus","OH","43228-4327","Site Based","Open","D","F","1132686.36","84.9","1"
"133439","Cornerstone Academy Community","6015 E Walnut St","Westerville","OH","43081-9620","Site Based","Open","C","B","3712549.37","82.7","2"
"013200","Nexus Academy of Toledo","600 Jefferson Ave","Toledo","OH","43604-1071","Site Based","Open","C-","C","695012.42","83.1","24"
"013201","Nexus Academy of Columbus","4689 Hilton Corporate Dr","Columbus","OH","43232-4152","Site Based","Open","D-","C","691724.09","84.6","31"
"143602","Hamilton Cnty Math & Science","2675 Civic Center Dr","Cincinnati","OH","45231-1311","Site Based","Open","A-","B","3519300.73","92.5","3"
"000825","Horizon Science Academy-Springfield","630 S Reynolds Rd","Toledo","OH","43615-6314","Site Based","Open","C-","D","3241091.32","87.7","3"
"000558","Columbus Preparatory Academy","3330 Chippewa St","Columbus","OH","43204-1653","Site Based","Open","A","A","4164458.03","87.2","6"
"000559","Orion Academy","1798 Queen City Ave","Cincinnati","OH","45214-1427","Site Based","Open","D+","D","3901078.45","93.2","4"
"000553","Columbus Humanities, Arts and Technology Academy","1333 Morse Rd","Columbus","OH","43229-6322","Site Based","Open","C-","D","2423633.46","85.5","0"
"000556","A+ Arts Academy","270 S Napoleon Ave","Columbus","OH","43213-4235","Site Based","Open","C-","D","2456655.41","86.4","3"
"000557","Columbus Arts & Technology Academy","2255 Kimberly Pkwy E","Columbus","OH","43232-7210","Site Based","Open","C","C","3240691.35","87.4","2"
"000951","Toledo Preparatory and Fitness Academy","3001 Hill Ave","Toledo","OH","43607-2932","Site Based","Open","C+","B","1359299.60","100.0","0"
"000952","Columbus Preparatory and Fitness Academy","1258 Demorest Rd","Columbus","OH","43204-7003","Site Based","Open","D","D","1676207.18","100.0","0"
"000953","Mt. Healthy Preparatory and Fitness Academy","7601 Harrison Ave","Cincinnati","OH","45231-3107","Site Based","Open","C","C","1732095.54","100.0","0"
"000736","HBCU Preparatory School 1","12601 Shaker Blvd","Cleveland","OH","44120-2041","Site Based","Open","C-","C","700190.80","100.0","1"
"000738","HBCU Preparatory School 2","12601 Shaker Blvd","Cleveland","OH","44120-2041","Site Based","Open","NA","NA","924164.81","100.0","3"
"133942","Toledo School For The Arts","333 14th St","Toledo","OH","43604-5459","Site Based","Open","B-","B","4709996.33","84.5","7"
"000608","Summit Academy Transition High School-Cincinnati","5800 Salvia Ave","Cincinnati","OH","45224-3029","Site Based","Open","D-","D","1364112.38","96.9","4"
"000609","Summit Academy Middle School - Lorain","346 Illinois Ave","Lorain","OH","44052-2106","Site Based","Open","C-","D","1639063.71","97.2","4"
"009283","Dayton Early College Academy, Inc","300 College Park","Dayton","OH","45469-0001","Site Based","Open","B","B","3116084.03","90.1","5"
"009192","Foundation Academy","1050 Wyandotte Ave","Mansfield","OH","44906-1939","Site Based","Open","C","C","2608906.70","71.7","1"
"009990","Horizon Science Academy Elementary School","2835 Morse Rd","Columbus","OH","43231-6033","Site Based","Open","C-","D","3702044.22","89.2","3"
"009997","KIPP:  Journey Academy","2750 Agler Rd","Columbus","OH","43224-4616","Site Based","Open","C+","D","2380443.70","84.6","1"
"009971","Ashland County Community Academy","716 Union St","Ashland","OH","44805-1823","Site Based","Open","D","F","865310.34","84.7","1"
"134247","City Day Community School","318 S Main St","Dayton","OH","45402-2716","Site Based","Open","D-","D","1230036.41","84.9","2"
"008000","Lorain Preparatory Academy","3038 Leavitt Rd","Lorain","OH","44052-4112","Site Based","Open","C-","D","1258361.81","80.9","2"
"014060","Brown Street Academy","1035 Clay St","Akron","OH","44301-1517","Site Based","Closed","D-","D","1055675.53","NA","0"
"012501","Beacon Hill Academy","PO Box 285","Mount Eaton","OH","44659-0285","Site Based","Open","B-","B","446916.32","94.8","1"
"151175","West Central Learning Academy II","522 W North St","Lima","OH","45801-4215","ESchool                                                                ","Open","B","B","313886.91","82.4","25"
"133421","Graham School, The","3950 Indianola Ave","Columbus","OH","43214-3158","Site Based","Open","D-","C","2034352.93","88.8","3"
"133736","Richard Allen Academy","184 Salem Ave","Dayton","OH","45406-5804","Site Based","Open","F","D","736780.64","98.5","1"
"143610","Arts & College Preparatory Academy","4401 Hilton Corporate Dr","Columbus","OH","43232-4161","Site Based","Open","A-","B","2135650.79","85.5","5"
"132951","Constellation Schools: Lorain Community Elementary","5983 W 54th St","Parma","OH","44129-3854","Site Based","Open","A-","B","1667688.93","87.5","1"
"000546","Winterfield Venture Academy","305 Wenz Rd","Toledo","OH","43615-6244","Site Based","Open","C-","D","3584511.05","92.0","5"
"000543","Pinnacle Academy","860 E 222nd St","Euclid","OH","44123-3317","Site Based","Open","B-","C","4969730.70","92.1","4"
"000541","Constellation Schools: Outreach Academy for Students with Di","3727 Bosworth Rd","Cleveland","OH","44111-6037","Site Based","Open","NA","F","1012331.60","89.4","0"
"142950","Ohio Virtual Academy","1690 Woodlands Dr Ste 200","Maumee","OH","43537-4045","ESchool                                                                ","Open","D-","C","84950053.83","91.2","10"
"000949","Villaview Community School","1701 E 12th St","Cleveland","OH","44114-3236","Site Based","Open","F","F","1139997.26","83.2","0"
"000941","Par Excellence Academy","96 Maholm St","Newark","OH","43055-3906","Site Based","Open","C","C","1006334.19","83.3","0"
"000946","Cleveland Community School","1701 E 12th St","Cleveland","OH","44114-3236","Site Based","Open","D","F","1870667.65","94.7","0"
"000725","Zenith Academy","8210 Havens Rd","Blacklick","OH","43004-8630","Site Based","Open","C","C","3126857.66","96.0","2"
"014148","Provost Academy Ohio","4707 Hilton Corporate Dr","Columbus","OH","43232-4152","Site Based","Open","NA","NA","699223.95","NA","4"
"000616","Summit Academy Alternative LearnersWarren Middle & Secondary","1461 Moncrest Dr NW","Warren","OH","44485-1928","Site Based","Open","C-","D","1937616.64","96.8","3"
"000614","Summit Academy Transition High School-Columbus","1855 E Dublin-Granville Rd","Columbus","OH","43229-3516","Site Based","Open","D-","D","1497354.68","96.8","2"
"000613","Heir Force Community School","PO Box 180","Lima","OH","45802-0180","Site Based","Open","B-","C","2292187.26","89.0","1"
