"District IRN","Name","Address","City","State","Postal Code","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","Charter cost per student","Charter cost per classroom","% Spent in Classroom","% Spent on Administration","Community School Transfer","Funding per Student","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","TOTAL CALCULATED STATE FUNDING","TOTAL ADDITIONAL AID ITEMS","TOTAL ADM","Letter grade of four year graduation rate"
"045419","Hicksville Exempted Village","958 E High St","Hicksville","OH","43526-1258","13","57.1","95.2","908.0","69","13.2","45.4","18.8","5.6","90.2","9.8","31.1","A","B","104.057","A","F","A","C","B","95.9","95.7","4902.39","25.79","644.81","92.8","7.2","-122544.44","4993.621571795735","66.0","64","97.0","97.0","4545727","59041","922","A"
"047928","Dawson-Bryant Local","222 Lane St","Coal Grove","OH","45638-2947","14","36.7","94.4","1165.0","91","12.8","60.2","19.4","0.9",">95.0","<5.0","40.6","C","B","98.671","A","NA","C","C","B","94.3","90.4","7815.66","-4.07","-101.83","94.1","5.9","-91442.04","7883.736046740511","90.0","88","97.8","97.8","8731577","79759","1118","B"
"047514","Riverdale Local","20613 State Route 37","Mt Blanchard","OH","45867-9783","19","58.4","93.9","985.0","75","13.1","45.2","15.6","17.4",">95.0","<5.0","34.5","C","B","98.587","C","C","F","C","C","95.7","92.2","5446.86","17.45","436.24","93.3","6.7","-120977.15","5556.6950596415745","65.0","64","98.5","98.5","5691596","94146","1041","B"
"046672","Mississinawa Valley Local","1469 State Road 47 E","Union City","OH","45390-8628","15","65.2","94.7","680.0","47","14.5","56.8","19.0","7.2","89.4","10.6","37.3","C","B","98.465","A","NA","B","B","B","96.2","89.8","6004.70","32.04","801.07","94.6","5.4","-97223.32","6199.729511886341","38.0","38","100.0","100.0","4293490","113897","711","B"
"048926","Benton Carroll Salem Local","11685 W State Route 163","Oak Harbor","OH","43449-1278","16","71.8","96.1","1611.0","91","17.7","34.0","15.6","7.4","91.6","8.4","29.9","A","B","102.408","A","D","C","B","B","96.6","94.4","2029.33","65.03","1625.75","94.3","5.7","-152505.49","2155.5556626476437","114.0","114","100.0","100.0","3410988","100240","1629","A"
"049031","Wayne Trace Local","4915 US Route 127","Haviland","OH","45851-9738","15","66.9","96","907.0","62","14.6","48.4","15.4","11.5",">95.0","<5.0","32.9","D","B","98.224","F","D","F","F","F","96.1","94.6","4642.55","16.09","402.28","93.8","6.2","-81320.12","4807.747836784053","67.0","67","100.0","100.0","4470708","140980","959","A"
"044305","Maple Heights City","5740 Lawn Ave","Maple Heights","OH","44137-3870","12","42.5","94","3443.0","210","16.4","94.1","14.0","2.8","2.2","97.8","52.2","F","D","81.827","C","NA","B","A","F","92.9","72.7","4286.75","278.16","6954.01","92.5","7.5","-3019708.38","4642.890070754047","214.0","191","89.3","89.3","19322025","285271","4223","F"
"043489","Akron City","70 N Broadway St","Akron","OH","44308-1911","11","62.1","97.6","21265.0","1382","15.4",">95.0","18.9","9.8","38.0","62.0","45.3","F","D","83.523","F","C","D","A","F","93.8","78.4","5533.82","331.03","8275.66","93.1","6.9","-29134278.01","5988.825401231239","1326.0","1309","98.7","98.7","159649302","3034206","27165","F"
"043893","Dover City","219 W 6th St","Dover","OH","44622-2803","17","67.8","96.5","2716.0","167","16.3","34.4","14.0","22.6","90.8","9.2","33.9","B","B","102.227","B","C","D","C","D","96.2","97.1","2198.76","72.96","1823.96","93.8","6.2","-309173.47","2350.6174389921434","184.0","184","100.0","100.0","6281692","207681","2761","A"
"046474","Ridgewood Local","301 S Oak St","West Lafayette","OH","43845-1339","15","63.0","97","1305.0","70","18.6","60.5","12.6","17.5",">95.0","<5.0","31.9","C","B","98.277","F","C","C","F","D","95.4","95.6","5434.30","15.90","397.42","94.8","5.2","-108690.43","5490.3017979292035","105.0","105","100.0","100.0","7291096","53006","1338","A"
"043950","Euclid City","651 E 222nd St","Euclid","OH","44123-2031","14","70.1","95.7","5286.0","375","14.1","73.1","20.6","6.1","12.4","87.6","48.8","F","D","81.879","A","D","A","A","F","93.8","73.6","3918.87","489.15","12228.71","92.9","7.1","-8607702.80","4574.768951182795","300.0","270","90.0","90.0","32402121","965055","7294","F"
