"District IRN","Name","Address","City","State","Postal Code","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","Charter cost per student","Charter cost per classroom","% Spent in Classroom","% Spent on Administration","Community School Transfer","Funding per Student","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","TOTAL CALCULATED STATE FUNDING","TOTAL ADDITIONAL AID ITEMS","TOTAL ADM","Letter grade of four year graduation rate"
"047241","Beavercreek City","3040 Kemp Rd","Beavercreek","OH","45431-2644","15","79.9","95.4","7259.0","402","18.1","14.4","14.3","22.9","84.0","16.0","35.7","A","B","106.505","A","A","A","B","C","95.5","94.8","1137.89","129.73","3243.20","94.3","5.7","-1289184.86","1446.4323266234237","508.0","504","99.2","99.2","10014625","773764","7459","A"
"049064","Southern Local","10397 State Route 155 SE # 1","Corning","OH","43730-9710","14","51.8","95","679.0","54","12.6","66.9","24.0","14.4",">95.0","<5.0","36.5","D","B","96.268","A","C","A","C","F","94.4","85.7","8687.04","-20.66","-516.61","92.3","7.7","-88953.30","8756.549832917839","49.0","48","98.0","98.0","6536561","66928","754","C"
"049148","Waverly City","1 Tiger Dr","Waverly","OH","45690-8704","14","63.5","95.1","1832.0","101","18.1","68.7","14.4","12.0","93.5","6.5","36.3","F","C","92.702","C","C","A","A","F","93.3","82.6","5930.14","23.29","582.33","94.5","5.5","-241431.61","6054.483721310888","122.0","109","89.3","89.3","11642129","194447","1955","D"
"045112","Wilmington City","341 S Nelson Ave","Wilmington","OH","45177-2034","14","60.2","95.7","3036.0","160","19.0","54.4","10.2","11.4","83.5","16.5","39.2","D","B","96.279","A","C","C","C","F","94.4","87.2","2345.33","217.46","5436.53","93.7","6.3","-1069069.87","2636.0738134289645","184.0","170","92.4","92.4","8555229","236156","3335","C"
"046649","Franklin Monroe Local","PO Box 78","Pitsburg","OH","45358-0078","16","72.4","94.4","737.0","40","18.4","21.0","9.5","19.1",">95.0","<5.0","33.2","A","B","105.148","F","D","C","C","B","96.3","98.4","4819.69","12.89","322.33","92.1","7.9","-37391.79","4840.231992034608","37.0","37","100.0","100.0","2815124","4408","583","A"
"046318","Bethel-Tate Local","675 West Plane Street","Bethel","OH","45106","17","74.6","95.7","1701.0","103","16.5","46.4","13.1","17.9",">95.0","<5.0","38.2","B","B","100.799","A","B","B","A","B","95.5","97.2","5442.23","30.51","762.82","93.6","6.4","-323514.86","5571.071452189859","106.0","106","100.0","100.0","9105381","161261","1663","A"
"045443","Leetonia Exempted Village","450 Walnut St","Leetonia","OH","44431-1075","20","64.1","94.5","747.0","50","14.9","57.7","21.4","11.8",">95.0","<5.0","40.5","C","B","98.622","A","C","A","C","C","93.5","88.7","6179.42","23.69","592.22","93.9","6.1","-101850.52","6285.144601674457","41.0","41","100.0","100.0","4831826","62793","779","C"
"047738","South Central Local","3305 Greenwich Angling Rd","Greenwich","OH","44837-9443","18","62.3","96.1","835.0","56","14.9","47.9","15.1","4.4",">95.0","<5.0","35.9","B","B","100.298","C","C","C","C","B","95.3","95.7","5836.80","23.23","580.64","94.1","5.9","-110706.95","5983.707876664","58.0","58","100.0","100.0","4984272","104034","850","A"
"046482","River View Local","26496 State Route 60","Warsaw","OH","43844-9714","13","66.3","95.1","2106.0","144","14.6","52.0","18.9","23.2",">95.0","<5.0","33.5","C","B","99.605","F","F","F","C","D","95.3","93.0","3689.24","90.52","2263.11","92.7","7.3","-447408.93","3864.9185701830866","153.0","152","99.3","99.3","8242731","180086","2179","A"
"047415","Arcadia Local","19033 State Route 12","Arcadia","OH","44804-9714","13","55.6","95.9","557.0","35","15.9","34.8","9.2","19.7","90.5","9.5","27.3","B","B","100.667","F","C","NA","D","C","96.8","97.9","3630.36","75.55","1888.68","92.6","7.4","-78536.38","3819.845978263146","41.0","41","100.0","100.0","1770974","53117","478","A"
"046094","Edgewood City","3440 Busenbark Rd","Trenton","OH","45067-7612","12","75.8","94.9","3521.0","207","17.0","36.9","14.7","9.2","94.5","5.5","34.1","C","B","97.369","F","F","A","C","D","94.8","91.2","4097.71","87.60","2189.89","95.6","4.4","-733263.03","4247.610344066371","241.0","233","96.7","96.7","14983150","217646","3579","B"
"046722","Northeastern Local","5921 Domersville Rd","Defiance","OH","43512-9121","18","66.9","95.6","1083.0","72","15.0","21.2","11.9","10.4","87.6","12.4","32.7","A","B","103.067","B","C","C","D","C","97.4","89.9","2005.30","27.87","696.73","93.4","6.6","-47798.40","2105.1454769624183","75.0","75","100.0","100.0","2227675","77354","1095","B"
"047340","Forest Hills Local","7550 Forest Rd","Cincinnati","OH","45255-4307","15","75.8","96.4","7203.0","428","16.8","14.6","9.2","30.4","90.4","9.6","31.3","A","B","106.888","A","A","C","C","C","97.1","97.8","2312.85","33.95","848.76","94.3","5.7","-396415.26","2403.073235982154","516.0","515","99.8","99.8","17186191","410626","7323","A"
"047068","Fayette Local","400 E Gamble Rd","Fayette","OH","43521-9462","18","87.9","96.1","414.0","31","13.4","44.4","15.2","14.3","84.5","15.5","26.7","C","B","100.457","A","NA","C","C","C","94.8","87.9","5576.35","15.30","382.54","93.5","6.5","-54032.40","5698.158211773167","18.0","18","100.0","100.0","2492173","42994","445","C"
"046946","Canal Winchester Local","100 Washington St","Canal Winchester","OH","43110-1224","13","69.7","93.9","3539.0","207","17.1","32.4","11.6","18.5","69.7","30.3","35.9","A","B","102.657","A","B","B","A","B","95.1","94.5","3670.46","129.94","3248.40","93.3","6.7","-1082589.85","3923.4224753355406","266.0","266","100.0","100.0","13942360","445693","3667","A"
"049718","New Riegel Local","44 N Perry St","New Riegel","OH","44853-9776","14","69.3","96.2","373.0","29","12.9","27.6","11.0","21.7",">95.0","<5.0","23.5","B","B","100.343","F","F","NA","NA","D","97.0","96.4","5538.98","4.42","110.53","91.8","8.2","-30357.88","5602.841744360902","23.0","23","100.0","100.0","1843485","19460","332","A"
"046862","Bloom-Carroll Local","5240 Plum Rd","Carroll","OH","43112-9716","16","50.4","94.6","1902.0","96","19.8","19.2","10.5","21.5",">95.0","<5.0","40.5","A","B","103.545","B","C","A","C","B","95.3","97.7","1853.50","129.04","3226.02","92.2","7.8","-322920.69","2027.3578959732856","132.0","128","97.0","97.0","3552811","71720","1788","A"
"044644","Piqua City","719 E Ash St","Piqua","OH","45356-2411","12","77.1","95.5","3401.0","196","17.4","54.2","15.6","13.0","85.9","14.1","38.8","D","C","94.264","F","C","C","C","F","94.9","88.5","3561.26","93.26","2331.60","92.8","7.2","-739507.96","3759.0692642677054","272.0","270","99.3","99.3","13560491","380205","3709","C"
"043679","Bryan City","1350 Fountain Grove Dr","Bryan","OH","43506-8733","15","70.1","94.6","1967.0","140","14.1","38.9","16.0","10.8","90.2","9.8","34.6","A","B","100.004","A","B","D","C","C","95.5","95.8","2696.75","97.64","2440.94","94.1","5.9","-297609.73","2886.914922209375","127.0","123","96.9","96.9","5517296","175585","1972","A"
"044768","Sheffield-Sheffield Lake City","1824 Harris Rd","Sheffield Village","OH","44054-2628","9","69.8","94.2","1726.0","122","14.1","48.4","12.6","15.9","84.5","15.5","35.0","B","B","100.269","A","C","A","A","C","95.3","91.2","2477.95","247.93","6198.34","92.4","7.6","-639726.03","2812.8631982443303","113.0","113","100.0","100.0","4662916","143564","1709","B"
"046896","Pickerington Local","90 East St.","Pickerington","OH","43147-1061","13","80.7","94.4","9746.0","515","18.9","23.6","14.5","29.9","64.0","36.0","33.8","B","B","102.346","A","D","C","C","C","95.4","95.4","4268.53","83.68","2091.91","93.3","6.7","-2196624.72","4421.369532569653","698.0","696","99.7","99.7","44612552","696450","10248","A"
"047746","Western Reserve Local","3765 US Rt 20","Collins","OH","44826","15","61.4","93","1200.0","75","16.0","37.9","14.5","5.6",">95.0","<5.0","34.3","C","B","98.743","F","C","A","C","D","95.1","90.2","5029.60","42.61","1065.30","92.8","7.2","-216354.74","5156.801562567074","76.0","76","100.0","100.0","5908688","97697","1165","B"
"045203","Barnesville Exempted Village","210 W Church St","Barnesville","OH","43713-1069","16","53.9","94.1","1265.0","76","16.6","42.1","14.9","24.0",">95.0","<5.0","33.9","B","B","97.603","F","F","F","F","F","95.1","87.7","5082.83","14.44","360.91","94.4","5.6","-97404.52","5142.67173373247","99.0","98","99.0","99.0","5892292","51762","1156","C"
"045369","Fairport Harbor Exempted Village","329 Vine St","Fairport Harbor","OH","44077-5741","12","58.2","94.6","575.0","33","17.4","NA","11.3","NA","83.0","17.0","51.1","B","B","99.357","C","NA","C","C","B","95.6","85.4","2926.65","191.92","4797.88","92.6","7.4","-119795.90","3118.113750409764","46.0","42","91.3","91.3","1236550","0","397","C"
"048306","Boardman Local","7410 Market St","Youngstown","OH","44512-5612","15","70.3","94.5","4335.0","272","15.9","42.7","14.3","11.1","76.7","23.3","36.7","A","B","104.067","A","A","D","C","C","95.6","92.2","1333.14","150.83","3770.82","94.5","5.5","-864154.60","1542.5839945265814","295.0","294","99.7","99.7","6947526","267371","4677","B"
"050021","Hudson City","2400 Hudson Aurora Rd","Hudson","OH","44236-2322","18","87.3","95.4","4450.0","288","15.5","5.6","15.0","41.7","89.5","10.5","100.0","A","A","109.805","A","A","A","C","B","96.3","96.1","2340.56","24.07","601.65","93.5","6.5","-167901.16","2390.078613460425","331.0","331","100.0","100.0","10703327","108863","4524","A"
"047985","Johnstown-Monroe Local","441 S Main St","Johnstown","OH","43031-1297","10","75.2","95.6","1554.0","104","14.9","25.4","10.6","22.5",">95.0","<5.0","35.0","A","B","103.278","A","C","A","B","D","94.8","95.8","2682.80","221.23","5530.83","93.1","6.9","-544734.78","2981.387808732956","125.0","123","98.4","98.4","4631604","121981","1594","A"
"050591","Triway Local","3205 Shreve Rd","Wooster","OH","44691-4439","15","65.0","97","1780.0","126","14.1","38.3","11.1","15.7",">95.0","<5.0","32.6","A","B","103.934","A","C","F","C","B","95.3","92.3","3759.83","59.24","1480.88","94.5","5.5","-258054.36","3877.4338052169355","133.0","133","100.0","100.0","7003351","96075","1831","B"
"046268","Northwestern Local","5610 Troy Rd","Springfield","OH","45502-9032","17","67.3","96.5","1778.0","96","18.5","31.7","12.4","17.7","92.7","7.3","36.7","B","B","100.403","A","C","A","A","C","95.1","93.5","3510.64","82.72","2067.99","94.2","5.8","-317913.10","3768.6400424945446","108.0","108","100.0","100.0","6333163","229547","1741","A"
"049668","Wheelersburg Local","PO Box 340","Wheelersburg","OH","45694-0340","15","81.4","95.2","1481.0","86","17.2","44.2","11.3","22.3","94.6","5.4","33.1","A","B","102.332","C","D","F","D","C","95.1","98.1","4818.16","83.87","2096.71","94.0","6.0","-437720.99","4932.30882563603","104.0","104","100.0","100.0","6844921","41371","1396","A"
"045161","Youngstown City","PO Box 550","Youngstown","OH","44501-0550","14","53.9","92.5","5111.0","404","12.7",">95.0","20.0","3.7","15.2","84.8","52.5","F","D","77.705","F","D","D","F","F","91.9","69.2","7981.22","102.23","2555.63","93.7","6.3","-22250651.96","8281.620190888714","280.0","245","87.5","87.5","81565448","1489927","10029","F"
"045385","Gibsonburg Exempted Village","301 S Sunset Ave","Gibsonburg","OH","43431-1264","17","74.7","96.9","1049.0","63","16.7","38.9","12.5","15.1","85.8","14.2","24.9","C","B","97.349","F","F","C","F","F","96.1","93.5","5479.65","51.02","1275.45","93.5","6.5","-105184.44","5587.023910812669","71.0","71","100.0","100.0","5552026","55837","1004","A"
"048942","Genoa Area Local","2810 N Genoa Clay Center Rd","Genoa","OH","43430-9730","15","45.6","94.9","1426.0","78","18.3","34.8","10.8","7.3","90.0","10.0","32.9","C","B","99.568","B","C","C","C","D","95.5","94.6","3752.49","79.10","1977.56","92.8","7.2","-222630.35","3908.7723673504966","85.0","83","97.6","97.6","5274239","106421","1377","A"
"048538","Southern Local","920 Elm St","Racine","OH","45771-8902","6","26.7","95.3","695.0","58","12.0","69.4","15.3","11.7",">95.0","<5.0","30.8","C","B","97.815","F","A","A","B","B","95.5","95.2","5722.17","44.92","1123.00","91.5","8.5","-150445.68","5931.8607892347945","46.0","44","95.7","95.7","4323282","120156","749","A"
"049437","Lexington Local","103 Clever Ln","Lexington","OH","44904-1209","16","67.7","95.7","2382.0","147","16.2","26.1","13.7","22.3","89.8","10.2","34.2","A","B","105.596","A","A","C","C","B","95.9","93.1","3376.22","109.65","2741.13","94.7","5.3","-581992.87","3566.4097067194466","148.0","148","100.0","100.0","9110065","187779","2607","A"
"048124","Avon Lake City","175 Avon Belden Rd","Avon Lake","OH","44012-1600","17","85.1","95.8","3571.0","219","16.3","7.0","9.9","21.8","92.7","7.3","30.2","A","A","108.349","B","D","C","C","B","97.5","98.0","484.02","94.76","2369.12","94.5","5.5","-383319.39","649.2206998102549","265.0","264","99.6","99.6","2136840","261660","3694","A"
"049809","Jackson Center Local","PO Box 849","Jackson Center","OH","45334-0849","20","82.9","97.2","511.0","36","14.2","33.7","17.2","8.6",">95.0","<5.0","32.7","B","B","101.222","C","NA","NA","F","D","96.1","95.0","3539.77","58.66","1466.47","93.1","6.9","-64612.90","3946.512412282481","40.0","40","100.0","100.0","1778012","167856","493","A"
"044495","Niles City","309 N Rhodes Ave","Niles","OH","44446-3821","16","33.1","94.7","2476.0","166","14.9","65.8","13.8","14.1","88.5","11.5","40.4","C","B","96.805","B","C","A","B","D","93.3","84.5","4873.32","249.22","6230.48","92.2","7.8","-1388758.03","5174.532358780404","160.0","157","98.1","98.1","13865526","130704","2705","C"
"061903","Adams County/Ohio Valley Local","141 Lloyd Rd","West Union","OH","45693-8974","15","68.4","93.6","3884.0","266","14.6","63.4","18.0","13.2",">95.0","<5.0","34.7","D","B","96.359","C","F","A","A","F","95.0","89.8","6876.86","-5.65","-141.36","93.9","6.1","-566019.75","6955.015517962729","301.0","268.0","89.0","83.8","27268619","326518","3968","B"
"043711","Canton City","1312 5th St SW","Canton","OH","44707-4657","13","66.6","94.5","9084.0","645","14.1","84.2","16.7","9.6","46.5","53.5","46.8","F","D","83.774","F","F","C","F","F","94.0","74.8","6605.59","170.26","4256.40","93.4","6.6","-8321381.94","6899.472981387555","604.0","537","88.9","88.9","72034226","1095772","10599","F"
"045062","Westlake City","27200 Hilliard Blvd","Westlake","OH","44145-3049","16","83.1","94.6","3711.0","264","14.1","19.1","14.3","18.6","84.8","15.2","32.7","A","B","106.765","A","A","C","B","C","95.7","92.9","470.59","136.16","3403.95","94.7","5.3","-593255.83","732.7033695060337","231.0","231","100.0","100.0","2404861","488328","3949","B"
"050658","Stryker Local","400 S Defiance St","Stryker","OH","43557-9307","14","53.3","96.6","399.0","40","10.0","42.1","13.3","16.5","90.0","10.0","37.9","D","C","90.802","F","NA","C","C","F","94.6","100.0","4286.24","45.53","1138.36","91.6","8.4","-71568.95","4381.319348766006","36.0","36","100.0","100.0","2094503","23383","483","A"
"047761","Oak Hill Union Local","205 Western Ave","Oak Hill","OH","45656-1068","13","75.0","95.1","1261.0","93","13.6","59.7","15.5","22.0",">95.0","<5.0","31.4","C","B","97.011","C","D","A","C","F","94.2","94.6","6510.24","-10.26","-256.49","93.6","6.4","-189885.10","6592.941794246559","88.0","88","100.0","100.0","8437597","106328","1296","A"
"044164","Kent City","321 N Depeyster St","Kent","OH","44240-2514","10","56.4","95.5","3265.0","285","11.5","42.5","14.2","20.2","72.9","27.1","41.5","A","B","101.837","A","C","B","A","B","94.9","92.9","4209.63","63.99","1599.64","93.8","6.2","-544058.41","4404.361103575138","171.0","171","100.0","100.0","12938190","374167","3023","B"
"050153","Mathews Local","4434B Warren Sharon Rd","Vienna","OH","44473-9644","14","67.4","93.8","792.0","57","13.9","35.2","17.0","20.6",">95.0","<5.0","33.5","C","B","98.66","F","C","C","D","F","95.2","91.7","2899.48","117.88","2947.02","92.4","7.6","-179959.69","3034.2556162343303","58.0","58","100.0","100.0","2432371","12329","806","B"
"047019","Hilliard City","2140 Atlas St","Columbus","OH","43228-9647","16","70.8","95.1","14732.0","878","16.8","24.9","11.4","14.3","76.0","24.0","33.0","A","B","104.283","A","A","A","A","B","96.4","94.1","2269.41","93.08","2326.89","94.7","5.3","-2118661.18","2459.9258925024305","1092.0","1088","99.6","99.6","36753735","1326779","15480","A"
"044248","Logan-Hocking Local","2019 E Front St","Logan","OH","43138","16","70.1","95.1","3987.0","234","17.0","56.9","17.9","14.8",">95.0","<5.0","32.4","B","B","99.086","F","B","C","F","C","95.1","94.8","5111.65","33.73","843.15","94.5","5.5","-676875.66","5244.643504928698","244.0","236","96.7","96.7","20763711","390664","4034","A"
"049890","Minerva Local","406 East St","Minerva","OH","44657-1429","25","71.6","96.4","1833.0","99","18.5","48.1","15.4","13.7",">95.0","<5.0","35.4","C","B","97.505","A","D","B","C","F","95.2","92.7","5007.20","42.08","1052.05","92.7","7.3","-316717.55","5138.809561141238","124.0","118","95.2","95.2","9341712","162876","1850","B"
"045666","Windham Exempted Village","9530 Bauer Ave","Windham","OH","44288-1004","15","58.4","95.6","604.0","50","12.1","79.6","22.5","7.3","88.2","11.8","34.7","D","C","94.329","F","NA","F","F","B","93.7","89.4","8205.64","-52.87","-1321.70","93.1","6.9","-125618.11","8275.339318803493","37.0","36","97.3","97.3","5569742","57323","680","B"
"049320","Continental Local","5211 State Route 634","Continental","OH","45831-9155","20","65.8","95.9","492.0","39","12.6","38.2","22.2","18.5","94.3","5.7","37.4","A","B","102.003","F","F","D","C","D","96.4","97.4","5833.42","40.95","1023.79","93.4","6.6","-82226.21","5954.584294517301","25.0","25","100.0","100.0","3346231","45560","570","A"
"044792","South Euclid-Lyndhurst City","5044 Mayfield Rd","Lyndhurst","OH","44124-2605","13","81.9","94.3","3583.0","264","13.6","53.8","16.7","9.5","26.7","73.3","44.4","D","C","92.968","C","F","A","A","C","95.0","86.4","1555.66","150.25","3756.37","92.6","7.4","-782301.80","1804.2504938169996","227.0","224","98.7","98.7","6649646","365425","3888","C"
"048629","Miami East Local","3825 N State Route 589","Casstown","OH","45312-9707","16","79.7","95.9","1282.0","69","18.6","25.3","9.0","33.2",">95.0","<5.0","34.7","A","B","102.855","A","B","B","C","C","96.6","98.9","3670.37","33.60","840.02","93.6","6.4","-106653.45","3780.2144148159155","95.0","95","100.0","100.0","4506528","73845","1212","A"
"048231","Washington Local","3505 W Lincolnshire Blvd","Toledo","OH","43606-1231","15","74.2","96","6602.0","450","14.7","57.6","11.8","13.4","73.9","26.1","42.9","D","B","96.45","A","C","B","A","F","95.4","83.5","2844.12","230.70","5767.40","93.6","6.4","-2711352.72","3153.395632340713","451.0","432","95.8","95.8","22262399","529304","7228","D"
"047183","Chardon Local","428 North St","Chardon","OH","44024-1036","14","79.9","96.1","2886.0","178","16.2","15.1","11.2","19.3","93.7","6.3","31.4","A","B","105.974","B","A","B","C","B","96.4","91.6","1671.17","141.62","3540.49","93.6","6.4","-574245.83","1907.347681877098","214.0","214","100.0","100.0","5461817","277201","3009","B"
"048991","Antwerp Local","303 S. Harrmann Rd","Antwerp","OH","45813","13","69.0","97","671.0","46","14.6","35.2","15.9","14.8","93.1","6.9","30.3","B","B","103.269","D","B","C","D","B","95.8","100.0","5322.53","67.02","1675.40","93.0","7.0","-141168.25","5622.017426440762","49.0","49","100.0","100.0","3458584","145017","641","A"
"048330","Lowellville Local","52 Rocket Place","Lowellville","OH","44436","10","19.0","96.7","597.0","51","11.7","45.2","14.2","14.4","89.8","10.2","30.3","A","B","106.34","C","D","B","D","A","94.2","94.0","6905.22","6.32","157.88","89.4","10.6","-15143.65","6926.1479187151745","45.0","45","100.0","100.0","2108737","4431","305","A"
"048751","Huber Heights City","5954 Longford Rd","Huber Heights","OH","45424-2943","17","72.9","94.5","5923.0","315","18.8","51.3","15.5","8.2","63.7","36.3","41.8","D","C","94.53","D","B","C","D","F","94.2","82.3","3776.59","207.92","5197.89","95.3","4.7","-3933499.19","4155.147210700457","374.0","353","94.4","94.4","27099851","628942","6673","D"
"048587","St Henry Consolidated Local","391 E Columbus St","Saint Henry","OH","45883-9574","16","80.3","95.8","965.0","65","14.8","10.6","12.3","26.4",">95.0","<5.0","26.1","A","B","107.764","F","C","C","C","B","97.7","98.7","5573.46","5.69","142.18","94.0","6.0","-16143.74","5666.726745952956","66.0","66","100.0","100.0","5507559","86294","987","A"
"049932","Plain Local","901 44th St NW","Canton","OH","44709-1611","15","67.7","96.4","5920.0","302","19.6","43.1","13.7","30.8","74.8","25.2","40.9","B","B","101.688","A","B","A","A","D","95.9","93.9","2550.85","182.55","4563.70","94.4","5.6","-1656926.33","2808.2677521767328","390.0","388","99.5","99.5","16996672","455560","6215","A"
"045948","Minster Local","50 E 7th St","Minster","OH","45865-1095","19","90.4","96.4","864.0","56","15.4","9.5","9.6","27.5",">95.0","<5.0","26.8","A","A","109.775","A","A","D","NA","B","97.4","96.3","2811.81","21.59","539.78","94.8","5.2","-38319.15","2918.0791958816776","54.0","54","100.0","100.0","2493872","73950","880","A"
"046045","Fayetteville-Perry Local","551 S Apple St","Fayetteville","OH","45118-8461","16","53.3","94.5","889.0","53","16.8","37.7","13.7","9.4",">95.0","<5.0","30.4","D","B","97.841","C","B","C","A","C","95.7","94.8","5471.39","69.07","1726.71","93.6","6.4","-146329.65","5595.991477599908","60.0","58","96.7","96.7","4330283","42816","781","A"
"043562","Bedford City","475 Northfield Rd","Bedford","OH","44146-2201","12","47.6","96.4","3321.0","228","14.6","67.0","17.6","5.2","10.5","89.5","46.0","F","C","90.601","A","A","C","A","F","95.1","78.5","1323.26","298.57","7464.32","92.1","7.9","-1390124.15","1755.1957634126306","224.0","218","97.3","97.3","5965233","466279","3664","F"
"044420","Mount Vernon City","300 Newark Rd","Mount Vernon","OH","43050-4510","16","68.1","94.5","3805.0","249","15.3","55.0","18.9","18.8","90.4","9.6","38.3","C","B","99.045","D","D","C","F","F","95.1","87.9","3166.16","123.37","3084.35","91.9","8.1","-942074.81","3377.220515958392","257.0","256","99.6","99.6","13341526","346484","4053","C"
"044388","Medina City","739 Weymouth Rd","Medina","OH","44256-2037","14","78.6","94.5","6711.0","357","18.8","17.5","11.6","27.7","91.1","8.9","29.5","A","B","103.256","C","B","B","C","D","95.6","96.6","2151.48","113.28","2831.92","94.2","5.8","-1222930.99","2325.507245731833","515.0","514","99.8","99.8","16296366","425054","7190","A"
"049411","Clear Fork Valley Local","92 Hines Ave","Bellville","OH","44813-1232","14","53.9","96.7","1699.0","112","15.2","41.0","15.4","14.4",">95.0","<5.0","33.7","A","B","101.128","F","D","F","C","B","95.7","94.3","4807.68","43.43","1085.77","95.1","4.9","-298793.36","4962.5488819094","117.0","116","99.1","99.1","8253503","183922","1700","A"
"043810","Conneaut Area City","400 Mill St","Conneaut","OH","44030-2442","14","74.7","94.5","1728.0","114","15.2","61.4","14.9","10.0","91.4","8.6","33.1","D","C","95.868","A","C","A","A","F","95.0","82.1","6050.19","34.49","862.28","93.8","6.2","-555226.33","6191.353541535713","121.0","121","100.0","100.0","11041998","186765","1814","D"
"043760","Circleville City","388 Clark Dr","Circleville","OH","43113-1517","13","67.5","95.6","2058.0","128","16.1","73.7","15.4","16.9","90.7","9.3","37.4","D","C","95.87","F","F","D","F","F","94.3","95.5","4377.30","124.45","3111.26","93.8","6.2","-739785.39","4540.95359358901","129.0","125","96.9","96.9","9833407","82900","2184","A"
"050716","Northwood Local","500 Lemoyne Rd","Northwood","OH","43619-1810","19","76.8","96.5","1035.0","55","18.8","49.6","14.5","10.5","81.8","18.2","38.2","C","B","99.551","A","F","C","A","D","95.3","92.8","2982.64","79.70","1992.46","93.9","6.1","-132007.34","3192.3144443527567","70.0","68","97.1","97.1","2599513","108496","848","B"
"045013","Washington Court House City","306 Highland Ave","Washington Court Hou","OH","43160-1819","15","73.6","95.3","2255.0","137","16.5","65.2","19.4","11.6","87.7","12.3","38.5","D","C","94.938","A","A","A","A","F","95.3","93.3","5069.25","41.35","1033.87","93.5","6.5","-378270.61","5243.812629121005","169.0","162","95.9","95.9","12350562","315186","2415","A"
"044545","North Royalton City","6579 Royalton Rd","North Royalton","OH","44133-4925","10","53.0","95.3","4458.0","246","18.1","17.5","9.7","28.2","88.2","11.8","34.0","A","B","107.319","A","A","B","A","B","96.1","95.4","961.64","158.88","3972.10","93.7","6.3","-811034.54","1192.8875279330841","273.0","272","99.6","99.6","5065866","336340","4529","A"
"044016","Fremont City","500 W State St","Fremont","OH","43420-2572","13","59.0","96.4","4211.0","255","16.5","60.0","16.1","9.0","60.6","39.4","33.8","D","C","94.283","A","C","A","C","F","95.5","91.1","2805.43","87.64","2191.03","92.7","7.3","-708730.08","2999.598843043106","315.0","313","99.4","99.4","12893079","469504","4455","B"
"050542","Dalton Local","PO Box 514","Dalton","OH","44618-0514","18","59.1","96.8","877.0","55","15.9","25.0","10.3","11.5",">95.0","<5.0","30.6","A","B","106.187","C","D","D","C","B","96.4","95.9","3352.15","68.37","1709.19","92.9","7.1","-132971.87","3474.938187489739","68.0","68","100.0","100.0","2914868","48351","853","A"
"048439","Ridgedale Local","3103 Hillman Ford Rd","Morral","OH","43337-9302","19","50.5","94.7","759.0","55","13.8","52.6","12.9","15.5",">95.0","<5.0","40.6","D","C","94.884","C","B","C","C","D","93.8","90.6","4117.73","161.45","4036.28","92.4","7.6","-286112.05","4368.520627718452","55.0","52","94.5","94.5","2961234","61914","692","B"
"044941","Urbana City","711 Wood St","Urbana","OH","43078-1498","15","72.8","94.6","2023.0","136","14.9","49.9","19.0","10.7","85.4","14.6","36.0","D","C","95.119","A","D","C","B","F","95.0","83.0","4186.55","167.33","4183.17","94.1","5.9","-977938.77","4667.288984429988","133.0","131","98.5","98.5","9842470","568245","2231","D"
"047621","Fairfield Local","11611 State Route 771","Leesburg","OH","45135-8601","13","65.1","95.6","957.0","52","18.4","39.7","10.2","9.8",">95.0","<5.0","41.1","B","B","103.297","A","B","B","A","B","96.1","88.5","5437.67","16.06","401.53","91.9","8.1","-142124.76","5512.97555076823","71.0","71","100.0","100.0","5361924","63285","984","C"
"045401","Greenfield Exempted Village","200 N 5th St","Greenfield","OH","45123-1373","13","53.1","95.1","1959.0","122","16.1","56.3","12.3","10.5","94.9","5.1","36.1","D","C","93.137","F","C","D","C","F","95.1","82.8","6298.03","8.61","215.36","91.6","8.4","-413875.49","6350.003071849552","122.0","122","100.0","100.0","13118879","90271","2080","D"
"047936","Fairland Local","228 Private Drive 10010","Proctorville","OH","45669-8600","10","39.4","95","1649.0","99","16.7","46.9","18.2","7.9",">95.0","<5.0","33.5","A","B","104.037","B","B","D","C","B","95.3","95.5","4787.80","64.24","1605.91","94.2","5.8","-333043.71","4919.1423018332725","130.0","129","99.2","99.2","8315979","112135","1713","A"
"047613","Bright Local","PO Box 299","Mowrystown","OH","45155-0299","13","71.4","95.5","715.0","51","14.0","59.2","17.3","6.9",">95.0","<5.0","38.7","F","C","87.526","F","NA","C","F","F","94.7","94.6","5981.62","2.13","53.22","95.4","4.6","-138223.05","6072.50079848353","48.0","48","100.0","100.0","4610169","66932","770","A"
"046763","Olentangy Local","814 Shanahan Rd Ste 100","Lewis Center","OH","43035-9078","11","77.9","95.9","17700.0","1019","17.4","6.9","10.9","45.2","81.0","19.0","32.5","A","A","108.721","A","A","A","A","B","96.3","97.7","397.07","66.75","1668.70","95.1","4.9","-1236898.41","536.061828017952","1501.0","1500","99.9","99.9","8241570","1213553","17638","A"
