"School IRN","School Name","Address","City","State","Postal Code","County","District IRN","District Name","Grades Served","# of students","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white"
"024505","Oakwood Middle School","2300 Schneider St NE","Canton","OH","44721-3360","Stark","049932","Plain Local","7-8","900","A","B","104.252","A","C","A","A","C","95.7","NA","NA","NA","43.1","14.0","37.3","76.2","23.8"
"006304","Chippewa Elementary School","8611 Wiese Rd","Brecksville","OH","44141-2046","Cuyahoga","043646","Brecksville-Broadview Heights City","K-3","324","A","A","111.374","NA","NA","NA","NA","A","96.9","NA","97.8","NA","7.1","9.6","20.4","85.2","14.8"
"002683","River Valley Middle School","8779 State Route 160","Bidwell","OH","45614-9010","Gallia","065680","Gallia County Local","6-8","387","B","B","100.570","C","F","A","B","D","94.6","NA","NA","NA","69.0","13.7","14.2",">95.0","<5.0"
"031724","Ridgewood Elementary School","4237 Dublin Rd","Hilliard","OH","43026-2725","Franklin","047019","Hilliard City","K-5","514","A","B","103.408","D","D","C","C","D","97.0","NA","93.4","NA","17.1","11.9","7.2","81.3","18.7"
"038307","Columbus Grove Middle School","201 W Cross St","Columbus Grove","OH","45830-1237","Putnam","049312","Columbus Grove Local","5-8","246","C","B","100.786","A","B","C","C","D","96.9","NA","NA","NA","34.6","13.4","17.1","90.2","9.8"
"040246","Wells Academy","420 N 4th St","Steubenville","OH","43952-2022","Jefferson","044826","Steubenville City","K-4,P","255","A","A","117.000","C","F","NA","NA","A","96.4","NA","100.0","NA",">95.0","7.5","20.8","80.4","19.6"
"002444","Western Reserve Middle School","13850 W Akron Canfield Rd","Berlin Center","OH","44401-9752","Mahoning","048397","Western Reserve Local","6-8","181","B","B","101.631","A","A","C","C","B","96.1","NA","NA","NA","33.1","18.2","7.7",">95.0","<5.0"
"091371","Fairbanks Middle School","11158 State Route 38","Milford Center","OH","43045-9764","Union","050328","Fairbanks Local","6-8","247","A","B","102.904","A","D","B","C","C","96.8","NA","NA","NA","20.2","10.1","31.2","93.9","6.1"
"001792","Bay High School","29230 Wolf Rd","Bay Village","OH","44140-1809","Cuyahoga","043547","Bay Village City","9-12","789","A","A","109.011","NA","NA","NA","NA","A","95.7","NA","NA","A","7.6","11.8","38.5","93.8","6.2"
"037176","Thornville Elementary School","70 E Columbus St","Thornville","OH","43076","Perry","049056","Northern Local","K-5","335","C","B","99.432","A","C","C","C","C","96.6","NA","98.1","NA","40.6","8.4","15.2",">95.0","<5.0"
"020990","Lincolnview Jr/Sr High School","15945 Middle Point Rd","Van Wert","OH","45891-9769","Van Wert","050369","Lincolnview Local","7-12","402","B","B","101.096","F","F","D","C","D","95.0","NA","NA","A","34.1","14.9","23.9",">95.0","<5.0"
"005132","Cedar Heights Elementary School","1515 Cedar Hill Rd","Lancaster","OH","43130-3582","Fairfield","044206","Lancaster City","K-5","392","F","C","90.974","D","NA","C","B","F","94.5","NA","82.1","NA","73.2","19.4","7.4","91.3","8.7"
"061515","Millridge Hearing Center","950 Millridge Rd","Cleveland","OH","44143-3114","Cuyahoga","044370","Mayfield City","P,K,1-5,SN","60","NA","NA","NA","NA","NA","NA","NA","NA","94.5","NA","NA","NA","26.7",">95.0","NA","66.7","33.3"
"001883","Beallsville High School","PO Box 262","Beallsville","OH","43716-0262","Monroe","048652","Switzerland of Ohio Local","7-12,PS","182","F","D","83.089","F","F","NA","F","F","93.6","NA","NA","B","63.2","12.1","34.1",">95.0","<5.0"
"033340","South Side Middle School","720 Columbiana Waterford Rd","Columbiana","OH","44408-9499","Columbiana","045328","Columbiana Exempted Village","6-8","230","A","B","107.185","A","D","A","C","A","95.4","NA","NA","NA","41.3","15.2","8.7","92.6","7.4"
"145581","Academy for Multilingual Immersion Studies","1908 Seymour Ave","Cincinnati","OH","45237-4007","Hamilton","043752","Cincinnati City","P,K-8","423","F","D","80.847","F","NA","F","B","F","95.5","NA","63.2","NA","93.4","12.5","2.6","NA","NA"
"037960","Upper Scioto Valley High School","PO Box 305","Mc Guffey","OH","45859-0305","Hardin","047522","Upper Scioto Valley Local","9-12","184","C","C","94.222","NA","NA","NA","NA","F","93.5","NA","NA","C","37.5","19.6","13.0",">95.0","<5.0"
"020420","Liberty Union High School","500 W Washington St","Baltimore","OH","43105-1180","Fairfield","046888","Liberty Union-Thurston Local","9-12","432","A","B","104.078","NA","NA","NA","NA","A","95.1","NA","NA","A","26.4","15.0","32.6",">95.0","<5.0"
"027185","Mercer Elementary School","2600 Bartels Rd","Cincinnati","OH","45244-4009","Hamilton","047340","Forest Hills Local","K-6","701","A","B","104.520","A","D","B","A","F","97.3","NA","92.3","NA","21.0","13.7","27.2","90.3","9.7"
"037820","Union Elementary School","8735 Cincinnati Dayton Rd","West Chester","OH","45069-3136","Butler","046110","Lakota Local","2-6","642","B","B","105.850","C","C","C","D","D","99.3","NA","94.4","NA","25.5","7.5","44.5","64.5","35.5"
"030833","Port Clinton Middle School","807 Jefferson St","Port Clinton","OH","43452-2415","Ottawa","044651","Port Clinton City","6-8","415","A","B","101.510","A","C","A","A","B","96.3","NA","NA","NA","49.6","17.3","6.5","82.2","17.8"
"000687","Anderson High School","7560 Forest Rd","Cincinnati","OH","45255-4307","Hamilton","047340","Forest Hills Local","9-12","1128","A","B","106.178","NA","NA","NA","NA","A","96.3","NA","NA","A","14.1","10.6","29.7","90.0","10.0"
"001537","Barber Community Learning Center","665 Garry Rd","Akron","OH","44305-1760","Summit","043489","Akron City","K-6","328","F","D","73.743","F","NA","C","C","F","93.3","NA","59.5","NA",">95.0","22.6","4.0","26.8","73.2"
"065672","Flat Ridge Elementary School","PO Box 159","Charm","OH","44617-0159","Holmes","047688","East Holmes Local","2-4","80","A","A","108.409","A","NA","NA","NA","A","97.0","NA","86.1","NA","41.3","NA","NA",">95.0","<5.0"
"061622","Triway Junior High School","3145 Shreve Rd","Wooster","OH","44691-4437","Wayne","050591","Triway Local","7-8","263","B","B","101.705","C","F","D","C","B","95.6","NA","NA","NA","38.0","11.4","22.8",">95.0","<5.0"
"012625","Fort Jennings High School","PO Box 98","Fort Jennings","OH","45844-0098","Putnam","049338","Jennings Local","7-12","182","A","B","104.369","C","C","NA","NA","A","96.5","NA","NA","A","15.9","12.6","23.6",">95.0","<5.0"
"042424","Bellevue Elementary School","1150 Castalia St","Bellevue","OH","44811-1129","Huron","043596","Bellevue City","K-5,P","899","D","B","99.278","F","F","C","B","F","95.8","NA","92.3","NA","49.6","13.8","8.8","91.3","8.7"
"061291","Kimpton Middle School","380 N River Rd","Munroe Falls","OH","44262-1331","Summit","044834","Stow-Munroe Falls City School District","7-8","867","A","B","102.636","D","C","D","D","C","95.4","NA","NA","NA","24.3","12.9","18.5","90.2","9.8"
"036194","Belle Stone Elementary School","2100 Rowland Ave NE","Canton","OH","44714-2148","Stark","043711","Canton City","K-5,P","264","F","D","74.805","C","NA","NA","D","F","95.2","NA","70.0","NA",">95.0","11.0","NA","36.7","63.3"
"001081","Ashland High School","1440 King Rd","Ashland","OH","44805-3635","Ashland","043505","Ashland City","9-12","1050","A","B","103.502","NA","NA","NA","NA","A","94.7","NA","NA","A","27.7","12.0","22.2","92.2","7.8"
"035659","St Henry High School","391 E Columbus St","Saint Henry","OH","45883-9574","Mercer","048587","St Henry Consolidated Local","9-12","278","A","B","107.457","NA","NA","NA","NA","A","97.5","NA","NA","A","7.6","8.6","34.5",">95.0","<5.0"
"017145","Huntington Elementary School","1931 Huntington Cir","Brunswick","OH","44212-4117","Medina","043661","Brunswick City","K-5","447","A","B","104.464","A","B","C","B","B","96.7","NA","87.9","NA","28.4","8.7","27.5","94.0","6.0"
"030585","Portsmouth West High School","15332 Us Highway 52","West Portsmouth","OH","45663-9093","Scioto","049650","Washington-Nile Local","9-12","421","C","B","97.943","NA","NA","NA","NA","A","94.2","NA","NA","A","56.8","18.8","11.2",">95.0","<5.0"
"064089","Worthington Hills Elementary School","1221 Candlewood Dr","Columbus","OH","43235-1621","Franklin","045138","Worthington City","K-6","449","A","A","108.968","A","A","B","NA","A","96.3","NA","96.3","NA","2.7","8.5","41.9","86.6","13.4"
"036582","Swanton High School","601 N Main St","Swanton","OH","43558-1072","Fulton","047092","Swanton Local","9-12","435","A","B","99.052","NA","NA","NA","NA","B","92.9","NA","NA","A","38.4","16.6","14.0","88.5","11.5"
"040485","Crestwood Middle School","10880 John Edward Dr","Mantua","OH","44255-9411","Portage","049189","Crestwood Local","6-8","447","B","B","100.029","B","C","C","C","C","95.4","NA","NA","NA","30.4","14.3","18.6",">95.0","<5.0"
"037911","United High School","8143 State Route 9","Hanoverton","OH","44423-8618","Columbiana","046458","United Local","7-12","626","A","B","99.469","C","C","D","C","D","95.3","NA","NA","A","47.1","16.5","8.1",">95.0","<5.0"
"067892","Heritage Elementary School","833 Guilford Blvd","Medina","OH","44256-3028","Medina","044388","Medina City","K-5","353","A","B","102.899","C","D","D","C","B","96.3","NA","87.7","NA","20.4","10.2","17.6","92.4","7.6"
"031187","Reading  Community High School","810 E Columbia Ave","Reading","OH","45215-3930","Hamilton","044693","Reading Community City","9-12","451","C","B","99.402","NA","NA","NA","NA","B","94.2","NA","NA","B","45.0","21.3","17.1","88.2","11.8"
"030908","Put-In-Bay High School","PO Box 659","Put In Bay","OH","43456-0659","Ottawa","048975","Put-In-Bay Local","7-12","23","NA","NA","NA","NA","NA","NA","NA","NA","95.4","NA","NA","NA","NA","NA","47.8",">95.0","<5.0"
"010504","Emerson Elementary School","44 N Vine St","Westerville","OH","43081-1530","Franklin","045047","Westerville City","1-5","196","A","A","109.179","A","A","NA","NA","A","97.2","NA","100.0","NA","15.3","6.6","68.4","77.6","22.4"
"148809","South Elementary School","518 S 8th St","Cambridge","OH","43725-2813","Guernsey","043695","Cambridge City","K-5","231","C","B","96.232","A","NA","NA","NA","F","95.1","NA","74.3","NA","86.6","26.4","NA","88.7","11.3"
"029553","Wyoming Middle School","17 Wyoming Ave","Wyoming","OH","45215-4303","Hamilton","045146","Wyoming City","5-8","610","A","A","112.989","A","A","B","NA","A","97.0","NA","NA","NA","7.2","8.7","63.8","77.0","23.0"
"009688","Eastport Avenue Elementary School","1200 Eastport Ave","Uhrichsville","OH","44683-1212","Tuscarawas","043778","Claymont City","K-4","328","A","B","104.556","A","C","D","B","A","95.9","NA","95.7","NA","51.8","13.1","7.9","93.6","6.4"
"000752","Anna High School","PO Box 169","Anna","OH","45302-0169","Shelby","049759","Anna Local","6-12","368","A","A","107.957","NA","NA","NA","NA","A","97.0","NA","NA","A","10.3","7.9","9.2",">95.0","<5.0"
"000208","Adena High School","3367 County Road 550","Frankfort","OH","45628-9503","Ross","049494","Adena Local","9-12","362","B","B","99.781","NA","NA","NA","NA","A","94.6","NA","NA","B","34.3","15.2","11.0","94.2","5.8"
"017202","Hustead Elementary School","120 S Xenia Dr","Enon","OH","45323-1243","Clark","046235","Greenon Local","K-4","248","A","B","102.576","D","NA","NA","C","D","94.9","NA","86.7","NA","38.3","20.2","NA","93.1","6.9"
"027565","North High School","985 Gorge Blvd","Akron","OH","44310-2407","Summit","043489","Akron City","9-12","767","F","D","64.271","NA","NA","NA","NA","F","92.4","NA","NA","F",">95.0","19.2","2.9","20.5","79.5"
"011965","Forest Park Middle School","27000 Elinore Ave","Euclid","OH","44132-2001","Cuyahoga","043950","Euclid City","6-8","564","F","D","77.995","B","NA","C","A","F","93.7","NA","NA","NA","81.0","22.7","NA","8.0","92.0"
"031054","Waterloo Middle School","1464 Industry Rd","Atwater","OH","44201-9349","Portage","049247","Waterloo Local","6-8","259","C","B","98.467","A","NA","C","D","C","94.0","NA","NA","NA","36.7","15.1","5.4",">95.0","<5.0"
"001339","Austintown Middle School","800 S Raccoon Rd","Youngstown","OH","44515-3537","Mahoning","048298","Austintown Local","6-8","1316","D","B","96.969","B","C","C","D","F","94.3","NA","NA","NA","47.1","14.1","8.8","82.3","17.7"
"009113","McGuffey PK-8 School","3465 Tod Ave NW","Warren","OH","44485-1362","Trumbull","044990","Warren City","P,K-8","718","F","D","71.514","F","NA","F","F","F","94.4","NA","56.4","NA",">95.0","14.6","2.6","33.8","66.2"
"009112","Jefferson PK-8 School","1543 Tod Ave SW","Warren","OH","44485-4073","Trumbull","044990","Warren City","P,K-8","701","F","D","68.936","C","NA","F","D","F","93.1","NA","39.2","NA",">95.0","18.3","2.0","30.4","69.6"
"124073","Fairfield Intermediate Elementary School","255 Donald Dr","Fairfield","OH","45014-3006","Butler","046102","Fairfield City","5,6,8-10","1502","D","B","97.046","F","F","D","F","F","96.5","NA","NA","NA","41.5","14.1","26.0","68.0","32.0"
"009117","Garfield Middle School","13114 Detroit Ave","Lakewood","OH","44107-2840","Cuyahoga","044198","Lakewood City","6-8","557","D","B","97.558","A","F","A","A","D","95.8","NA","NA","NA","61.0","16.5","26.4","65.0","35.0"
"009116","Harding Middle School","16601 Madison Ave","Lakewood","OH","44107-5438","Cuyahoga","044198","Lakewood City","6-8","615","B","B","103.410","A","C","C","C","D","96.2","NA","NA","NA","42.6","9.1","45.2","81.5","18.5"
"026906","New Philadelphia High School","343 Ray Ave NW","New Philadelphia","OH","44663-1950","Tuscarawas","044487","New Philadelphia City","9-12","827","A","B","103.067","NA","NA","NA","NA","B","94.7","NA","NA","B","26.1","15.6","34.3","91.8","8.2"
"020172","Leona Ave Middle School","3795 Leona Ave","Shadyside","OH","43947-1367","Belmont","046003","Shadyside Local","3-6","237","C","B","101.739","F","C","C","C","C","95.4","NA","90.7","NA","36.3","17.7","28.3",">95.0","<5.0"
"010164","Heritage Elementary School","679 Lewis Center Rd","Lewis Center","OH","43035-9049","Delaware","046763","Olentangy Local","K-5,P","571","A","B","106.585","A","C","C","C","A","96.9","NA","95.5","NA","8.9","10.5","31.7","76.7","23.3"
"010166","Berkshire Middle School","2869 S. Three B's & K Road","Galena","OH","43021","Delaware","046763","Olentangy Local","6-8","906","A","A","109.649","A","A","B","A","B","96.4","NA","NA","NA","4.6","8.1","60.0","84.2","15.8"
"010162","Freedom Trail Elementary","6743 Bale Kenyon Rd","Lewis","OH","43035-9312","Delaware","046763","Olentangy Local","K-5","609","A","B","106.999","A","A","B","C","B","97.0","NA","98.3","NA","3.3","10.2","40.2","80.0","20.0"
"010163","Cheshire Elementary","2681 Gregory Rd","Delaware","OH","43015-9441","Delaware","046763","Olentangy Local","K-5,P","574","A","A","108.711","B","C","A","C","B","96.7","NA","97.3","NA","3.8","15.0","36.1","85.9","14.1"
"010216","Canton City Digital Academy","401 14th St SE","Canton","OH","44707-3819","Stark","043711","Canton City","6-12","151","F","D","75.392","B","NA","NA","C","NA","92.7","NA","NA","F","80.1","12.6","9.9","57.6","42.4"
"014712","Groveport Madison Middle School Central","751 Main St","Groveport","OH","43125-1423","Franklin","046979","Groveport Madison Local","6-8","450","F","C","88.911","D","D","C","C","F","94.8","NA","NA","NA","53.3","14.9","12.9","52.7","47.3"
"011569","Field Middle School","1379 Saxe Rd","Mogadore","OH","44260-9788","Portage","049197","Field Local","6-8","472","C","B","99.517","A","C","B","A","F","95.1","NA","NA","NA","34.5","12.5","17.4","94.3","5.7"
"010215","Elizabeth Price Elementary School","2610 Delmore St","Cuyahoga Falls","OH","44221-3551","Summit","043836","Cuyahoga Falls City","K-5","353","D","B","99.406","F","D","D","F","B","95.5","NA","95.7","NA","53.3","13.6","10.5","87.3","12.7"
"014241","Granville Elementary School","310 N Granger St","Granville","OH","43023-1395","Licking","045393","Granville Exempted Village","K-3","574","A","A","108.163","NA","NA","NA","NA","A","96.5","NA","89.8","NA","9.1","10.8","27.7","91.6","8.4"
"026633","New Bremen Elementary School","202-210 South Walnut St.","New Bremen","OH","45869-1241","Auglaize","045955","New Bremen Local","K-8","574","A","B","106.345","A","A","B","D","B","97.6","NA","95.3","NA","9.9","11.0","17.1",">95.0","<5.0"
"014242","Ford Intermediate School","17001 Holland Rd","Brook Park","OH","44142-3523","Cuyahoga","043612","Berea City","5-6","916","F","B","97.484","D","B","D","D","F","95.8","NA","NA","NA","38.4","14.1","31.2","78.5","21.5"
"036087","Stewart Elementary School","11850 Conrey Rd","Cincinnati","OH","45249-1012","Hamilton","044677","Princeton City","K-5,P","408","F","C","90.281","D","C","C","C","F","96.0","NA","69.1","NA","66.2","8.3","7.8","41.2","58.8"
"028373","Oakwood High School","1200 Far Hills Ave","Dayton","OH","45419-3118","Montgomery","044586","Oakwood City","9-12","655","A","A","113.478","NA","NA","NA","NA","A","95.3","NA","NA","A","3.4","11.1","57.6","90.2","9.8"
"027367","Normandy High School","2500 W Pleasant Valley Rd","Parma","OH","44134-6521","Cuyahoga","044636","Parma City","8-12","1388","B","B","100.689","F","C","F","D","C","94.6","NA","NA","A","22.9","13.9","21.0","90.6","9.4"
"011369","Toll Gate Middle School","12089 Tollgate Rd","Pickerington","OH","43147-7863","Fairfield","046896","Pickerington Local","5-6","468","A","B","106.247","A","B","A","C","B","96.3","NA","NA","NA","16.5","16.2","41.2","78.0","22.0"
"011368","Sycamore Creek Elementary School","500 Sycamore Creek St","Pickerington","OH","43147-7851","Fairfield","046896","Pickerington Local","K-4","624","A","B","106.318","F","D","C","B","D","96.4","NA","94.0","NA","13.3","16.3","30.8","71.8","28.2"
"036244","Strasburg-Franklin High School","140 N Bodmer Ave","Strasburg","OH","44680-1122","Tuscarawas","050294","Strasburg-Franklin Local","6-12","338","B","B","102.413","B","NA","C","C","A","96.0","NA","NA","A","29.9","10.1","15.4","94.1","5.9"
"026765","New Knoxville High School","345 N Main St","New Knoxville","OH","45871","Auglaize","045963","New Knoxville Local","9-12","132","A","B","106.839","NA","NA","NA","NA","A","97.0","NA","NA","A","14.4","NA","22.0","94.7","5.3"
"011609","Hughes STEM High School","2515 Clifton Ave","Cincinnati","OH","45219-1003","Hamilton","043752","Cincinnati City","7-12","927","F","D","79.747","F","NA","D","F","F","93.8","NA","NA","F","84.9","26.2","3.7","3.8","96.2"
"009201","Waggoner Road Junior High","360 Waggoner Rd","Reynoldsburg","OH","43068-9707","Franklin","047001","Reynoldsburg City","5-8","524","A","B","103.538","C","D","A","A","B","95.8","NA","NA","NA","45.8","7.6","38.0","51.1","48.9"
"009200","James N. Gamble Montessori High School","2601 Westwood Northern Blvd","Cincinnati","OH","45211-6110","Hamilton","043752","Cincinnati City","7-12","333","F","C","88.287","A","NA","D","C","F","96.9","NA","NA","F","64.3","30.9","10.2","24.9","75.1"
"000118","Hamilton Intermediate School","765 Rathmell Rd","Columbus","OH","43207-4737","Franklin","046953","Hamilton Local","4-6","648","C","B","99.461","A","C","A","A","C","95.8","NA","NA","NA","71.6","11.1","4.2","78.5","21.5"
"000119","Oak Hill Middle/High School","5063 State Route 93","Oak Hill","OH","45656-9408","Jackson","047761","Oak Hill Union Local","6-12","726","B","B","96.795","B","D","A","C","C","93.7","NA","NA","A","57.2","17.2","21.9",">95.0","<5.0"
"014399","Green Springs Elementary School","420 N Broadway St","Green Springs","OH","44836-9601","Sandusky","045302","Clyde-Green Springs Exempted Village","K-5","486","B","B","100.115","A","B","A","A","D","96.6","NA","95.7","NA","45.9","17.9","9.1","85.6","14.4"
"027169","Newton High School","PO Box 803","Pleasant Hill","OH","45359-0803","Miami","048637","Newton Local","7-12","274","A","B","103.195","F","D","NA","NA","A","96.3","NA","NA","A","17.9","7.3","22.3","94.2","5.8"
"035196","Southeastern  Sr. High School","PO Box Z","South Charleston","OH","45368-0826","Clark","046276","Southeastern Local","9-12","216","A","B","100.415","NA","NA","NA","NA","A","95.8","NA","NA","A","24.1","18.5","7.9","94.4","5.6"
"029959","Pike Elementary School","4533 Peters Creek Rd","Cambridge","OH","43725-9385","Muskingum","048835","East Muskingum Local","K-2","122","NA","NA","NA","NA","NA","NA","NA","NA","96.1","NA","NA","NA","42.6","10.7","13.1","91.0","9.0"
"015719","Hillsdale Elementary School","W Main St","Hayesville","OH","44838","Ashland","045823","Hillsdale Local","K-4","345","C","B","102.500","C","NA","C","C","B","96.3","NA","93.2","NA","37.1","11.6","NA",">95.0","<5.0"
"014621","Greenville Senior High School","100 Greenwave Way","Greenville","OH","45331-2383","Darke","044099","Greenville City","9-12","874","A","B","98.910","NA","NA","NA","NA","B","94.8","NA","NA","B","38.2","15.7","18.8","93.8","6.2"
"061994","Howland Springs Elementary School","9500 Howland Springs Rd SE","Warren","OH","44484-3108","Trumbull","050161","Howland Local","K-2","240","NA","NA","NA","NA","NA","NA","NA","NA","94.7","NA","NA","NA","39.2","11.3","NA","85.4","14.6"
"031476","Richardson Elementary School","2226 23rd St","Cuyahoga Falls","OH","44223-1410","Summit","043836","Cuyahoga Falls City","K-5","406","C","B","99.777","C","C","B","B","F","96.2","NA","87.5","NA","32.5","15.8","16.3","88.7","11.3"
"020297","Liberty Center High School","PO Box 434","Liberty Center","OH","43532-0434","Henry","047589","Liberty Center Local","7-12","541","A","B","101.366","D","D","D","F","D","95.3","NA","NA","B","31.2","14.4","17.4",">95.0","<5.0"
"031872","River Valley High School","4280 Marion Mount Gilead Rd","Caledonia","OH","43314-9456","Marion","048447","River Valley Local","9-12","614","A","B","100.041","NA","NA","NA","NA","A","96.1","NA","NA","B","25.6","12.1","11.7","91.9","8.1"
"012724","Heath Middle School","310 Licking View Dr","Heath","OH","43056-1534","Licking","044115","Heath City","6-8","376","D","C","95.249","F","F","F","F","C","95.0","NA","NA","NA","47.6","10.4","22.1","87.8","12.2"
"005439","Central Elementary School","206 W Pearl St","Willard","OH","44890-1323","Huron","045096","Willard City","K-3,P","507","F","C","87.689","NA","NA","NA","NA","F","95.4","NA","63.8","NA","71.6","15.4","NA","68.4","31.6"
"023192","Matamoras Elementary School","PO Box 339","New Matamoras","OH","45767-0339","Washington","050492","Frontier Local","K-6","127","F","C","91.484","F","NA","NA","C","F","95.3","NA","64.7","NA","59.1","19.7","NA",">95.0","<5.0"
"004127","Buckeye High School","3084 Columbia Rd","Medina","OH","44256-9411","Medina","048470","Buckeye Local","9-12,SN","737","A","B","104.335","NA","NA","NA","NA","A","95.7","NA","NA","A","21.0","10.0","29.4",">95.0","<5.0"
"024497","Highland Middle School","3880 Ridge Rd","Medina","OH","44256-7920","Medina","048496","Highland Local","6-8","784","A","B","107.060","A","C","B","C","C","96.8","NA","NA","NA","8.0","11.5","42.5",">95.0","<5.0"
"042341","Western Reserve High School","3841 State Route 20","Collins","OH","44826-9513","Huron","047746","Western Reserve Local","9-12","395","A","B","101.888","NA","NA","NA","NA","A","94.7","NA","NA","B","28.6","13.2","7.6",">95.0","<5.0"
"010983","Crestview Middle School","44100 Crestview Rd Ste C","Columbiana","OH","44408-9660","Columbiana","046433","Crestview Local","5-8","405","D","B","98.563","F","C","B","B","F","95.8","NA","NA","NA","42.0","10.1","23.7",">95.0","<5.0"
"011106","Fairland East Elementary School","10732 State Route 7","Proctorville","OH","45669-8130","Lawrence","047936","Fairland Local","K-2","405","NA","NA","NA","NA","NA","NA","NA","NA","96.2","NA","NA","NA","50.9","13.3","NA","94.8","5.2"
"031617","Ridge-Brook Elementary School","7915 Manhattan Ave","Parma","OH","44129-1840","Cuyahoga","044636","Parma City","K-4","360","F","C","94.922","A","C","NA","A","F","95.1","NA","78.1","NA","31.1","12.8","3.9","65.8","34.2"
"012922","Garfield Elementary School","1103 N Ravine Pkwy","Toledo","OH","43605-1678","Lucas","044909","Toledo City","K-8","440","F","D","81.674","F","NA","B","F","F","93.5","NA","71.4","NA","93.4","15.9","3.0","40.0","60.0"
"004549","Calcutta Elementary School","15482 State Route 170","East Liverpool","OH","43920-9602","Columbiana","046425","Beaver Local","K-4","360","A","B","103.321","A","NA","C","B","A","95.1","NA","91.4","NA","46.7","9.7","NA","94.4","5.6"
"005322","Centerville High School","500 E Franklin St","Centerville","OH","45459-5714","Montgomery","043737","Centerville City","9-12,SN","2690","A","A","110.081","NA","NA","NA","NA","B","95.2","NA","NA","A","13.9","10.7","37.1","80.3","19.7"
"004234","Buhrer","1600 Buhrer Ave","Cleveland","OH","44109-1747","Cuyahoga","043786","Cleveland Municipal City","P,K-8","364","D","C","90.501","A","NA","C","C","F","96.2","NA","69.0","NA",">95.0","13.7","11.0","5.5","94.5"
"008242","Licking Heights North","6507 Summit Rd SW","Pataskala","OH","43062-8767","Licking","048009","Licking Heights Local","P,5","397","F","C","94.566","A","A","B","B","F","96.0","NA","NA","NA","30.7","24.2","22.4","61.2","38.8"
"018093","Bataan Memorial Intermediate School","525 W 6th St","Port Clinton","OH","43452-2160","Ottawa","044651","Port Clinton City","3-5","384","F","B","96.054","C","A","A","B","D","97.3","NA","84.4","NA","50.3","19.3","7.3","82.0","18.0"
"031989","Riverside Jr/Sr High School","585 Riverside Dr","Painesville","OH","44077-5323","Lake","047894","Riverside Local","8-12,SN","1688","A","B","101.993","F","C","F","F","B","95.9","NA","NA","B","21.4","11.4","5.7","90.7","9.3"
"034801","Snowhill Elementary School","531 W Harding Rd","Springfield","OH","45504-1708","Clark","044818","Springfield City","K-6","495","C","B","102.358","A","A","C","A","A","96.3","NA","86.4","NA",">95.0","11.5","12.1","76.8","23.2"
"035402","Elyria Early Childhood Center","42101 Griswold Rd","Elyria","OH","44035-2117","Lorain","043943","Elyria City Schools","K,P","136","NA","NA","NA","NA","NA","NA","NA","NA","93.2","NA","NA","NA","63.2","44.1","NA","50.7","49.3"
"028993","Oxford Elementary School","939 Quilliams Rd","Cleveland Heights","OH","44121-1946","Cuyahoga","043794","Cleveland Heights-University Heights City","K-5","330","F","D","71.622","F","NA","C","C","F","95.2","NA","61.7","NA","79.4","17.3","3.3","3.6","96.4"
"032359","Roosevelt Elementary School","13465 Franklin Blvd","Lakewood","OH","44107-4712","Cuyahoga","044198","Lakewood City","K-5","284","D","C","93.428","A","D","NA","C","F","96.3","NA","82.5","NA","59.2","7.7","11.3","70.4","29.6"
"015289","Harman Elementary School","735 Harman Ave","Dayton","OH","45419-3850","Montgomery","044586","Oakwood City","1-6","430","A","A","111.814","A","A","C","NA","A","96.9","NA","98.5","NA","2.8","12.3","41.6","87.9","12.1"
"023440","McComb Local Elementary School","328 S Todd St","McComb","OH","45858-0877","Hancock","047456","McComb Local","K-6,P","350","D","B","96.957","F","NA","B","C","F","96.5","NA","93.3","NA","43.7","13.4","8.0","82.3","17.7"
"022665","Maplewood Elementary School","6769 Maplewood Ave","Sylvania","OH","43560-1954","Lucas","044875","Sylvania City","K-5","398","A","B","105.648","A","B","C","D","B","96.9","NA","92.1","NA","16.6","11.8","16.3","88.4","11.6"
"012856","Baltic Elementary School","PO Box 266","Baltic","OH","43804-0266","Tuscarawas","050278","Garaway Local","2-6","118","D","B","96.287","F","NA","C","C","F","97.3","NA","91.3","NA","53.4","26.3","NA",">95.0","<5.0"
"136101","Twinsburg High School","10084 Ravenna Rd","Twinsburg","OH","44087-1719","Summit","050070","Twinsburg City","9-12","1305","A","B","105.650","NA","NA","NA","NA","C","96.2","NA","NA","A","16.3","9.9","33.1","61.9","38.1"
"012039","Fostoria Junior/Senior High School","1001 Park Ave","Fostoria","OH","44830-1455","Seneca","043992","Fostoria City","7-12","754","F","C","89.366","D","F","D","D","F","92.7","NA","NA","C","67.8","16.3","9.8","61.4","38.6"
"042234","Wooster Twp Elementary School","1071 Dover Rd","Wooster","OH","44691-4107","Wayne","050591","Triway Local","K-6","392","A","B","103.543","A","NA","B","C","A","95.5","NA","93.8","NA","45.7","10.5","4.8","94.1","5.9"
