"School IRN","School Name","Address","City","State","Postal Code","County","District IRN","District Name","Grades Served","# of students","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white"
"032391","Hubbard  Elementary School","150 Hall Ave","Hubbard","OH","44425-2075","Trumbull","045427","Hubbard Exempted Village","K-4","690","A","B","104.686","A","F","C","B","B","95.2","NA","92.1","NA","41.4","14.5","6.2","91.9","8.1"
"023549","Mcgregor Elementary School","3535 Mcgregor Ln","Toledo","OH","43623-1814","Lucas","048231","Washington Local","K-6","406","A","B","102.792","A","C","NA","B","B","97.1","NA","85.0","NA","50.2","8.4","16.0","76.8","23.2"
"012609","Fort Island Primary Elementary School","496 Trunko Rd","Fairlawn","OH","44333-3274","Summit","049981","Copley-Fairlawn City","K-4","336","A","A","108.725","A","C","NA","A","A","96.7","NA","93.9","NA","14.0","6.0","19.9","74.1","25.9"
"011551","Field High School","2900 State Route 43","Mogadore","OH","44260-9715","Portage","049197","Field Local","9-12","631","A","B","99.827","NA","NA","NA","NA","A","94.5","NA","NA","A","7.0","15.8","26.3","94.8","5.2"
"010769","Eastern High School","PO Box 49","Sardinia","OH","45171-0049","Brown","046037","Eastern Local","9-12","371","A","B","101.652","NA","NA","NA","NA","A","94.5","NA","NA","C","39.6","15.6","4.9",">95.0","<5.0"
"018283","Licking Heights West","1490 Climbing Fig Dr.","Blacklick","OH","43004","Licking","048009","Licking Heights Local","K-2","801","NA","NA","NA","NA","NA","NA","NA","NA","95.4","NA","NA","NA","37.6","8.6","6.4","61.3","38.7"
"034728","Smith Elementary School","941 Chester Ave","Akron","OH","44314-2768","Summit","043489","Akron City","K-5","119","F","D","71.128","F","NA","NA","D","F","92.5","NA","66.7","NA",">95.0","18.5","NA","51.3","48.7"
"023093","Maryland Elementary School","2754 Maryland Ave","Bexley","OH","43209-1067","Franklin","043620","Bexley City","K-6","334","C","B","103.886","A","A","C","B","A","96.3","NA","95.7","NA","15.0","10.8","26.6","83.2","16.8"
"021857","John P Parker Elementary School","5051 Anderson Pl","Cincinnati","OH","45227-1601","Hamilton","043752","Cincinnati City","K-6,P","250","F","C","90.573","B","NA","D","C","D","96.3","NA","78.3","NA","89.2","29.6","NA","7.2","92.8"
"012971","Garfield Elementary School","1600 Lincoln Ave","Wellsville","OH","43968-1247","Columbiana","045039","Wellsville Local","K-3,P","247","A","B","103.145","NA","NA","NA","NA","A","95.5","NA","88.7","NA",">95.0","17.4","NA","87.0","13.0"
"005371","Central Elementary School","145 Ray Ave NW","New Philadelphia","OH","44663-2629","Tuscarawas","044487","New Philadelphia City","K-5","319","C","B","102.062","D","B","NA","D","B","95.2","NA","95.3","NA","50.8","8.5","23.8","79.0","21.0"
"011395","Valley View Intermediate School","64 Comstock St","Germantown","OH","45327-1004","Montgomery","048744","Valley View Local","P,4-6","418","C","B","101.051","A","A","A","A","B","95.5","NA","NA","NA","26.3","15.6","30.6",">95.0","<5.0"
"029876","Pickerington High School Central","300 Opportunity Way","Pickerington","OH","43147-1296","Fairfield","046896","Pickerington Local","9-12","1566","A","B","103.719","NA","NA","NA","NA","B","94.2","NA","NA","A","24.4","14.8","31.3","61.6","38.4"
"151951","Pattison Elementary School","5330 S Milford Rd","Milford","OH","45150-9563","Clermont","045500","Milford Exempted Village","K-6","639","A","B","104.177","A","A","C","C","F","97.1","NA","88.9","NA","22.1","10.0","25.5","90.8","9.2"
"005686","Glenwood Middle School","200 W Main Cross St","Findlay","OH","45840-3313","Hancock","043984","Findlay City","6-8","601","B","B","98.728","B","C","C","C","C","95.2","NA","NA","NA","53.2","20.5","25.8","77.2","22.8"
"014720","Grover Hill Elementary School","101 Monroe Street","Grover Hill","OH","45849-0125","Paulding","049031","Wayne Trace Local","K-6,P","233","F","B","96.815","F","C","F","D","F","96.9","NA","77.8","NA","56.2","18.0","6.4",">95.0","<5.0"
"082586","North Baltimore Middle School","124 S 2nd St","North Baltimore","OH","45872-1301","Wood","050708","North Baltimore Local","7-8","101","D","C","95.769","B","NA","C","C","F","95.9","NA","NA","NA","50.5","21.8","14.9","93.1","6.9"
"032433","East Garfield Elementary School","936 N 5th St","Steubenville","OH","43952-1812","Jefferson","044826","Steubenville City","P,K,1-5,SN","364","A","B","102.797","A","NA","A","A","A","94.2","NA","95.9","NA","94.5","26.1","NA","42.9","57.1"
"028324","Oakview Elementary School","4001 Ackerman Blvd","Kettering","OH","45429-4609","Montgomery","044180","Kettering City","K-5","365","B","B","102.141","C","C","C","NA","B","96.8","NA","87.7","NA","35.6","12.6","24.7","87.9","12.1"
"027334","Nordonia High School","8006 S Bedford Rd","Macedonia","OH","44056-2025","Summit","050047","Nordonia Hills City","9-12","1263","A","B","106.814","NA","NA","NA","NA","B","95.6","NA","NA","A","16.8","11.1","18.4","78.6","21.4"
"023143","Symmes Valley Elementary School","14860 State Route 141","Willow Wood","OH","45696-9015","Lawrence","047969","Symmes Valley Local","K-8","542","D","B","98.280","C","F","A","D","C","95.2","NA","91.7","NA","61.6","16.4","7.4",">95.0","<5.0"
"005751","Chagrin Falls High School","400 E Washington St","Chagrin Falls","OH","44022-2924","Cuyahoga","045286","Chagrin Falls Exempted Village","9-12","630","A","A","113.610","NA","NA","NA","NA","A","95.8","NA","NA","A","4.0","11.6","35.4","94.8","5.2"
"005207","Celina High School","715 E Wayne St","Celina","OH","45822-1332","Mercer","043729","Celina City","9-12","862","B","C","95.661","NA","NA","NA","NA","D","94.7","NA","NA","A","32.3","17.1","21.1","94.2","5.8"
"031443","Rice Elementary School","7640 Lake Shore Blvd","Mentor","OH","44060-3365","Lake","045492","Mentor Exempted Village","K-5","307","C","B","99.169","C","C","C","C","F","96.1","NA","83.3","NA","37.1","14.7","15.3","91.9","8.1"
"009589","Eastern High School","1170 Tile Mill Rd","Beaver","OH","45613-9435","Pike","049122","Eastern Local","9-12","230","B","C","95.862","NA","NA","NA","NA","F","91.6","NA","NA","B",">95.0","15.2","22.6",">95.0","<5.0"
"040162","Wedgewood Middle School","3800 Briggs Rd","Columbus","OH","43228-3144","Franklin","043802","Columbus City School District","6-8","533","F","D","81.424","F","C","C","C","F","93.5","NA","NA","NA","78.4","15.8","15.0","45.2","54.8"
"009233","Eakin Elementary School","3774 Eakin Rd","Columbus","OH","43228-3008","Franklin","043802","Columbus City","K-5","324","F","D","75.657","B","NA","C","B","F","96.0","NA","67.4","NA","94.4","9.0","3.7","13.3","86.7"
"018606","Kalida High School","PO Box 269","Kalida","OH","45853-0269","Putnam","049346","Kalida Local","6-12","339","A","B","107.787","A","C","C","NA","A","96.6","NA","NA","A","9.1","10.9","20.4",">95.0","<5.0"
"037416","Tower Heights Middle School","195 N Johanna Dr","Centerville","OH","45459-4625","Montgomery","043737","Centerville City","6-8","519","A","B","106.299","C","B","C","B","C","96.5","NA","NA","NA","13.5","12.1","40.8","85.7","14.3"
"035527","Springfield High School","701 E Home Rd","Springfield","OH","45503-2714","Clark","044818","Springfield City","9-12","1760","F","C","87.944","NA","NA","NA","NA","F","92.7","NA","NA","D",">95.0","17.7","5.3","60.3","39.7"
"036962","Teays Valley High School","3887 State Route 752","Ashville","OH","43103-9551","Pickaway","049098","Teays Valley Local","9-12","1134","A","B","98.636","NA","NA","NA","NA","C","94.3","NA","NA","B","28.7","13.0","14.6",">95.0","<5.0"
"012773","Galion High School","472 Portland Way N","Galion","OH","44833-1115","Crawford","044024","Galion City","9-12","547","B","C","95.281","NA","NA","NA","NA","C","95.6","NA","NA","B","51.2","18.3","22.1","94.3","5.7"
"030890","Put-In-Bay Elementary School","PO Box 659","Put In Bay","OH","43456-0659","Ottawa","048975","Put-In-Bay Local","K-6","39","NA","B","104.576","A","NA","NA","NA","NA","95.1","NA","NA","NA","NA","NA","NA",">95.0","<5.0"
"004408","Butler Middle School","2011 Trojan Ave","Arcanum","OH","45304-1381","Darke","046631","Arcanum-Butler Local","5-8","349","C","B","98.868","B","C","B","B","F","96.5","NA","NA","NA","29.2","11.2","17.5",">95.0","<5.0"
"008185","Daw Elementary School","929 Center St","Wellsville","OH","43968-1423","Columbiana","045039","Wellsville Local","4-6","173","A","B","100.319","A","NA","F","C","A","94.8","NA","NA","NA",">95.0","19.7","NA","84.4","15.6"
"011171","Fairless High School","11885 Navarre Rd SW","Navarre","OH","44662-9485","Stark","049841","Fairless Local","9-12","510","C","B","99.488","NA","NA","NA","NA","A","95.3","NA","NA","A","26.3","20.8","22.2",">95.0","<5.0"
"031849","Ritzman Community Learning Center","629 Canton Rd","Akron","OH","44312-2525","Summit","043489","Akron City","K-5","393","C","B","99.869","B","C","C","C","A","94.5","NA","92.7","NA",">95.0","13.0","15.8","82.7","17.3"
"014431","Greenbriar Middle School","11810 Huffman Rd","Parma","OH","44130-2247","Cuyahoga","044636","Parma City","5-7","900","F","C","92.186","A","A","C","D","F","94.5","NA","NA","NA","39.7","16.8","9.1","79.3","20.7"
"138735","Holt Crossing Intermediate School","2706 Holt Rd","Grove City","OH","43123-9688","Franklin","044800","South-Western City","5-6","732","F","C","90.129","A","A","A","A","F","95.2","NA","NA","NA","67.5","13.7","14.6","54.9","45.1"
"022301","Mansfield Middle School","124 N Linden Rd","Mansfield","OH","44906-2616","Richland","044297","Mansfield City","7-8","471","F","D","81.143","F","F","D","C","F","94.0","NA","NA","NA","87.9","21.9","10.8","51.4","48.6"
"026112","North Central Junior/High School","400 E Baubice St","Pioneer","OH","43554-9637","Williams","050641","North Central Local","7-12","263","B","B","98.209","F","NA","D","D","D","95.4","NA","NA","A","51.3","15.2","16.3",">95.0","<5.0"
"008052","Danbury High School","9451 E Harbor Rd","Lakeside Marblehead","OH","43440-1310","Ottawa","048934","Danbury Local","7-12","172","A","B","103.313","NA","NA","NA","NA","A","94.8","NA","NA","A","27.9","14.0","16.9","94.2","5.8"
"036384","Black River Education Center Elementary School","257 County Road 40","Sullivan","OH","44880-9731","Medina","048462","Black River Local","K-5,P","489","F","B","96.689","D","C","C","C","C","96.1","NA","82.9","NA","49.3","18.6","9.6",">95.0","<5.0"
"008054","Blanchester Intermediate School","955 Cherry St","Blanchester","OH","45107-7907","Clinton","046383","Blanchester Local","4-5","226","D","B","99.964","F","C","C","C","F","95.7","NA","NA","NA","51.3","14.2","11.9",">95.0","<5.0"
"004085","Buckeye Central High School","938 S Kibler St","New Washington","OH","44854-9521","Crawford","046508","Buckeye Central Local","9-12","239","A","B","105.903","NA","NA","NA","NA","A","95.2","NA","NA","C","23.4","9.6","25.1",">95.0","<5.0"
"040923","Wheelersburg Elementary School","800 Pirate Dr","Wheelersburg","OH","45694-9088","Scioto","049668","Wheelersburg Local","K-3,P","516","A","B","103.409","NA","NA","NA","NA","C","95.5","NA","85.5","NA","47.9","9.7","14.7","93.6","6.4"
