"District IRN","District Name","Street Address","City","State","Postal Code","Avg Grade","Letter grade performance index","Charter Transfer","% Spent in Classroom","Avg Teacher Experience","Community School Transfer"
"047514","Riverdale Local","20613 State Route 37","Mt Blanchard","OH","45867-9783","C","B","121693.52","93.3","19","-120977.15"
"046672","Mississinawa Valley Local","1469 State Road 47 E","Union City","OH","45390-8628","B","B","85818.05","94.6","15","-97223.32"
"050435","Kings Local","1797 King Ave","Kings Mills","OH","45034","B","B","451762.87","94.4","17","-538191.15"
"049031","Wayne Trace Local","4915 US Route 127","Haviland","OH","45851-9738","D","B","126729.15","93.8","15","-81320.12"
"044305","Maple Heights City","5740 Lawn Ave","Maple Heights","OH","44137-3870","C-","D","1767332.66","92.5","12","-3019708.38"
"044958","Vandalia-Butler City","306 S Dixie Dr","Vandalia","OH","45377-2128","B","B","660869.99","94.3","19","-731226.10"
"043489","Akron City","70 N Broadway St","Akron","OH","44308-1911","D+","D","25107355.41","93.1","11","-29134278.01"
"043893","Dover City","219 W 6th St","Dover","OH","44622-2803","C+","B","261854.98","93.8","17","-309173.47"
"046474","Ridgewood Local","301 S Oak St","West Lafayette","OH","43845-1339","C-","B","181334.69","94.8","15","-108690.43"
"043950","Euclid City","651 E 222nd St","Euclid","OH","44123-2031","C","D","6864032.09","92.9","14","-8607702.80"
"047456","McComb Local","328 S Todd St","McComb","OH","45858-0877","C+","B","84867.22","94.0","14","-93561.45"
"065680","Gallia County Local","4836 State Route 325","Patriot","OH","45658-8960","C+","B","272144.21","91.4","14","-416261.25"
"049197","Field Local","2900 State Route 43","Mogadore","OH","44260-9715","C+","B","1362695.11","90.4","13","-1584699.40"
"049627","Minford Local","PO Box 204","Minford","OH","45653-0204","B","B","420377.17","93.6","16","-503059.43"
"047332","Finneytown Local","8916 Fontainebleau Ter","Cincinnati","OH","45231-4806","C","B","368098.63","92.8","15","-447478.83"
"044826","Steubenville City","PO Box 189","Steubenville","OH","43952-5189","C","B","459992.50","94.0","16","-637809.90"
"044735","Salem City","1226 E State St","Salem","OH","44460-2222","B","B","344847.37","93.1","14","-422477.00"
"043687","Bucyrus City","170 Plymouth St","Bucyrus","OH","44820-1627","C+","C","674709.38","91.5","14","-914091.21"
"000442","Manchester Local","130 Wayne Frye Dr","Manchester","OH","45144-9314","C","B","163817.66","92.2","13","-181938.35"
"050278","Garaway Local","146 Dover Rd NW","Sugarcreek","OH","44681-9309","C+","B","163379.62","93.4","14","-255575.31"
"046623","Ansonia Local","PO Box 279","Ansonia","OH","45303-0279","A-","B","68012.43","94.1","16","-74467.25"
"045153","Xenia Community City","819 Colorado Dr","Xenia","OH","45385-4859","C+","C","2494859.95","93.8","12","-2363635.71"
"046599","Richmond Heights Local","447 Richmond Rd","Richmond Heights","OH","44143-1429","D","D","628922.21","90.8","8","-774492.93"
"045526","Montpelier Exempted Village","PO Box 193","Montpelier","OH","43543-0193","C","B","172845.38","92.7","11","-218930.67"
